,tag,name,nameColor,icon,trophies,rank,club
0,#YPUPJV80C,YT|CloVer™🐢,0xfff9c908,28000072,48402,1,Never Die 🪐
1,#UGL2R0P0,Bot 9,0xffcb5aff,28000314,47846,2,InvisibleSoul ✨
2,#2P9P09L,XBeastMode,0xffa2e3fe,28000331,47489,3,GermanFighters
3,#L2UUPPJPV,winter,0xff4ddba2,28000352,47016,4,leyendas
4,#82U20YCCG,GH|ruivão :D,0xffcb5aff,28000154,46856,5,zorlakinhos 🍁
5,#9J280RYVQ,benny boo,0xff1ba5f5,28000077,46261,6,BCF
6,#YJP0JQGY8,Maxist,0xfff9c908,28000337,45715,7,Ice Team
7,#8P9UUR80Y,Magic,0xffcb5aff,28000352,45105,8,ONEBOBA 27
8,#PQYJLJCRQ,TT|wertty🖤,0xffffffff,28000189,44324,9,SQ4 BS
9,#8LQ92LU29,sadman520,0xffcb5aff,28000140,43931,10,BCF
10,#28R22UU20,feST|FewSell 🐨,0xffffffff,28000041,43776,11,RK|ELITE
11,#2QP00YY2Q,tomato34,0xffa8e132,28000236,43517,12,ELITE|ESPORTS
12,#29L0UJYPY,TS|⭐️Hanwei⭐️,0xfff9c908,28000293,42811,13,Rampage
13,#V8LPPC9J,ᴹ¹⁰¹⁴toxic☆,0xffa8e132,28000210,42745,14,ActivionFG
14,#8VV00UL0J,Kikox❦,0xffcb5aff,28000305,42385,15,Scaccolatori
15,#P2Y8VLGYP,¤DIO¤,0xfff9c908,28000229,42345,16,NIGHT
16,#82JC9J2PJ,miSakki🧪,0xffff8afb,28000044,42329,17,
17,#820GR99GV,Di4,0xfff9c908,28000219,42310,18,BRATISHKI 3.0
18,#8CC2PUCJC,sas,0xffa2e3fe,28000005,42292,19,Tagura
19,#800RLP299,CoolKertiop,0xffcb5aff,28000332,42233,20,Brawl Gamers
20,#PY02YJCVL,ZETA | KIND,0xff1ba5f5,28000139,42089,21,LOS CHANOS
21,#PGVCYCLL8,ENBATA3,0xffcb5aff,28000333,41777,22,Lion 🦁
22,#8L90JQ9YC,BroadStBullies1,0xffff9727,28000048,41542,23,BCF
23,#Y9GQ9GPQQ,❄İcePiper❄,0xffcb5aff,28000290,41415,24,YT.Amin Həsənli
24,#PJR2LLJJY,D☔|dodrio😥|39,0xfff9c908,28000139,41363,25,<c9>POL</c>SKA
25,#9C0YRCJ28,курман,0xffffffff,28000037,41159,26,CrossFire🔥
26,#P2QUJC9GQ,Buttercup,0xfff05637,28000332,41137,27,Brawl Smashers
27,#2VJJRQJ0U,Stux❦︎,0xffffffff,28000023,41134,28,⚡Lighting Gang⚡
28,#2VLGLLRGR,북한ᴮᵉᵇʳᵒˢᶫᵃᵛ🇰🇷,0xffcb5aff,28000054,41019,29,<c0>VXNZ</c>
29,#9UY090RVC,berk1126,0xffff9727,28000341,40917,30,Scrabint Store
30,#9CQ2RL8RV,D.ov TEAMBS,0xffcb5aff,28000276,40754,31,
31,#2VPVY2YL8,火|JoboFox💫,0xff4ddba2,28000231,40559,32,Cute Fox 🦊
32,#9CG8JUVJR,pouet-pouet,0xff1ba5f5,28000151,40380,33,Loungris
33,#2YLC9UGG8,Ghost Rider,0xfff9775d,28000290,40258,34,pique>shakira
34,#P0QYV2RGV,mat1pe,0xfff05637,28000242,40216,35,Light legend fr
35,#L99LRGVL8,DC,0xfff9c908,28000216,40080,36,§håÐðw χ
36,#82RR2282G,M4|SEYİT,0xffa2e3fe,28000017,40021,37,Ekip
37,#JVRGU8YY,HS | MFS,0xfff9c908,28000273,39415,38,YENİLMEZLER
38,#990V8VCY0,путь леона,0xfff05637,28000259,39149,39,Never Die 🪐
39,#2GY2CVUVY,🇧🇷cr700🇧🇷,0xff4ddba2,28000064,39088,40,AM:)CLUB
40,#8G9Q8922L,patatin,0xffffffff,28000349,38731,41,Team Patatin
41,#Q0Q2U82QV,NATALİ,0xffff8afb,28000205,38646,42,BS PROLARI
42,#J9V9GV0R,tommy307,0xffa2e3fe,28000266,38459,43,REAL CUOCHI
43,#LC2GRUQVQ,¯\_(ツ)_/¯,0xffcb5aff,28000335,38065,44,亂鬥俱樂部
44,#92P028Y99,CALIN BOSS,0xfff9c908,28000176,37820,45,Ro|Push🇷🇴👾↩️
45,#8LLRLGQ9Q,BS_ROMAN_BS,0xfff05637,28000146,37817,46,Tour dè France
46,#9PP9U09QY,[Гем] Егор,0xffcb5aff,28000264,37688,47,крутышки
47,#Q0UQRYYY,ddik 💠,0xffffffff,28000292,37409,48,КОПИ КОПИТЕЛИ 2
48,#LVL0YLRRL,sveta,0xffff8afb,28000188,37239,49,
49,#2G8CRLQU9,bouboune,0xffffffff,28000220,36987,50,
50,#8LU8GRRGC,zͥⱥlͣoͫy,0xffcb5aff,28000129,36953,51,
51,#JQPCGJUP,GX_Bundecan,0xffa8e132,28000335,36716,52,BS|IMPÉRIAL🇧🇪
52,#8U890GYL2,QLS|Saúl,0xff4ddba2,28000335,36642,53,The cruks
53,#QYU89QVCL,noseTT,0xffffce89,28000232,36556,54,TK|eSports®
54,#Y08PQCL2L,KREKSHİOST™️,0xfff9c908,28000331,36536,55,SUCUK
55,#LCUQY2U9U,Vam nia,0xffcb5aff,28000305,36464,56,naftalin club🍪
56,#PVQ8GYR28,<[DB]>,0xffcb5aff,28000318,36452,57,Kɪɴɢ | ᶻ🖤
57,#YU9VQ0VRL,max,0xfff05637,28000168,36396,58,pro pelaajat
58,#L0CQJCC9P,Neon,0xfff9c908,28000069,36229,59,♣] OverLord [♣
59,#229LC208C,Snow_Lake_YT,0xffa8e132,28000272,36158,60,МЕДВЕДЬ-ШАЛУН
60,#2P9PRQ099,ON/OFF,0xff1ba5f5,28000185,35563,61,The カンボジアチョコ柾一
61,#PP00YYV9U,TERMİNATÖR🇦🇿,0xffa2e3fe,28000015,35377,62,Corona Time
62,#GY29PLP,BestiaRigou,0xffff8afb,28000305,35347,63,
63,#2YRQJ2J8P,veneno,0xfff05637,28000352,35169,64,The cruks
64,#YY2CJR0RV,Давид про,0xff4ddba2,28000207,35109,65,ТЁМНАЯ РЫСЬ
65,#8VGJVJPV2,memento mory,0xffa2e3fe,28000142,34959,66,
66,#9GUQ8RYJ8,Чухин,0xffff9727,28000272,34906,67,xentai
67,#PYLVRYPGJ,yaaesr 305 10v1,0xffffffff,28000288,34890,68,الملوك
68,#PGYG20PCR,Zocker Watte,0xfff9c908,28000074,34838,69,GoldenerClub
69,#2C8QYP9G0,Philipp POP,0xfff9c908,28000132,34669,70,RU|Showdown🔥
70,#Y2YYC2VC0,FlushWe💦,0xff1ba5f5,28000219,34592,71,NorthPowerClub
71,#8YUV89V8,Тёма,0xffff9727,28000294,34487,72,АРКА ШИФР
72,#80G89RQPJ,The_King_Jumanj,0xff1ba5f5,28000352,34193,73,Golden Dragons
73,#YQJJRJ2VQ,Liberato,0xffa2e3fe,28000004,34113,74,le virgole
74,#80L802CUU,fight freedom,0xfff9c908,28000341,34080,75,Eğitim Kampı
75,#L0JVL08PC,⛩Kamran🎋,0xffff9727,28000211,34074,76,H3LL>FIRE
76,#9292YPVVL,Last king,0xffffffff,28000000,33973,77,Moslavina
77,#8QYCQCGPU,Кай 333,0xffffffff,28000255,33823,78,THELKINDOM
