,tag,name,nameColor,icon,trophies,rank,club
0,#2RRPYRR2G,Kaân🤍Esrâ,0xffffffff,28000000,59915,1,💞💞
1,#929U9CYL0,SK|CROW VGX,0xffff9727,28000205,50333,2,TEAM TURTLE🐢II
2,#PGJPLC202,Toskano ニャー,0xffcb5aff,28000330,49107,3,Лучшие Игроки💔
3,#92P2CYYJP,alej37,0xffff9727,28000352,48180,4,los legendarios
4,#289CVYRLC,🫧乃卂尺几丨乇ㄥ乃卂ㄒ乇💗,0xff1ba5f5,28000164,47526,5,
5,#88U99JR8Q,szymix123,0xff1ba5f5,28000345,46397,6,Spocone tryczki
6,#VC0LVLR0,bot 2,0xffff9727,28000336,46207,7,
7,#8PL0GPVPG,yuppi,0xffcb5aff,28000294,46152,8,супер
8,#2PG0VCLV9,금이🥇,0xffff9727,28000305,45951,9,
9,#P9R2J8YGV,KRYASANO,0xffffffff,28000139,45170,10,клуб афки и фэа
10,#GVG8LVQ9,MrT,0xffff9727,28000347,44474,11,Marvel•Avengers
11,#P2V8UJ80J,bighom🥺,0xfff9c908,28000172,44217,12,нефоры аквапарк
12,#R8C09U0G,⌯⌯⌯⌯⌯⌯⌯⌯⌯⌯,0xffa8e132,28000169,43683,13,PH Brawler
13,#9R0Y2QQUR,[ёж] w1er,0xffcb5aff,28000151,43489,14,☠️Oтmoрозku☠️
14,#PRVUYLLCY,Elpi_Tolargo,0xffa2e3fe,28000352,43092,15,⚡WïÐgê† †êam☠️
15,#8JCVPV908,Ren,0xffa8e132,28000073,42699,16,☆DeutscheBande☆
16,#9J088GRRL,RONALDHIÑO,0xffcb5aff,28000173,42415,17,EL CLUB
17,#8JGV08VYQ,Alexis,0xff4ddba2,28000228,42108,18,
18,#8GGRCJ2RR,zozo86,0xff1ba5f5,28000156,41885,19,New United
19,#RR2R0J90,𝐿𝓊𝓍🔜🔥,0xffffffff,28000174,41871,20,La TeamPingouin
20,#8YJPU8PPG,꼬미그미,0xffff9727,28000182,40951,21,브롤아빠와 브롤탱탱들
21,#YL2CUCGLP,tomas tarpan,0xffa2e3fe,28000285,40581,22,rtaui
22,#9UQ9URYCQ,𝔹𝕊|𝙎𝙥𝙤𝙤𝙠,0xff1ba5f5,28000019,40461,23,Family Guy NA
23,#9QGUYYJGJ,d’jinne,0xffff8afb,28000333,40416,24,Brawl style 2.0
24,#92RQ2LUJJ,MST | DDZP,0xffa8e132,28000095,39866,25,Mosqueda team
25,#298992C22,💨|Rds|64⛩,0xfff9775d,28000023,39751,26,Ракета🦝|USSR🚀
26,#YGU0G0VCP,Lokn0_Sioda😈,0xffa2e3fe,28000140,39581,27,La White
27,#PURRGR,TEMMI,0xffff8afb,28000286,39409,28,супер
28,#2UPCRJCPP,Малика ❤️,0xffcb5aff,28000310,38891,29,YT:UNF TALIP
29,#P0JP808LQ,I.L.L.I.A.,0xffcb5aff,28000048,38605,30,29 бандітів
30,#QP8JQG0J,Գ 乇 尺 1,0xff1ba5f5,28000337,38321,31,The Late Night
31,#PRGYUVLG0,Лава,0xffa2e3fe,28000175,38254,32,
32,#2C82QUJG8,TT|utichka.bs💞,0xffcb5aff,28000135,38149,33,Сквад Штанов
33,#29U2C920V,AXE | Blédina,0xffffffff,28000004,38134,34,
34,#PQVL0VJ00,|ICE❄|OS31YT|,0xff1ba5f5,28000168,38012,35,Les dervalais
35,#9CQYJG0L,salah,0xff1ba5f5,28000077,37983,36,
36,#20URYGV80,mika.🧸,0xffffffff,28000228,37943,37,
37,#PV2G20LU9,AGO|𝑁e𝑍ø✘,0xfff9c908,28000303,37584,38,AGO ESPORT 🔥
38,#L8JGV90JG,elite,0xfff05637,28000280,37538,39,brawzil
39,#2V8L00P2,sebastian 6b,0xffffffff,28000129,37403,40,Samisgay
40,#28QU2LRGV,Oscar Gignac,0xfff9c908,28000061,37318,41,OFFWHITE
41,#2VQ8C02U0,🔥zokafo💧,0xfff9c908,28000333,37122,42,Nani's Club
42,#YJRCGG29G,_LifeMaster_|YT,0xfff9c908,28000305,37119,43,ImmortalSword⚔️
43,#2YC0VP2YJ,☔|MW|⛩,0xffcb5aff,28000002,37080,44,Zware Jongens
44,#8CGRR9LLU,🌘BaBer_del(YT),0xff1ba5f5,28000076,37041,45,🔥SamuraI🔥
45,#P0U8U0PGL,agusanty075,0xfff05637,28000103,36966,46,
46,#PQ2PJLQGJ,ЗиФиРка,0xffcb5aff,28000175,36908,47,brawl>ho3$
47,#22RRJLC0V,Franco el pro,0xfff9c908,28000233,36878,48,Tenjiku
48,#920PLL2J0,lameculitos677,0xff1ba5f5,28000170,36683,49,Team Inmortal 2
49,#LPQP9C8V,nsevka,0xffffce89,28000035,36359,50,seirin
50,#C00GU2UQ,yuto,0xffcb5aff,28000056,36207,51,Shadow Nemesis
51,#90P9JYJJP,dazxcd,0xffcb5aff,28000281,35958,52,Apple 🍏
52,#9VVCJCR9C,super bro[YT],0xffcb5aff,28000156,35870,53,🥀MaR|GeStaR⚜️
53,#22LCVJRR9,Fluffy Darkness,0xffffffff,28000017,35667,54,PRO
54,#9CGR00VUG,леон,0xffa2e3fe,28000077,35619,55,Г*У*С*И
55,#8JLJL8Y8J,😎ONE PIECE😻,0xff1ba5f5,28000233,35561,56,LR|LightRed
