,tag,name,nameColor,icon,trophies,rank,club
0,#89J2VUL8P,Deontay,0xff4ddba2,28000155,57985,1,ФLEX
1,#P82QR08JP,Zeta|Tensai,0xffff8afb,28000334,51162,2,🇷🇺Russia 🇷🇺
2,#2QQ8VVPG,yffe,0xffcb5aff,28000164,49589,3,Ушастики
3,#8V8CUJ0G0,GenADiy,0xffa8e132,28000206,48767,4,Forward Team🍃
4,#LCQ208C0Y,老板 ᶜᴰᴬ_ᴷᴵᵂᴵ🇫🇷,0xffcb5aff,28000225,48476,5,Brawl stars
5,#880GG0800,[БЛЕТ] Digll 2’,0xfff9c908,28000221,48225,6,го по рюмке
6,#PRGY88VCC,VZ | Kristian,0xffcb5aff,28000187,47325,7,
7,#802UYPRPL,YT|FelinRoue,0xfff9c908,28000017,47001,8,The Meteor ☄️
8,#2GYRR9LJJ,Тоникс,0xffff9727,28000184,45445,9,уздечка тихого
9,#CURRVCYR,Nicolas :v,0xffffffff,28000159,43814,10,Team Heroico
10,#PCL08V80L,smileツ,0xffa2e3fe,28000352,43047,11,НеАнгелы
11,#LV8YYC8,𝐢𝐓𝐳𝐙𝐚𝐢 🦇,0xfff9c908,28000139,42010,12,DontFearUs
12,#YVUQL9R0C,YT|Mindstorm💥,0xffff8afb,28000317,41838,13,lolSta
13,#9RCQQP0L2,シ𝒯ℴᵇⁱシ,0xff1ba5f5,28000229,41269,14,Ger|Elite
14,#8CYVG9RLR,[LP]LINE,0xffa8e132,28000303,41246,15,@Молодежка@2023
15,#2Y0QCLYJG,Crainer,0xfff9c908,28000160,41241,16,OC|CriperocksNT
16,#8YGQJGQV0,Oneshot Gun,0xffcb5aff,28000139,41092,17,Mad Cats
17,#9VULV8Y9Y,-𝚚𝚚𝟷𝟷𝟷🎴,0xffff9727,28000104,40636,18,
18,#880YRPUQ,Čech2,0xff1ba5f5,28000294,40580,19,Black Leons
19,#LUCQRUR2U,🇺🇦Соня,0xffcb5aff,28000348,40464,20,BLACK AMG
20,#Q8QVUYUG,あ•Ƒ͢ɑɧɍɪ̽〆 🖤,0xff1ba5f5,28000014,40460,21,<c2>TR</c>|SOUL
21,#8RJPLR88Q,🌊Poͥseͣiͫdon™,0xff1ba5f5,28000341,40124,22,
22,#Y8PU8PYG,🌌🌠Krosik🍀🪐,0xff1ba5f5,28000175,40072,23,борщ в деле👽
23,#Y80VU0JL,<c2>oof</c>,0xffa2e3fe,28000305,40051,24,AOA|champion
24,#9LVVQYVQG,мил бурмалдыр,0xffcb5aff,28000305,39744,25,мама аглаи
