,tag,name,nameColor,icon,trophies,rank,club
0,#2QPJQ8QRQ,bagi,0xff1ba5f5,28000335,78860,1,Brawl King's
1,#8JU9GVVJJ,Marko Pintarič,0xff1ba5f5,28000140,71191,2,100k
2,#2RG88PCU,RICKY6,0xffcb5aff,28000220,67494,3,LEGENDS
3,#88UC200YU,●lionking●,0xff1ba5f5,28000000,67100,4,LEGENDS
4,#GGQR0YGU,scam🐙bloods,0xffff9727,28000134,66226,5,Beyond Kratos
5,#2LUJRJQ90,☔smurfツ ᴷⁱˡˡᵧₒᵤ,0xffcb5aff,28000281,64501,6,Radiance
6,#GU2GVPYG,蠢|KoTeiKaa🩸,0xff4ddba2,28000155,61666,7,QLASH Serbia
7,#YQ9RPCYV,Demon🐺,0xff1ba5f5,28000345,60746,8,Radiance
8,#980P8LYPR,Jaskoo739,0xffa8e132,28000284,60365,9,LA Kings
9,#9L2RYRCUP,𝑫𝒓𝒐𝒍𝒍🐨,0xfff05637,28000226,60000,10,Kranj Esports
10,#YYCPU8V82,jolo,0xffcb5aff,28000014,58756,11,ᵀᵉᵃᵐᴱˢᵖᵒʳᵗˢ
11,#2U99U89P2,Cleopatra,0xffa2e3fe,28000137,58057,12,Chimera Gaming
12,#2VUY9G92,luka1473,0xff4ddba2,28000305,57969,13,TKE|PRIME
13,#29YRJV0QU,BZKCMEGA9,0xff1ba5f5,28000305,57843,14,Kranj Esports
14,#2RQCJGLP2,Fenrir,0xffa2e3fe,28000137,57696,15,Chimera Gaming
15,#LCP2LUP2,Zombiᶜᵃʳʳʸu😈❤️,0xffff8afb,28000349,56732,16,Crna ruka
16,#8CGVGGR29,Emcholini,0xffff9727,28000242,55969,17,Radiance
17,#8LLCG20U,4Supreme2Ruler0,0xfff9c908,28000020,55840,18,DynamicDrillers
18,#P00J9PPQ,奭| Aljo™️,0xfff9c908,28000267,55611,19,DynamicDrillers
19,#V9CV92Q8,Milo 🎲,0xff1ba5f5,28000136,55541,20,<c2>B</c>OA
20,#8GP08VPR0,𝑳𝒊𝒈𝒉𝒕⚡,0xffcb5aff,28000129,55428,21,Kranj Esports
21,#P809VYV0L,Jaydenᴴᴬᵀᴱ ʸᴼᵁ⛩,0xffffffff,28000134,55418,22,
22,#PRJLUQV0,Tilen Car,0xffff9727,28000159,55362,23,NewWorld🌎
23,#LPRLQ02LC,|shulI_poPI♣️🥀,0xff4ddba2,28000341,55202,24,ТРАТА-ТА
24,#Y8JU98Q2R,TTM|Arthur🐐,0xffffffff,28000283,54153,25,DynamicDrillers
25,#928PC9PCL,kralj,0xff1ba5f5,28000156,53944,26,Kranj Esports
26,#QG802P0P,🔥urh on fire🔥,0xffffffff,28000175,53877,27,DynamicDrillers
27,#PPUUQ0JQV,⛩SK|Fox🦊🥀,0xfff9c908,28000165,53590,28,
28,#8CYJYY82R,SB/Rusty_54,0xffffffff,28000202,53467,29,We're Back😈
29,#P0VLLLY0Y,♡︎Videkk🌴,0xffff9727,28000047,53273,30,Kranj Esports
30,#P08QLRCV,nba4uꨄ,0xffcb5aff,28000129,53227,31,Kranj Esports
31,#292GQ922,shadow,0xffa2e3fe,28000163,53195,32,VIP
32,#9GLYRQ80G,☄️|ʟᴍᴀᴏ✰ᵒᵖ,0xffffffff,28000000,53067,33,
33,#8JG0LGQRG,💫12💫JeReBeC,0xffffce89,28000221,52922,34,ᵀᵉᵃᵐᴱˢᵖᵒʳᵗˢ
34,#2YQ2R0YRQ,Megapire,0xffff8afb,28000278,52863,35,Kranj Esports
35,#8UJC99GQV,krut skam,0xff1ba5f5,28000021,52763,36,Nova Slovenija
36,#RCU2UQPL,Breks,0xffcb5aff,28000128,52529,37,vip brawlers 👑
37,#UG8PY0GG,GG|MAJ,0xffa8e132,28000320,52467,38,⚡FIŽOLKA_club⚡
38,#PPL9YQ9PC,☔🥀Vexᶜᵃʳʳʸᵤツ☔,0xff1ba5f5,28000346,52341,39,<c3>D1</c>
39,#8JGJVV2LG,BBA|chuft,0xff1ba5f5,28000322,52221,40,Showdown💔
40,#90L0ULGQ2,Свайфи🥺,0xffffffff,28000183,52105,41,Warriors Way
