,tag,name,nameColor,icon,trophies,rank,club
0,#JR9YRPYU,HYPER,0xffff9727,28000272,54275,1,WeDominate
1,#90LLCGLPU,najiib5,0xffff9727,28000347,51845,2,Top G
2,#YPJR9QPQ0,6S6 | sastrad,0xffa2e3fe,28000284,50421,3,Showdown & 3vs3
3,#PVPCJ9CVG,❦︎A҉x҉e҉l҉❦︎,0xfff9775d,28000183,50236,4,DutchSpook 👻
4,#9U9UJ2GLJ,GHI,0xffcb5aff,28000024,49326,5,🇵🇱POLAND🇵🇱
5,#9R900L2VL,😈bs_PloHisH😈,0xffa2e3fe,28000208,48807,6,Euphoria💋
6,#8GVL8R28G,Iᴛ's Denortik?☄,0xffffffff,28000321,46916,7,пуш 30ка😎
7,#Y2LYPVCU8,PIPE STAR,0xffffffff,28000176,46603,8,TTM|𝓝𝓪𝓰𝓲💙
8,#2JR99P08Q,Valinhopro,0xffffce89,28000095,45787,9,<c4>SF Game</c>
9,#PLYRRQ2RJ,salahudeen,0xff1ba5f5,28000135,45341,10,dutch-boys
10,#20LVP8RJP,FT | zigarde38,0xffa8e132,28000112,44664,11,
11,#PLLRLY8PY,wojtula,0xff4ddba2,28000106,44601,12,2 potężne kidy
12,#CCCPJUJQ,꧁ঔৣ☬𝓓𝖔𝖓✞☬ঔৣ꧂,0xff1ba5f5,28000305,44453,13,ImmerHigh
13,#8PQV8RRQQ,F10|𝐙exs•💛,0xffffffff,28000233,44043,14,Los Cañoneros
14,#8Q2UUV29,Matthew,0xffffffff,28000301,43912,15,TheReefs
15,#89922VYCC,AXOA GAMER,0xff1ba5f5,28000134,43907,16,AXOA GAMER
16,#8C2GJRLJU,🇰🇷NL|Fłour🔥,0xffff9727,28000305,43295,17,NL
17,#800G8RPLP,NIKE✨,0xffff8afb,28000273,43180,18,한국인의 밥상
18,#LG0290JYR,😈JOKERf.. 😈,0xffff9727,28000335,43159,19,Crimson Thunder
19,#RQGUL0UR,Nobody,0xffcb5aff,28000335,43112,20,comrades gaming
20,#U2UQ8UPV,🔥ᴛᴏxɪᴄ|ʟɪʟ🔥,0xffff8afb,28000349,42250,21,Imperial🔮
21,#PP9QYJCY2,Talison bc,0xffffce89,28000333,41854,22,SPACE X
22,#P8R2982JV,Sai🤫ful,0xff1ba5f5,28000278,41850,23,<c4>SF Game</c>
23,#8QY8RRUYY,MysterY KnighT,0xffa2e3fe,28000332,41558,24,kings of brawl
24,#9QQ29JPGP,獄|Claudiu,0xffffffff,28000168,41376,25,Elite|Power
25,#P0822Y8R9,时刻|Training ❤,0xffffffff,28000182,40861,26,Hadel•Va•
26,#Y0UL92LYR,tomar753,0xffcb5aff,28000003,40782,27,
27,#2YLVQV28J,zam,0xffcb5aff,28000187,40720,28,BlueFire💙🔥
28,#P29JV2VJR,Karışık adam,0xfff9c908,28000211,40206,29,SKG
29,#9C8LG92LY,🇦🇿UĞURA.Z.E,0xff1ba5f5,28000305,40147,30,
30,#2GQQP0LY8,『Gzb32』,0xff1ba5f5,28000305,40012,31,Brawl|Family
31,#2GYG0L0RR,FORCE💸,0xff4ddba2,28000290,39944,32,nicebutt
32,#8UCQ29V0P,~nbd~,0xfff9c908,28000248,39797,33,chance
33,#2CU8RLJPQ,스타즈,0xfff05637,28000033,39778,34,한화이글스
34,#2CR9RRQPQ,황금불사신,0xff1ba5f5,28000348,39641,35,반브접
35,#Y08PV0LCR,Azəri,0xffff8afb,28000305,39468,36,AZERİ🇦🇿
36,#8JVVPPPPG,EternalDespai🥀,0xffff9727,28000156,39400,37,
37,#20J9V9JY9,ALVAPRO,0xffcb5aff,28000168,39269,38,LOS PRO
38,#JJJCV0VG,KinG/WhyMath,0xffa2e3fe,28000061,39238,39,꼬니×용석 크로스
39,#820UJCQ80,naruto crevette,0xff1ba5f5,28000335,39183,40,Striks
40,#9R9JC9G2V,"""_DARK_""",0xffcb5aff,28000274,38873,41,Адекватный клан
41,#22Y8PU898,༄Jerry64♔⛩️,0xff4ddba2,28000187,38678,42,𝐌𝐨𝐫𝐭𝐢𝐬ᵍᵒᵈ
42,#9GU8UP82C,♕Podtopienie♕,0xffa8e132,28000303,38673,43,Brawl kotki
43,#CJPQ8CP2,《°•♤LüČīFěr♡•°》,0xffcb5aff,28000129,38582,44,brawl papás
44,#RG9P29CU,爱丈|Can🖤🔥,0xff1ba5f5,28000003,38576,45,CAN 2000
45,#8JCY02LJY,스피도,0xff1ba5f5,28000279,38512,46,잼돌
46,#LL8L2Q8V2,whotfs ArC? 🌟,0xffa2e3fe,28000196,38398,47,GAME OVER
47,#9CU82LC0P,♣︎sawex♣︎😔,0xffcb5aff,28000023,38276,48,я люблю ваню
48,#2QUUVYLQ,GY|ᵇʳᵠ ᵇʳᵒʷᶰ❦,0xffff8afb,28000283,38220,49,
49,#80CQLLC20,Mert_Furkan,0xfff9c908,28000233,38189,50,KAH
50,#JVU99JY9,jess69,0xfff9c908,28000170,38126,51,
51,#G0VU8RCG,PapaToni,0xffa2e3fe,28000099,37817,52,Yébenes
52,#GJQR9GC8,Ar41,0xff1ba5f5,28000078,37653,53,Могучие Воины
53,#2R2YY8G20,ЧИКИБАМБОНЁНОК,0xffffce89,28000294,37420,54,⭐Star Academy⭐
54,#R0LVRJYC,M7MD ZD,0xffff8afb,28000094,37306,55,Mini Drinks 🍹
55,#P0R0RCLUU,[БАН]Dimon,0xffcb5aff,28000226,37293,56,Haterade
56,#LYGCCJLQR,🖤👑HESAM👑🖤,0xffcb5aff,28000280,37280,57,Persian Friends
57,#YJRPCRCV9,paulorapidonlin,0xffcb5aff,28000164,37136,58,
58,#J98PU9L2,F4KÇÃO,0xffff9727,28000265,37125,59,Adultos Academy
59,#2V8QVY0JL,gamerboss,0xffcb5aff,28000114,37111,60,FireRider☆3
60,#Y8QG2YRVV,NickSamiVol2,0xffff9727,28000272,37077,61,DTH | MAKARONIA
61,#98QP0PQJ8,RADU|YT,0xffcb5aff,28000156,36952,62,OG Players
62,#P9P0L8URJ,МегаБой,0xffcb5aff,28000222,36796,63,Шакалы
63,#PQ92P0GRG,zxc|du0l🐊,0xffffffff,28000211,36779,64,👾monstrik👾
64,#88RYL99J0,3ammo,0xff4ddba2,28000296,36597,65,Mage Knights
65,#PRGLC0RVU,ẁĨℕ|KELLITˣᴰ,0xffa2e3fe,28000348,36477,66,태형
66,#8PR2JJP8,JT🙏,0xff1ba5f5,28000168,36211,67,TEAM HN :V
67,#8QQRYVU28,reio,0xffcb5aff,28000125,36168,68,CD ALEGRIA🔥
68,#PGVCRG28Q,hero,0xfff05637,28000259,36135,69,
69,#PL8RC99RP,Мура_тупа,0xfff9c908,28000271,36079,70,
70,#PC0R8YLQ8,Rudra. 👑🔥KING,0xfff9c908,28000331,36034,71,HEROIC BRAWLERS
