,tag,name,nameColor,icon,trophies,rank,club
0,#P9QV0YGUU,B̸I̸G̸|ˢᵃᵐ🥀🖤,0xffcb5aff,28000305,58217,1,سراقب وبس
1,#8Q9PLGYYL,༄ᶦᶰᵈ᭄✿Tristan࿐,0xffffffff,28000305,55940,2,Scots
2,#L2LJQ9JL,777,0xfff9c908,28000221,55709,3,Instinct
3,#22VC0LPYR,SPL|LuisVortex,0xffffffff,28000140,55556,4,Super Pesadilla
4,#80QVRR8LJ,TBD|LoneBoy🐺,0xfff05637,28000103,54881,5,
5,#9GC9YPC0Q,Starlight,0xff4ddba2,28000136,53214,6,Instinct
6,#VLUUJJ8,𝕻𝖘𝚈c𝖍𝖔ฟҩℒℱ,0xffcb5aff,28000291,52945,7,RKS|KINGS
7,#2UCPGJG,SPK_カルサイト,0xff1ba5f5,28000315,52833,8,なかやぶそとやぶクラン
8,#9LUYL2L,Banrox,0xffff9727,28000138,52739,9,Instinct
9,#JLQVP,Ａｙａｎｏｋｏｊｉ 😶‍🌫,0xfff9c908,28000272,51821,10,YlFAN :)
10,#8PYV2JRPJ,N1ghtBlad3,0xffa8e132,28000310,51626,11,SpicyTunaRoll
11,#PPCVP898,Zutan,0xffff8afb,28000164,51546,12,Instinct
12,#2VRPCVCQL,Jelly Beans,0xffcb5aff,28000271,51097,13,Eternal-X
13,#8CLPYJ2PP,TTV_KingDre,0xff1ba5f5,28000158,50980,14,Us VS The World
14,#99GRVVP,★WG★Torαk,0xff4ddba2,28000305,50687,15,The Fountain
15,#2LPYG0LRC,Phoenix,0xff1ba5f5,28000041,50623,16,Alpha Rush
16,#Y0C08UY0,Kimi,0xffffce89,28000139,50527,17,A$AP MOB
17,#G0RR8GY,♧炼狱|Goatsaw🐐🤍,0xffff9727,28000196,50413,18,Instinct
18,#2Y0YPGLCC,❤️🇵🇸║A.A.A✊,0xff4ddba2,28000212,50372,19,<c5>No laws</c>
19,#P2PJUYP2,Frootsy 🐐,0xffffffff,28000106,50271,20,Instinct
20,#92GGLJQJV,REAL,0xfff9c908,28000015,50249,21,REAL TEAM
21,#8VQ9098V,ZA|Plebster™,0xff1ba5f5,28000322,50002,22,〤<c1>RAVEN</c>〤
22,#VG89PJ0G,Switch>.<,0xffffffff,28000349,49903,23,Joburg Rules
23,#98YVVL90L,are u lekker,0xffffffff,28000290,49646,24,RR | RandomRage
24,#2CVYGCP,Skully,0xffa2e3fe,28000290,49369,25,Instinct
25,#992J8JP92,SLOTHFEET,0xffcb5aff,28000305,49278,26,Joburg Rules
26,#Q800Q98,WashedMD,0xffffffff,28000038,49194,27,
27,#299G9PQJ,pRi,0xff1ba5f5,28000264,49091,28,Instinct
28,#PP9JVC9JY,Tortoise🐢Dave,0xff4ddba2,28000273,48972,29,Svea Apex
