,tag,name,nameColor,icon,trophies,rank,club
0,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,90807,1,CONEXIÓN
1,#QRU0L0U,🐬ꜱᴏᴋʀᴀᴍ 🜲,0xff1ba5f5,28000201,81506,2,CONEXIÓN
2,#R2R2JV9C,S4W|Aste❤️‍🔥,0xffff8afb,28000214,80356,3,Spain4Win
3,#LLQ8GY8,𝐓𝐡𝐨𝐧𝐲会,0xfff9c908,28000334,79235,4,BC*|Family*
4,#CJV2PJ0R,SK | Yoshi,0xffcb5aff,28000135,78925,5,Yoshi Fans
5,#2PJJQV92,V3|Flamen🤍,0xffffce89,28000230,78265,6,CONEXIÓN
6,#L99892JJ,要|мeɢα♕❤️‍🔥,0xfff05637,28000349,77499,7,BC*|Family*
7,#80808J2QV,🪐ᴳᵒᵈνϟcᴛᴏʀ 🜲,0xff4ddba2,28000140,77453,8,Tribe Turkey
8,#YQ9JVYV,ToniMxf.💘,0xffcb5aff,28000272,76115,9,ChillOG
9,#LRJ9YYQL,☞Տӈᴀ⚜ᴅᴏΧ๛,0xffffce89,28000014,75485,10,CONEXIÓN
10,#UUYCRQ82,Princesito,0xfff9c908,28000340,75287,11,Brawl King's
11,#GRC9RRJR,TQ | Javi,0xfff9c908,28000137,73914,12,A Few Good Men
12,#JPGRR9UV,Bowserr🥷被,0xff1ba5f5,28000206,73468,13,Brawl King's
13,#LCCU9J2C,﷽ʆοʀɢɛ⅂Ο⅂❦ֆօʟօ,0xffcb5aff,28000014,73374,14,Showdown💔Kings
14,#2VCR08Q92,シ︎𝕊𝕖𝕣𝕣𝕒⌫☯︎,0xffff8afb,28000291,73257,15,IG|Guiserrabs
15,#Y2CU828,Jorge🖤🐼,0xff4ddba2,28000349,73138,16,CONEXIÓN
16,#JRU9882V,Магiiо🎈,0xffffffff,28000058,72635,17,TT: niiil_06
17,#28YCQ9809,why so clown?🤡,0xffffffff,28000330,72541,18,Tribe Turkey
18,#P0PULRC,Trebor🐣💛,0xffff9727,28000207,72407,19,A Few Good Men
19,#88V889J29,BBgs,0xffcb5aff,28000022,71547,20,Tribe Gaming NA
20,#QJQ0YPV,Danko,0xffff8afb,28000014,71301,21,
21,#CGJCRVU9,Bєѕтια🖤,0xff1ba5f5,28000123,71270,22,Ex0tic-E-Sport
22,#9GPLLRG0,Shu🥤,0xffffffff,28000299,71096,23,CONEXIÓN
23,#8LR2CUULV,TZ|ℒℴ𝒷𝒶𝓉ℴ❦,0xffa8e132,28000244,71006,24,STARS of BRAWL
24,#22GQU2LLP,IᴛᴢFɪʀᴇ❤️‍🔥,0xffff9727,28000333,70833,25,CONEXIÓN
25,#99UU9Q08,Fearless♛,0xfff9c908,28000241,70813,26,CONEXIÓN
26,#Y8CLQLRQC,Itadori↯,0xffff8afb,28000213,70761,27,Weasels Inc.
27,#RJPVP22Y,Swarm🩵,0xff1ba5f5,28000112,70398,28,Game House
28,#20J09PGYU,Øffsxy💘,0xffffffff,28000207,70372,29,Brawl King's
29,#28L99LPL2,𝐁𝐥𝐚𝐜𝐤ツ,0xffffffff,28000281,70002,30,Ex0tic-E-Sport
30,#RRLCRJ9Q,a4!⭐Ma𝐑tiℕ$ ♛,0xffcb5aff,28000336,69648,31,LA Spain
31,#V89Y2GP0,TQ | BosS,0xffffce89,28000349,69379,32,A Few Good Men
32,#8GPG9V0GU,Sunex玄,0xffffffff,28000125,69309,33,TT: niiil_06
33,#QR88UL98,DeNova🍷💋,0xffff8afb,28000194,68670,34,CONEXIÓN
34,#2LCGYUU8C,𝕽𝖚𝖑𝖔𝖔❄️,0xff1ba5f5,28000196,68485,35,QDR 🤷‍♂️SAPE🤷
35,#UQ8L0G0Y,Alex❤️‍🔥,0xff1ba5f5,28000297,68330,36,GoatLife
36,#9V8VGQCUQ,⚡STaℓv͢͢͢aℝø⚡,0xffcb5aff,28000318,68183,37,Salchicha Team
37,#9RCV80QL,Expresso☕,0xffffffff,28000044,68081,38,
38,#2090RQ0UQ,Myke Towers,0xff1ba5f5,28000058,68027,39,EU Friends
39,#YVRRRPYG,『徐Da🥀』,0xffcb5aff,28000349,68007,40,MB Legends
40,#GGU9P22,Midnight ⛈,0xffffffff,28000000,67980,41,Purple Wave
41,#2LLU0GYQJ,arturoベター,0xffffce89,28000202,67978,42,Brawl Kings
42,#UJQ92YUJ,S4W|MiYa🍥,0xffffffff,28000018,67942,43,Spain4Win
43,#222GQL2VQ,𝕏𝕒𝕠𝕝𝕚𝕞🍄,0xffff8afb,28000341,67933,44,AFGMela
44,#2QC9LG00Q,Caltex⚘,0xfff9c908,28000273,67879,45,vMoove
45,#82VQRCPCU,⌁Maяcø🐧,0xffcb5aff,28000191,67846,46,CONEXIÓN
