,tag,name,nameColor,icon,trophies,rank,club
0,#9GY22GC,Aadil077,0xffcb5aff,28000318,69537,1,Mini Me’s
1,#8YG08PGQU,Tribe|Rex 杏是,0xffffffff,28000053,63345,2,YouTube@WLT_BS
2,#P9GVRCJ8,☄️UR|SҜβᴮᴼˢˢ🥀,0xff4ddba2,28000210,61764,3,DaddySavage
3,#8U9RQQ9CQ,💦QLS|FABIO💦,0xffcb5aff,28000279,59515,4,Team🖤
4,#8V9GVRGLG,⚡️stra bibi⚡️,0xff1ba5f5,28000349,58847,5,✨Commonality ✨
5,#8V82LCPY,El4ik,0xffcb5aff,28000336,55560,6,Dan BroYT
6,#2LQP9QPR8,Faber ツ,0xfff9c908,28000139,54192,7,New Dawn
7,#QLJQQ20R,⚔CHARITH⚔,0xffff8afb,28000130,52824,8,MechaMegArmy
8,#2RGJQYQLU,LoRd MeWaN,0xffcb5aff,28000336,52600,9,
9,#82CUQGPU,Akaza|Tanjiro ❦,0xffffffff,28000095,52575,10,New Dawn
10,#9R9LRP2YR,van-van,0xffffffff,28000106,52021,11,LyNow🌗
11,#QQLLCP98,*thanraj*,0xffcb5aff,28000152,51598,12,La 7eme Cie
12,#2RJGCJRPV,Shadow,0xfff05637,28000058,51312,13,brawl school FR
13,#2YLG9J880,♦️fire♦️,0xffff8afb,28000332,51170,14,ecco2k
14,#J8VQUJG0,🐉UR|ΔZҒᴮᴼˢˢ🐉,0xff1ba5f5,28000352,51116,15,DaddySavage
15,#VLRRRCVV,AQM|Răzvan ro,0xffffffff,28000135,50613,16,PM | Gaming🧸
16,#PU9VGUCC,♣️SL CHAMIYA♣️,0xffa2e3fe,28000226,50605,17,New Dawn
17,#9U9GLCQCG,ᏬʏᴏᴜʀʙᴏʏDiniᏬツ,0xffffce89,28000016,50415,18,New Dawn
18,#9Q928GRJ,Secret!,0xffcb5aff,28000170,50000,19,SL brawl stars
19,#C8UYL29Q,Sandes,0xffa8e132,28000305,49525,20,GG Royale
20,#YC2RQYGU,신장내과ㅈ문의,0xfff05637,28000291,49122,21,나한테
21,#9028RLCUV,TC|EnisLuan™️🦇,0xffff9727,28000336,47740,22,TC|Clan™️🦇
22,#YVYL0R9Y2,Trigger,0xffff8afb,28000317,47401,23,
23,#L90R9YV9,jann,0xffffffff,28000005,46459,24,Greenyardzz
24,#8LJQYR0C8,✌ATHISH|CBK✌,0xff1ba5f5,28000347,46432,25,die bande 😱
25,#LYUJL2GRV,DEMON KNIGHT👹,0xffffffff,28000090,46413,26,KNIGHTS WATCH
26,#P9JQGUPVV,ʙʀᴏɢɢ,0xff1ba5f5,28000018,46247,27,Люtьle
27,#GCUJJCRQ,Bojo10,0xff4ddba2,28000335,46184,28,Clan<c7>Hub</c>
28,#9YLC8UCP8,MORTISᵏⁱˡˡ ʸᵒᵘ⛩,0xff1ba5f5,28000196,46148,29,Hypnose
29,#PUQVPQ0JV,Spo͢nge⸙,0xffffffff,28000097,45970,30,
30,#9GRLQVJ29,ᴀͥmͣaͫanᵗʰᵉ₽℟Ø⚡,0xfff9c908,28000110,45924,31,New Dawn
31,#Y9VGG09GJ,Dumiк,0xffa2e3fe,28000184,45920,32,El Fuego
32,#P9VGUV2GG,《~SL~》PAIN ¤,0xffff9727,28000104,45685,33,New Dawn
33,#82CYQJGCR,☠️HAWKEYE☠️,0xfff05637,28000259,45576,34,lankan warriorz
34,#8PQ90QLY,Mr. CHE,0xffff9727,28000137,45418,35,SL brawl stars
35,#V82G2R0Y,DEKU,0xffa8e132,28000305,45305,36,GTG|Fluorescent
36,#8QURQRQQQ,⚔️ANTA 𝖌𝖔𝖉⚔️,0xffffffff,28000167,45223,37,New Dawn
37,#8G2C9G8UR,☯︎SL|%CHARU☘︎,0xffcb5aff,28000322,44985,38,New Dawn
38,#LLQRYU2G,باتمان,0xff1ba5f5,28000156,44959,39,Clan legends🏆
39,#2880VJGLU,Øutwit|Rambo🍁,0xfff05637,28000079,44943,40,--C--
40,#J8YGUCC2,❦𝕬𝖗𝖎𝖊𝖘♛,0xffffce89,28000018,44882,41,New Dawn
41,#8LGRU9P9L,《Diablo》,0xff1ba5f5,28000305,44743,42,GG Tech
42,#2RYRPR88U,Peter,0xffffffff,28000030,44702,43,awesome77
43,#YG8LV2QLR,☣️MAX ANDROID☣️,0xffcb5aff,28000189,44421,44,New Dawn
44,#292PUUVGV,Aadesh,0xffffffff,28000159,44408,45,New Dawn
45,#2PJLQLVC8,ⓝ𝐞ｙΜ𝓐Ⓡ Ｊｒ☆,0xfff05637,28000161,44336,46,
46,#902JV2RJG,𝓜𝓪𝓹🏆Joy,0xfff9775d,28000164,44295,47,맵승인방
47,#YUJ9P9YVY,Naveesha🕊️,0xfff05637,28000349,44249,48,New Dawn
48,#8JQCJY2U8,⚡RAAIF⚡,0xffa2e3fe,28000182,44152,49,
49,#YRL2YGPU,TQ|ziggen©,0xffcb5aff,28000140,43959,50,LДПР
50,#PR00V9J,Affie,0xff4ddba2,28000260,43771,51,
51,#9P299QQC9,Uchiha Sasuke,0xfff05637,28000294,43549,52,Brawl Kings
