,tag,name,nameColor,icon,trophies,rank,club
0,#8Q2JLUVC8,戈｜Kai 〆,0xff1ba5f5,28000003,62203,1,
1,#UPVC8RCQ,TMV | ℳ𝓲𝓼𝓽𝔂,0xfff05637,28000334,56843,2,مصريين
2,#2YGGJYVL8,Destroyer ;),0xffa2e3fe,28000138,55281,3,TheBlackWizards
3,#YY2C2VY,🥀|𝑃𝑒𝑎𝑟𝑙♡︎,0xffcb5aff,28000217,53713,4,<c9>Dragon</c>✨
4,#8YC20YU8Y,たけのこ,0xff4ddba2,28000249,52543,5,DT
5,#YY2JJ22Q9,Goblin,0xff4ddba2,28000294,52161,6,Team Liquid SD
6,#PRPULQQYL,ツNinja℘✭,0xfff05637,28000334,51764,7,HGE|Team🐉
7,#CRGY98PR,Enshamy,0xff1ba5f5,28000272,51450,8,killers SD
8,#GQU2L2U9,SDO|MAX,0xfff05637,28000256,51344,9,Sudanese offset
9,#8URCC8R,Abdalluha,0xffff9727,28000156,50522,10,SnowStorm
10,#2GULVJQQR,KESTARS,0xffcb5aff,28000335,50018,11,TT| Gang_OP
11,#2U8QPVQG9,THE KING,0xfff05637,28000271,49562,12,killers SD
12,#P2G0GV2C,Valkyrie,0xffcb5aff,28000044,49482,13,Heilin Empire🌹
13,#899CCRY99,darki,0xfff05637,28000002,49453,14,Ranto Stars
14,#LVVQQR0U,☠️EVIL_ZER0☠️,0xff1ba5f5,28000225,49253,15,Les Doberman
15,#2UP28Y2U8,Light Yagami,0xffff8afb,28000333,48125,16,Watermelom_Gang
16,#9PR8YCJ2,ice king,0xffff8afb,28000196,47928,17,جعويط
17,#808UPLQ2Q,❄️POsEIDoN❄️,0xffcb5aff,28000276,47432,18,Second Sight
18,#G8CR02C8,[ПОТ] хлеб,0xffcb5aff,28000294,47256,19,💎BRILLIANT💎
19,#2L2RYYLLV,Trash Khibra ⚡,0xffa2e3fe,28000332,46969,20,Persian Gulf
20,#2R089YV2U,鳩佔雀巢檸檬茶,0xfff9c908,28000305,46924,21,無影榮耀軍-3
21,#RCPYR999,Abdo,0xffcb5aff,28000139,46705,22,sudan
22,#PLG2Y0QRY,eyadxx,0xff1ba5f5,28000295,46648,23,EG|Galaxy III
23,#VRRUJGQQ,ただの少年 ⱠɆ₲Ɇ₦Đ,0xffa2e3fe,28000347,46347,24,killers SD
24,#JL8RP0LR,zoool99,0xfff9c908,28000064,46297,25,SUDAN LEGENDS
25,#YCC9CYJ9C,MR. PRO,0xffcb5aff,28000336,46217,26,
26,#YPUY2C9Q9,Msqito ❥,0xffffffff,28000002,46131,27,Shaark’s gang
27,#8Y9JPUJR8,Tribe | gas,0xffa2e3fe,28000285,45953,28,RoyaltyBreakers
28,#YQPRCVC99,❄️ICE LORD❄️,0xff1ba5f5,28000125,45653,29,sudan
29,#82VRQ2P9Y,Maicon,0xfff05637,28000168,45585,30,
30,#8JJG0JG9Q,Nexus,0xfff9775d,28000347,45524,31,PRO LION YT
31,#P2LCJP8QR,❄EH⛩B☄,0xff4ddba2,28000285,45501,32,killers SD
32,#8P80V8QY,TMV | ＨＡＳＨＩＭ,0xffffffff,28000139,45442,33,killers SD
33,#9PUJ8Q088,Mahmud_*,0xff4ddba2,28000185,44902,34,Let's Go✌🏻
34,#9QP8LCC8Y,مينق,0xff1ba5f5,28000347,44835,35,sudan
35,#PP0R9LL88,𝔖𝔬𝔲𝔩,0xffffffff,28000110,44662,36,The rise
36,#2GPPRYRP,hshhsjs,0xffff8afb,28000156,44644,37,Alpakawolle
37,#YQ2VRJ08R,V1rUs,0xff1ba5f5,28000349,44561,38,Wakanda
38,#8PGCUY8JQ,🎯A.Torpedo💣,0xff4ddba2,28000347,44449,39,Avengers
39,#8JRYPRL2G,tete,0xff1ba5f5,28000156,44340,40,VIETNAM
40,#8PJCV292R,Killua🌴,0xfff9c908,28000346,44141,41,Oorah
41,#9CQGJCYR8,ZéRò,0xfff9c908,28000226,44082,42,the Brother 🇪
42,#PQUGRL0UR,𝑆𝑑❦𝑀𝑂𝑆𝐴𝐵,0xfff9c908,28000096,44072,43,
43,#2YY9QRPUG,Lord.babayaga,0xfff9c908,28000341,44051,44,sudan
44,#YY8JYJ8PQ,BIG.D,0xffcb5aff,28000062,44050,45,منورين يا حلوين
45,#9RVP2V0J,WAHBI | A-MAN,0xffcb5aff,28000079,43940,46,B2B | Eclipse
46,#GV00YG8G,KingAM,0xffff8afb,28000286,43897,47,GBANGERS
47,#8V9VJ0QG0,guio ♐️,0xff4ddba2,28000290,43865,48,LGY|ESPORT ⚡
48,#PQGJ09RVV,ImSadBoy,0xff1ba5f5,28000134,43630,49,
49,#2PY0GCGYC,{🖤DRACULA🖤},0xffcb5aff,28000207,43570,50,TR| TRYHARD🪐
50,#29JYUPYPP,عبدالعزيز,0xffff8afb,28000276,43400,51,
51,#9U9GUCJ,GØLDNDARKS,0xfff9c908,28000151,43337,52,
52,#88PV0LU8Q,ヤシン|THE BEAST ⛓,0xffffce89,28000262,43286,53,Team Liquid SD
53,#Y0CJ9JLJV,Mix funny,0xffcb5aff,28000281,43280,54,❄️ICE|CHILLE❄️
54,#20JGYYL09,GX LORY,0xffa2e3fe,28000142,43270,55,
55,#YRJPGJCG2,SD|✨️S҉A҉L҉I҉M҉,0xffcb5aff,28000262,43209,56,sudan
56,#892LLJQ2R,hassan🕹💯💯,0xfff9c908,28000077,43168,57,SUDAN HEROES
57,#CV8QU2UY,marwan,0xffa8e132,28000305,43164,58,ZERO☠
58,#2PLLL8Q88,RU|Kirito🖤😎,0xffffffff,28000280,42837,59,Hippie Lounge
59,#YYVCU80RY,Payback,0xffffffff,28000112,42820,60,
60,#8LLC9YRPL,amine_xd_YT,0xffa2e3fe,28000303,42761,61,COME BACK
61,#YQ2CP2URP,جوكر,0xfff05637,28000196,42714,62,black over
62,#8YGQYGQ22,vitrex个💕,0xffffffff,28000167,42601,63,NK 💞 Empire
63,#8UL0GLG2,مبارك شنتور,0xffff9727,28000261,42434,64,sudan
64,#82GPP99YC,™INFINUTU 🇷🇺,0xffffce89,28000003,42286,65,чайханааюбдима
65,#2229G89R0,🤟SADMBA🔥🔥,0xfff9c908,28000087,42276,66,killers SD
66,#2C09RQYR0,مقاتل الظلام,0xffffffff,28000000,42275,67,
67,#9LG8VJ8VL,ель рудо,0xffa2e3fe,28000305,42258,68,Risen Dead
68,#L28Y0JVJY,Mr.killerghost,0xffff9727,28000198,42257,69,Titans Legends
69,#PVUCLC82L,ZODIAC,0xfff05637,28000215,42170,70,اساطير ومعرقين⛩
70,#2VGRY08Q,ՅﾉΞﾉ乂≛♡ｱツ❦,0xfff9c908,28000341,42154,71,Die Da Nanana
71,#2UYV98QG2,✨FLOW✨,0xffcb5aff,28000129,41898,72,
72,#9GC20PYVR,Alien X,0xffcb5aff,28000126,41781,73,Underdogs
73,#8Y8VGYGG8,про,0xffffffff,28000314,41693,74,Весëлые Шмели
74,#9U8LJV0YR,MARTIN LUTHER,0xffa2e3fe,28000097,41651,75,Rampage II
75,#9RCGLPPG2,KGZ|BERKUT⚽️,0xffa8e132,28000284,41630,76,DeadINSIDE㊗️
76,#2RRVJY9LG,ZOB4IR.SUD,0xffcb5aff,28000017,41596,77,Minty_Ice
77,#22R2VG8Q2,james,0xffa2e3fe,28000312,41527,78,
78,#8UU0GRV2G,DragonAttk,0xfff9775d,28000187,41468,79,sudan
79,#L2VCL0P9Q,♠️♥️M.U.S♦️♣️,0xff4ddba2,28000352,41409,80,Steppe Falcons
80,#PQ902JULJ,SHADOW XM,0xffff9727,28000273,41338,81,Zombie🧟‍♂️Land
81,#20UUJ9QQ2,الفتى الذهبي,0xfff9c908,28000129,41261,82,killers SD
82,#9QRRGVULR,gato xd xd,0xff1ba5f5,28000196,41147,83,Brawl Templar
83,#PQYQVGQ9U,☠️RT(MEDO) $☠️,0xffa2e3fe,28000305,41068,84,🇪🇬الملوك👑
84,#9RPLJ8LC0,NIGHT^_^,0xfff9775d,28000023,41030,85,
85,#PG98RVQYR,ŦØƉØɌØꝂḮ⍟,0xffcb5aff,28000335,40940,86,
86,#R8U8CC2P,Lightcore,0xfff9c908,28000336,40894,87,GG|LegendS™
87,#8R0GYQG0V,GHOST,0xffa2e3fe,28000206,40878,88,Razia Club
88,#22LG29PVP,Zelda|あきやま,0xffcb5aff,28000028,40537,89,自宅警備隊東亜細亜本部
89,#88PG2U2JG,TRZ_M7md,0xffa2e3fe,28000262,40535,90,TRZ-Clan
90,#UG220JQQ,Ghost,0xffffce89,28000195,40519,91,
91,#P0CV8VC0U,3bdulaziz,0xffffffff,28000318,40465,92,
92,#9J09G0UVC,1V3|ZORO,0xffa2e3fe,28000115,40429,93,The King‘s
93,#UPJJ9C8R,Za warudo,0xff1ba5f5,28000129,40419,94,
94,#2P9VJ9RPU,☆OTASHOW☆,0xfff9c908,28000262,40405,95,killers SD
