,tag,name,nameColor,icon,trophies,rank,club
0,#2YQRGRQJY,ᶜᵘᵗᵉJesus🥞,0xffff8afb,28000345,62304,1,Army Of 300 II
1,#2CPCRY9GV,シ︎𝙷𝚠𝚘𝚎🌲,0xfff9c908,28000242,58454,2,龙?<c5>zeNts</c>
2,#8LR80C2G,Tezzz,0xffa2e3fe,28000151,57899,3,
3,#8VV8R80RP,Sniper_NatJ,0xffcb5aff,28000280,56315,4,Les Grillons
4,#2U8JUQQUJ,JLE/Juli crac,0xff1ba5f5,28000281,56019,5,juliluci
5,#C0RQJ9VV,emreシ,0xffff8afb,28000023,55842,6,SHIELD NL
6,#GYJR0GLQ,TP|Đark Angeł爱,0xffffffff,28000210,54707,7,The tops™
7,#2QV2C9ULY,skillmarshmello,0xfff05637,28000233,52908,8,Faze lula
8,#P8VU0GVCR,???,0xffa2e3fe,28000256,50485,9,Brawl Jurídico
9,#2J00VVJ9G,Fluxıı🧸,0xffffffff,28000321,49897,10,
10,#L8Y8GLUQ,《JORGE》,0xfff9c908,28000109,49773,11,<c4>OMEGA X</c>
11,#2JGC20VQL,Gx Ibra❤Grax,0xff4ddba2,28000140,49746,12,MARVEL AMICHI
12,#QP0C9GCR,『ツ•ᴇᴍ͢ɪ͠ɴ〆』,0xffffffff,28000150,48448,13,anaci tayfa
13,#RR2PV9R8,💘ⴽơ𝕘𝘦𝕣💘✈️,0xffffffff,28000023,48428,14,QGS|Mates🌹
14,#9UL0J98PU,ᵀᵒˣⁱᶜMr_ADIL,0xffa2e3fe,28000349,48369,15,les pros
15,#8UYGJJUVJ,彡☣️ToxicMan☣️彡,0xffcb5aff,28000288,48004,16,🐬ice Moon🐬
16,#9GC2PJV29,DW|Wemax~,0xffa2e3fe,28000280,47666,17,Garden🌙
17,#82CYCR8UV,Victory 주누🔥,0xff1ba5f5,28000217,47642,18,Finale
18,#99VYCU9Y0,[KL] NEKROMANT,0xfff9c908,28000073,47605,19,自由の翼
19,#LC9L98CQ,[LP] BBB,0xffff8afb,28000263,47453,20,Fantastic car
20,#PRVVJQRQ8,ᴳᵒᵈ|Rico'Z🥀,0xffcb5aff,28000305,47167,21,
21,#J88CUPQG,Just ♡-> Nuti,0xfff9c908,28000341,46601,22,B T H Gamma
22,#8QVJU9L0Q,EC|NOZINHO 🧸,0xffffffff,28000290,46485,23,Just Magic
23,#CY2VCL2U,КРЕЙК,0xffcb5aff,28000280,46430,24,Ukraine-Squad么
24,#U9J8JP90,лго,0xffff8afb,28000159,46300,25,Короли
25,#2CG9YCGJL,TQ|GuilleVGX☢️,0xffcb5aff,28000046,46129,26,Dark Reaperz
26,#LL0GYJQP8,Nãobebatodynho$,0xff4ddba2,28000179,45761,27,NOOBS ESTREMOS
27,#800Y8JJUR,8 - bit,0xffcb5aff,28000305,45700,28,COBRAKAI
28,#80LP2VL2Y,么Ꭲ ɪ ᴛ ᴀ ɴ╰⁔╯,0xffa2e3fe,28000297,45575,29,DeadINSIDE㊗️
29,#PY2QUY02,❌AnDrEa❌,0xffa2e3fe,28000296,45476,30,Modanesenabo🍌
30,#2UJCRJ8CR,невезучий пацан,0xff4ddba2,28000332,45426,31,♡⃝ ʜᴇʟʟᴏ ◡̈ ☽⋆
31,#2L8RUV80V,🐧|Pɪɴɢᴜ黄,0xffcb5aff,28000288,45403,32,Redder
32,#209PCPJRJ,альтушка игорь,0xfff9c908,28000262,45253,33,Армия
33,#9YYYCQRPU,PG|T0MEX😑,0xffa2e3fe,28000170,44960,34,Polish Warriors
34,#RQPLLQ9U,F.Hector_9,0xff1ba5f5,28000248,44848,35,team stecca 379
35,#8P0Y0GQCQ,le faucon d'or,0xffff9727,28000072,44780,36,Happy&Co
36,#8RY8GC2QU,☭NaVi | PeGas,0xffff9727,28000132,44635,37,Dark beginning
37,#90J2P8QCY,FKX|Shadøow,0xfff05637,28000187,44427,38,Brawl Lightning
38,#RR9QGYU2,DVD|David123,0xffa2e3fe,28000262,44418,39,Los craks
39,#GRRJU9V,Hellfire,0xfff9c908,28000170,44355,40,vierzwanzig
40,#9YY998LR0,tripletsbob1,0xffff8afb,28000029,44343,41,🇬🇷BAT| Family
41,#P2RPPVVPC,мега яшик везуч,0xfff9c908,28000330,44189,42,iFresh Team
42,#QP0JCJPL9,Starshooter,0xffcb5aff,28000288,44122,43,MegaSchwein Pro
43,#P9JYQL28Y,TOSTER!!!,0xffffffff,28000348,44078,44,ЧВК БОГИ
44,#20Q0LJ88U,❤️~ZeroTwo~❤️,0xffa2e3fe,28000044,43953,45,СП5
45,#9G0Y8Y8G2,🇮🇹KULIO🇮🇹,0xffa8e132,28000129,43863,46,LewissHouse
46,#QGQCGJYU,SAPPHIRE,0xffa2e3fe,28000150,43637,47,
47,#Y8008209G,🖤🤍Moon_Girl,0xffff8afb,28000038,43513,48,Brawl Starsgang
48,#2U00GLLCR,sait🥶🥶🥶🥶🥶,0xff1ba5f5,28000348,43504,49,<c8>~♡~</c>
49,#PPG8J9VJV,susbas,0xff4ddba2,28000175,43320,50,DAMN !
50,#92R0JG28P,DieNase,0xfff9c908,28000262,43293,51,Tire🐖🐕🐪🤬
51,#VP8CRC9Q,MeiiLyn,0xffcb5aff,28000224,43257,52,Bouncy’s Club
52,#CP28GGV2,DMN|FANPOPER,0xffcb5aff,28000222,43140,53,DMN eSports
53,#90CQP9Y0,CookieKid,0xff1ba5f5,28000233,43058,54,Pack Watch
54,#2LQ208V00,🇨🇭Ray|Pro🇨🇭,0xffff9727,28000156,42565,55,Astron Cube™️
55,#RCLY9LGL,Caligiuri,0xff4ddba2,28000317,42543,56,The Avengers
56,#99JUQJQRG,Grimwolf,0xffff9727,28000224,42416,57,Club
57,#PLCCP2JY,mans915,0xff1ba5f5,28000345,42341,58,🎭error⛄™Mx
58,#2P0YYL0Q,Valou33,0xffff9727,28000272,42114,59,INTOLERANT
59,#VY2UQU,doniecMaDUZEego,0xffffffff,28000000,42087,60,
60,#GJU8GLJR,☠BS|BerkuT☠,0xfff05637,28000290,42030,61,GuardS
61,#LYVPLPVU,あInfuzion.,0xff1ba5f5,28000150,41950,62,BlueFlame
62,#UJ2PPGQ0,babak,0xfff05637,28000272,41935,63,Overjoyed
63,#PPQ80PL0J,TT:Pon4ik💔,0xffcb5aff,28000177,41887,64,Toger
64,#8QYRJU8UC,Florian,0xfff9c908,28000347,41778,65,Beste freunde
65,#8GCU0200U,⚡🥀Frozen🥀⚡,0xffa2e3fe,28000135,41701,66,ЛЮБИТЕЛИ СКУИКА
66,#2YR0Q8Q8Y,Uwais,0xffffffff,28000225,41619,67,Young🐐
67,#PQ2UGLLLJ,₳ⱤĐ₳ ⱤɆɎłⱫ,0xffffffff,28000140,41511,68,TİTAN OYUNCU
68,#2V0U2GYLJ,aizenroke,0xfff05637,28000317,41427,69,Brawl_Xed
69,#2LRU29QV9,🥀It's Nayl's?,0xffffffff,28000271,41403,70,Leming Team |🦦
70,#8RU08QRL,ZCLYTCL YT,0xffa8e132,28000163,41356,71,<c4>Rain II</c>
71,#9VR0PGLUP,_kot_kot_,0xffff9727,28000279,41084,72,<c9>K.</c>O.
72,#82P0UVQ2U,愛 | 𝓕𝓸𝓯𝓲 🥀,0xffff8afb,28000184,41069,73,The Void's
73,#P90LGUYQ2,Deal with alex,0xfff9c908,28000018,40946,74,Last Order ♛
74,#9YJQ8VV2,BOSS,0xff1ba5f5,28000018,40867,75,Shadqw
75,#8VCV8LCJL,鴨🐣,0xffcb5aff,28000335,40844,76,
76,#2L22YRJR,「 我 𝐟𝐫𝐚 🦇 」,0xffcb5aff,28000335,40809,77,
77,#RGVPCQCJ,SB | znakomy¿🥱,0xffcb5aff,28000290,40776,78,<c9>Star</c>✨
78,#LPYU9URJ2,ActEz,0xffa8e132,28000207,40760,79,AMMO Club Games
79,#990CU0J2,Ice❄Limbo⛩,0xff1ba5f5,28000129,40740,80,alanthes
80,#80PQCVJP0,france,0xff1ba5f5,28000077,40687,81,Mamba Negra
81,#JVU0L8G2,piuto,0xfff9c908,28000267,40621,82,
82,#829JCPPQQ,RS|Gerr,0xffa2e3fe,28000139,40608,83,Team Brawl
83,#9VGVUQJVP,F.E.A.R.L.E.S.S,0xffff9727,28000271,40553,84,Thirty Kings🥀
84,#9GV0RV9J9,QLS|MoonLight⚡️,0xffcb5aff,28000293,40490,85,
85,#2L8Q9UUGY,PX|Kote4ka64,0xffffffff,28000341,40434,86,Legend's 🥱
86,#9RL099VVR,легенда777,0xffffffff,28000017,40370,87,
87,#98J8CGGPC,NAVI | МАКСИМ,0xfff9c908,28000132,40357,88,
88,#2J9YQ8JLV,COBRA-GOKU,0xfff05637,28000347,40281,89,LA TEAM CAROTTE
