,tag,name,nameColor,icon,trophies,rank,club
0,#2J00V98R9,𝐿𝑖𝑎𝑚𝑜𝑜〆,0xff4ddba2,28000136,73213,1,Violence Alpha
1,#UCCV2QVL,𝑀𝑎𝑟𝑟𝑒〆,0xfff9c908,28000334,72757,2,Violence Alpha
2,#VYY9VLVC,Eddie,0xffffffff,28000066,70530,3,Violence Alpha
3,#PYLRQQCPQ,André pro,0xff4ddba2,28000140,65000,4,Violence Alpha
4,#2UGCJRVLL,𝑀𝑒𝑥𝑜𝑜〆,0xffa2e3fe,28000136,64809,5,Violence Alpha
5,#CCR0P9,Dimetiix638 残,0xffff9727,28000033,64576,6,RCN|Esports X
6,#P8J9J08V8,Erik,0xffcb5aff,28000297,64337,7,Violence Alpha
7,#G2YGCLQ2,Ninja 留,0xffffffff,28000138,64238,8,Violence Alpha
8,#8UGQVY2V9,IKEA | ElToro,0xfff9c908,28000140,63439,9,IKEA WARRIORS🦅
9,#Y9LYL8QR,AgentPotter🧸Yt,0xffff8afb,28000301,62646,10,Violence Alpha
10,#2JCGPQR8Y,dodiboy2.0,0xffcb5aff,28000303,62355,11,Violence Alpha
11,#9YUQQG8U,༄Pharaoh❦,0xffffffff,28000230,61918,12,IKEA WARRIORS🦅
12,#9VUGQC09P,Erik,0xffff9727,28000156,61788,13,Violence Alpha
13,#VY8G20Y9,Namana,0xffff8afb,28000340,61394,14,Pelagos
14,#2GPVQ0LJV,⚽Gixmy1129⚽,0xff1ba5f5,28000118,61251,15,Violence Alpha
15,#2Q9JGJJU0,OUZULOL,0xffcb5aff,28000272,61113,16,Violence Alpha
16,#VQGPGGCQ,Ella ツ,0xffcb5aff,28000228,61031,17,SVENSKA HJÄLTAR
17,#2VYQ0C0Y,WLR>Die Lit🧛🏽,0xffffffff,28000102,60703,18,Violence Alpha
18,#80CG8PQ0,leo88🪙,0xff1ba5f5,28000345,60293,19,Super Troopers
19,#9G8ULUR8,IKEA|𝐿𝒾𝓁𝓎🦋,0xffcb5aff,28000224,60277,20,IKEA WARRIORS🦅
20,#2GCV8QCQ2,J1mbo犬,0xff1ba5f5,28000179,60224,21,Violence Alpha
21,#YY02P092G,Filip💚Waffle,0xfff9c908,28000196,60018,22,TyM`eSports
22,#JP8R2JLQ,Aymane,0xff1ba5f5,28000071,59996,23,Violence Alpha
23,#PRPRCQRP,Lady Gaga,0xffff8afb,28000110,59605,24,Kingzmen
24,#9RPCUPLV,IKEA | Lukas,0xfff9c908,28000132,59117,25,IKEA WARRIORS🦅
25,#9YLGCC9C,Natasha ツ,0xffcb5aff,28000228,59007,26,SVENSKA HJÄLTAR
26,#2CUPUR9RY,baroxos,0xff4ddba2,28000021,58985,27,ETIHAD GAMING
27,#20V2VLPVL,Tengen🀄️Uzui,0xffffffff,28000230,58082,28,Thunder⚡️
28,#J8L9QR8G,iwidj,0xff1ba5f5,28000173,58063,29,IKEA WARRIORS🦅
29,#89J0LQ88G,kapten krok,0xff4ddba2,28000069,57540,30,bs winters army
30,#2J0Q8GV2J,Uncle G,0xffffce89,28000277,57376,31,HellsAngls
31,#9L2PYJCL,Vaporise,0xffa2e3fe,28000210,57203,32,Violence Alpha
32,#2V8QQL09G,Jibbe,0xff1ba5f5,28000112,56894,33,CYCLOPS
33,#P8PG9PYY,galla galla,0xfff9c908,28000051,56853,34,IKEA WARRIORS🦅
34,#8V88CQVCG,IKEA|Potatis🥔,0xff4ddba2,28000136,56784,35,IKEA WARRIORS🦅
35,#PQ00CRJUJ,🌟HASO🌟,0xffff8afb,28000229,56523,36,SWE ALLSTARS
36,#V29RURCQ,TM | NOOBGOD✨,0xffa8e132,28000348,56438,37,blasphemy
37,#GV8RJU28,Falzec,0xffcb5aff,28000129,56314,38,SVENSKA HJÄLTAR
38,#VY08GVQJ,♨️NICE COAT BRO,0xffcb5aff,28000179,56287,39,IKEA WARRIORS🦅
39,#LPJR8LU,Tilt God,0xff1ba5f5,28000276,56168,40,HellsAngls
40,#UU8UUCGY,TT✿cloudboy❤️,0xffa2e3fe,28000231,55989,41,Violence Alpha
41,#2JV8Q8YL9,⠀⠀,0xffffffff,28000301,55983,42,IKEA WARRIORS🦅
42,#9PCJ2800,jacras5,0xfff05637,28000264,55977,43,Violence Alpha
43,#289GRJ0RQ,fragile★,0xffffce89,28000308,55783,44,SvenskaTryHards
44,#2JJ90U2RJ,Noobslayer,0xffcb5aff,28000094,55731,45,SWE ALLSTARS
45,#PY9YQJJ89,THE DARK LORD,0xffffffff,28000230,55614,46,SVENSKA HJÄLTAR
46,#8VPG9RUUR,⚡Yamato⚡,0xff4ddba2,28000348,55576,47,💙💛UKRAINE✨
47,#898LQYUJ8,T͟h͟e͟o͟d͟o͟r͟,0xffff9727,28000170,55527,48,IKEA WARRIORS🦅
48,#CQ8LPU0,NE V4DYM,0xff4ddba2,28000253,55523,49,Nova I Ukraine
49,#Y98QLLUY,🇹🇷|ζ͜Özgür ツ,0xffa2e3fe,28000246,55465,50,<c0>աօʊռɖ</c>
50,#PC00Y0JJ2,hippihoppihappi,0xfff9775d,28000247,55412,51,Magic Clan
51,#2PJCCVY8,emil,0xffcb5aff,28000182,55397,52,SVENSKA HJÄLTAR
52,#29VJJ80G,BRuxourusCL,0xff4ddba2,28000246,55158,53,Croquetas4life⚔
53,#8YJVUC8GP,IKEA|𝐹𝓊𝓏𝑒🎭,0xfff9c908,28000349,54983,54,IKEA WARRIORS🦅
54,#C0PCVQCY,jekps,0xffffffff,28000236,54694,55,Svenskaeliten 2
55,#PP2UG8VQ0,PB | GLOBER,0xffffffff,28000168,54658,56,UNDERDOG 🇵🇱
56,#90LG9VJYC,Elvin0888,0xffcb5aff,28000207,54585,57,IKEA WARRIORS🦅
57,#2J8PUQ2R0,♡Roronora Zoro♡,0xffa2e3fe,28000175,54498,58,IKEA WARRIORS🦅
58,#VLJG2V2U,Electroball,0xfff9c908,28000244,54398,59,Violence Alpha
59,#Q9JL0PCR,tomato,0xfff05637,28000321,54330,60,Violence Alpha
60,#R2002GQQ,IKEA | 𝔸ℕ𝕋𝕆ℕ,0xffcb5aff,28000305,54325,61,IKEA WARRIORS🦅
61,#YPJJ2QPJU,Speed⚡️,0xff4ddba2,28000136,54315,62,Violence Alpha
62,#LQYPJUVJC,⛩PRO 64🎋,0xffa2e3fe,28000233,54279,63,TARTIM YT
63,#9GPQ2UU0,IKEA |ＬＩＮＵＳ🧶,0xffcb5aff,28000335,54240,64,IKEA WARRIORS🦅
64,#V0L9UQ2L,Saki 父,0xffffffff,28000231,54056,65,Mystic Elite
65,#8JJQYPJC8,iZxkaQuu❦,0xffffffff,28000129,54018,66,Spiky Oreos
66,#PV0PYYJG8,SCRATCH,0xffcb5aff,28000295,53907,67,🥀 ПИПЕСЯНЫ 🥀
67,#2V89VUCJ8,SirHenrii,0xffffffff,28000341,53771,68,Lions Nest
68,#9CPVYJ9L,Edkip,0xff4ddba2,28000136,53752,69,Violence Alpha
69,#8VQUJY2Y2,lang,0xffff9727,28000102,53701,70,EU Rolex League
70,#Q9RGUV8CL,🥷❤️‍🔥,0xffff8afb,28000129,53598,71,franchise elite
