,tag,name,nameColor,icon,trophies,rank,club
0,#CG0YQP2C,Bavioツんﾌﾒ,0xffffffff,28000014,77994,1,Arab Empire
1,#YCP0JCUQ,VD|Mo.D.Lufy🐣,0xff1ba5f5,28000065,70812,2,Beyond Kratos
2,#9CLCRLRC9,『 Scørpiøń⛓️』,0xff1ba5f5,28000150,66690,3,Reality
3,#29U2CVC9Y,❤AR_صبحي _YT❤,0xffa8e132,28000112,66122,4,YT|CRESTALE🔥⚡
4,#88VRYUJLG,|kin̷g🥀Ara̷b̷|,0xfff05637,28000303,64312,5,OG Mute
5,#22Q2P8YG2,محمد,0xffff8afb,28000349,64029,6,QTR
6,#9RY8JQ22V,**L*-*OO*-*RD**,0xffffffff,28000333,63655,7,D_FOX
7,#8888G9JG9,🥀𝐢𝐭𝐚𝐜𝐡𝐢☔,0xffff9727,28000349,62072,8,YT|CRESTALE🔥⚡
8,#PLC2U9PQU,ZH|SENPAI ᵒᵐᵃʳ✨,0xfff9c908,28000044,61241,9,☠️ Zero Hour ☠️
9,#PCGRGYRCU,Sa|CROW❦︎,0xffcb5aff,28000003,61114,10,Mystic MidEast
10,#9Q9Y0UGCC,𝐋𝐚𝐫𝐞𝐧💗,0xffff9727,28000018,60895,11,Mystic MidEast
11,#98P922J00,❄[Ise] m7mad❄,0xffffffff,28000139,60866,12,MenAreUp
12,#2QPYCPC8G,HALK,0xffa2e3fe,28000349,60753,13,SYRİA
13,#PULPUCGYY,𝗠𝗻𝗜♡𝗕𝘂𝗿𝗝,0xff1ba5f5,28000217,60611,14,
14,#8JLQJLGYJ,😈ABUD😈,0xfff9c908,28000273,60373,15,CLUB LASHAB
15,#8RQ8LV8VC,Abdullah🐺,0xffa8e132,28000259,60028,16,☠️ Zero Hour ☠️
16,#UYPGC9J0,REAL SMASH l YT,0xffff9727,28000305,59250,17,🔥HUNTERS🔥
17,#UYCU098L,❦|Jãxzzy 🍉,0xffff8afb,28000000,58666,18,YT: Yousef_bs
18,#9P8J8CJ2V,YT|CRESTALE⚘🥀,0xffff8afb,28000348,58621,19,YT|CRESTALE🔥⚡
19,#9PJY0RJ,Wave>.<,0xffcb5aff,28000343,58587,20,GHOSTZ
20,#U0CV9VGP,Hamza〆,0xff1ba5f5,28000280,58412,21,Mystic MidEast
21,#2Y2RU9Q8G,❄1v3|Samer❄,0xfff9c908,28000218,58310,22,Me Elite
22,#LVQ9G8LC8,🌀ريعان🌀,0xffcb5aff,28000305,58241,23,YT|CRESTALE🔥⚡
23,#2QL00RVC0,MONESTR,0xffff9727,28000242,57976,24,weird gamers
24,#RYYCCVLR,🥀ɀᴀˢᴀ★,0xfff9775d,28000206,57975,25,Mystic MidEast
25,#9YPGUQCL9,#Scala🌙ᴵ’ᵁ,0xffcb5aff,28000135,57943,26,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
26,#8J8R29P2,AF1|Mustafa,0xff1ba5f5,28000056,57837,27,YT|CRESTALE🔥⚡
27,#9LQJL2GLR,SY|EASY,0xffffffff,28000139,57774,28,NightRaid 🌌
28,#229U0G99C,☠️⁩الظل⁦☠️,0xffa8e132,28000248,57700,29,سراقب وبس
29,#Q00CRQ02,ملك الرجولة ❤,0xffcb5aff,28000347,57569,30,X'LENGENDS ☣️
30,#9UV0UG0YJ,SY|❄Ñîñja🥀,0xffff9727,28000334,57120,31,TEM|SYRIA
31,#2U0YGPG8G,磷•Josit0¹⁴💘,0xffa2e3fe,28000085,57117,32,<c0>ＬＯＮＥＬＹ★</c>
32,#RRR0U8PP,Mado,0xff1ba5f5,28000348,57008,33,Galaxy Storm🌠
33,#LRLG8UU2J,❄️HN[I¢E❄️,0xffa8e132,28000136,56846,34,CODE : OG
34,#2CQ0JQJGU,実|Reoc🖤👻,0xffa2e3fe,28000262,56471,35,The rise
35,#8PQLUVLLJ,TUA/___ALSHABAH,0xfff05637,28000196,56386,36,❄️ICE|CHILLE❄️
36,#2CJGR2J8G,★彡ويليام™SYRIA彡,0xffff9727,28000175,56086,37,سراقب وبس
37,#GCLGRCC8,1@1,0xffff8afb,28000303,56002,38,zaidal
38,#Y22PU9PY,GNOB,0xffcb5aff,28000291,55813,39,USE UR TICKETS
39,#8C8900LY,.. v̷i̷n̷o̷m̷..,0xffff9727,28000233,55777,40,unl0cked.exe
40,#L0VPQGG,)}°أبوأحمد°{(,0xffcb5aff,28000033,55717,41,سراقب وبس
41,#P2UU9G08L,༄SAI🌀,0xff1ba5f5,28000280,55564,42,
42,#8Q9VY0Y,Alaa,0xfff05637,28000170,55551,43,zaidal
43,#RGLL0QJY,ʍ.ֆǟʟǟɦ34,0xffcb5aff,28000330,55313,44,Nerdy Brawlers
44,#20L2L29YY,GM|Maro🌊,0xfff05637,28000341,55204,45,Gentlemen🌊
45,#8RGY9P2LY,#Sllwz-,0xffa2e3fe,28000196,55000,46,Soul Reapers
46,#PUYJ299JL,soniczd,0xff1ba5f5,28000333,54875,47,اصدقاء للابد
47,#GJVV9RPV,king syria,0xffff9727,28000262,54822,48,Me Elite
48,#C9LYR9GY,Bunnie,0xff1ba5f5,28000134,54764,49,Vancity Royals
49,#22R82Q0QC,Cнʌʀʌ.,0xff4ddba2,28000297,54705,50,X'LENGENDS ☣️
50,#QG9QU22U,Warrénn♛,0xfff9775d,28000202,54448,51,No Pain No Gain
51,#CJC2V98,Semon,0xffcb5aff,28000224,54348,52,Vancity Royals
52,#9U2JRQ99P,⚔️₵Ɽ₳ⱫɎ ₴₳₴Ʉ₭Ɇ,0xffffffff,28000333,54324,53,👑ВS КRАLI🤙😎
53,#9QJ2CL08U,Hassoon,0xffcb5aff,28000330,54277,54,TEAM OMEGA
54,#PJP9L0V2P,claudavious9,0xffa2e3fe,28000311,54233,55,improved weed
55,#2UL2UQ8LR,killer saske,0xffff9727,28000347,54057,56,سراقب وبس
56,#JV89Q20P,Nawwar,0xffff8afb,28000064,54049,57,zaidal
57,#9QGGCGYR,أشرف,0xff1ba5f5,28000004,53999,58,سراقب وبس
58,#PLUV8Y298,ᵒᵖ❄ヤM҉ a҉ x҉🥀,0xff1ba5f5,28000050,53878,59,𝒮𝓊𝓃𝓈ℯ𝓉💕
59,#2YRPRQVP9,❄️YØÜŠÈF❄️✨,0xffffffff,28000095,53873,60,YT|CRESTALE🔥⚡
60,#22LQCLUUG,『ĶÁMĚŁ』ツŚÝ,0xffff9727,28000272,53653,61,TEM|SYRIA
61,#LJ9LU28,Elite | Hardy,0xffa2e3fe,28000349,53410,62,Me Elite
62,#RR28PVQC,HamzehHD,0xffcb5aff,28000307,53273,63,سراقب وبس
63,#90LYCPVCR,VD | BILAL🐣,0xffffffff,28000191,53099,64,
64,#GCU2V2JG,Richard,0xffa2e3fe,28000272,52943,65,Me Elite
65,#990Y89QRQ,《M.WAHEED》,0xffcb5aff,28000141,52842,66,BYROCELL| TEAM
66,#2U2R0CYP0,Loser,0xffcb5aff,28000175,52798,67,White Skiller
67,#98JLGVVRV,AL99EF,0xfff9c908,28000087,52715,68,000
68,#9VQPQURYU,𝚂𝙺|𝙹𝙰𝙳🥀,0xffffffff,28000168,52633,69,𝐒𝐊| 𝐋𝐈𝐆𝐇Ƭ
69,#GJCU8UR9,╰ᵃ╮╰ᵐ╮╰ᵐ╮╰ᵃ╮╰ʳ╮,0xffa2e3fe,28000333,52555,70,🔥EPIC ARMY🔥
70,#8PRJP2P0L,Mah rimo,0xffffce89,28000210,52514,71,The langendarys
71,#2UU0GRP00,✔|ĐÃŘĶ🖤ŞØŲŁ|™️,0xfff05637,28000271,52468,72,
72,#GVYR9UGR,AF1|Ayham,0xffff9727,28000262,52353,73,🔥HUNTERS🔥
73,#PGUP0J2C0,FaReS/(1vs3),0xffcb5aff,28000207,52275,74,BYROCELL| TEAM
74,#8CJ9V8LJ0,QLS|☞SNAKE™🐍,0xff1ba5f5,28000229,52171,75,THE NEW RULERS
75,#QUC090VC,Amer,0xfff9c908,28000272,51927,76,Arab✨Otaku
76,#P8L9J8LC,sako,0xffffffff,28000189,51873,77,Gaming Station
77,#YUCRUJ0G9,»𝑅 𝐷 𝑋𐇣«,0xfff05637,28000138,51867,78,اتحاد «R X»
78,#9RYGUQVC0,ْْْ,0xffffffff,28000000,51866,79,Gaming Station
79,#2RV2JPJV,Ali,0xfff9c908,28000221,51816,80,Mōnster’s ☄️
80,#8GRVR0QRJ,ˣᵀᴼᴾ⌬SØŁƗMȺN⚘🖤,0xffcb5aff,28000335,51763,81,THE KINGS
81,#920PQ2QRG,O/M/E/R YT,0xffa2e3fe,28000254,51756,82,Arrowverse Team
82,#PPUUYG0G8,UC|JྂØÝ❦BྂØÝ,0xffcb5aff,28000139,51741,83,GL Jordan 🥂
83,#YR2R0VJQ8,Hero,0xffff8afb,28000349,51664,84,Tribe Syria
84,#GC99UJ90,Captain Tenacio,0xfff05637,28000203,51577,85,Fire~[KingDom]
85,#29QPG8RRJ,女|Lɪɢʜᴛ🩸,0xfff9c908,28000336,51479,86,BRAWL ME
86,#9Q2Q2J8LV,miraxzz:(,0xff1ba5f5,28000218,51354,87,–11|Exit
87,#9QRLY0URJ,🎋Ḿś | ḾŐśT |🖤,0xffffffff,28000139,51348,88,TE|Team
88,#QCG8P0VV,💜Shadow 97 YT✨,0xfff9c908,28000349,51220,89,CarnageGame
89,#2R2Q9YVQL,mhmoud SRQ,0xff4ddba2,28000121,51208,90,
90,#9LLQQU0LY,⭐YAMN STARS⭐,0xffcb5aff,28000316,51155,91,سراقب وبس
91,#282J09CGV,SNAKEHEAD,0xffcb5aff,28000301,51055,92,Mystic MidEast
92,#Y8928RCG2,Moutaz,0xffa2e3fe,28000219,50995,93,سراقب وبس
93,#PL80JRPLP,CRESTALE|YOUSEF,0xffffffff,28000046,50980,94,EGYPT ABOVE ALL
94,#P8QPVU90P,ヅS E M B Aヅ,0xffcb5aff,28000347,50713,95,سراقب وبس
95,#VGUQPPVQ,KirySha🖤🔥,0xffa8e132,28000207,50670,96,Кактусята🌵
96,#8LV0Q0VLG,ahmad,0xffff8afb,28000097,50612,97,مصريين
97,#YGRJ8R0GL,راس توم,0xffffffff,28000000,50605,98,EGYPT ABOVE ALL
98,#GUVYUCPU,Homelander🥛,0xfff05637,28000317,50485,99,Fullmetal 114
99,#2RP29U8,KING,0xff1ba5f5,28000249,50477,100,『ŁØsτ℘rØs』
100,#JPL2QGJP,楤|VEGA🖤⇝,0xfff9c908,28000176,50441,101,楤|FRIENDS🖤⇝
101,#PPCQRVPPL,CRESTALE|Mhmd,0xffffffff,28000347,50380,102,YT|CRESTALE🔥⚡
102,#2YLU8LCUP,الشبح,0xffcb5aff,28000129,50347,103,الصقور
103,#GUGQCJQ,محمد الامير,0xffff9727,28000349,50306,104,Tribe Syria
104,#29JV98CUQ,STM|oma,0xffa2e3fe,28000018,50293,105,TEAM|FANTASY
105,#GP28922R,☆âłî..ÝŢ☆,0xffcb5aff,28000305,50267,106,
106,#PUYV80QC,Fe014,0xfff05637,28000007,50213,107,Tribe Syria
107,#GVQVVYCJ,❄️CRYSTAL❄️,0xff1ba5f5,28000060,50106,108,Me Elite
108,#99JLQ2RUV,『𝐕𝐈𝐏』LEVI ヅ,0xfff05637,28000333,50028,109,VIP LEVI
109,#PCLLYCUQJ,⛩K`~A$R~A~M⛩,0xff4ddba2,28000129,50010,110,Tribe Syria
110,#89P9Q90Y9,実|B.MM🖤👻,0xffffffff,28000014,50009,111,The rise
111,#2V0J29CC,UC|BŁÃČĶ☬ŁØŔĐ,0xffffffff,28000135,49878,112,
112,#YVVYP09LV,🔥DRAGON🔥,0xffffffff,28000000,49813,113,
113,#8QQ9GLG9L,محمود النار,0xfff05637,28000225,49632,114,skypra
114,#8LQUL2QYQ,star,0xfff05637,28000352,49541,115,Sur Warriors🎭
115,#8V2JUVUV,ŠÝŘ|HÃMŽÁ,0xffffffff,28000196,49512,116,Fire~[KingDom]
116,#YQ2PQ0JUG,Owais fa,0xfff05637,28000263,49370,117,RUSH FRANCE
117,#229CG09C,ARies muhanned,0xff4ddba2,28000341,49254,118,Fire~[KingDom]
