,tag,name,nameColor,icon,trophies,rank,club
0,#GJ0JGCUV,PowerTech YT,0xffffffff,28000334,74233,1,<c7>幹嘛偷看我個資</c>
1,#RPQUY9VQ,Lamine🍜,0xffffffff,28000278,74133,2,<c7>幹嘛偷看我個資</c>
2,#90R9Q2UP,@stardragonOP,0xffff9727,28000209,71704,3,SpenLC Youtube
3,#8YVG999CQ,R.海睿,0xff1ba5f5,28000247,71592,4,合作炸阿姨
4,#22YRY0VR,往事隨風,0xff1ba5f5,28000095,70986,5,Tw@Life☠√Go☠
5,#P9JUPQ0PL,LE|Taomu ☯️,0xffff8afb,28000233,70850,6,<c5>The O.G</c>
6,#QQ9RVLCR,<c5>哈哈哈</c>,0xffa2e3fe,28000256,70209,7,辛蒂的小跟班們❤️
7,#P08YUJU9,Max123,0xff1ba5f5,28000243,70075,8,辛蒂的小跟班們❤️
8,#R2Y0U0PC,💕Ado好きです໒꒱ ˚.*,0xff1ba5f5,28000150,68554,9,♥Meow♥
9,#29VGQ022Y,RayLiu YT,0xffff9727,28000267,68161,10,<c7>維京小可愛</c>
10,#P8V28CJ9L,♒️👻可愛的小鬼鬼👻♒️,0xfff9775d,28000303,68090,11,❄️彼岸花之墓🥀
11,#VCRP2QJG,♚帽子𝓱𝓪𝓽♛,0xff1ba5f5,28000063,67431,12,GG <c7>Mech</c>
12,#2PVQ8RQUQ,朋友們注意,0xfff05637,28000153,67326,13,♥Neow♥
13,#28L8UGRLJ,𝕩𝕪𝕜|打手🌱,0xff1ba5f5,28000030,66914,14,<c5>The O.G</c>
14,#2PGUJUPPL,♚滔𝓦𝓪𝓿𝓮❦,0xff1ba5f5,28000108,66821,15,天路引歸🐙
15,#Y2QCG0J20,日暮之光“ 星塵 ”,0xff1ba5f5,28000332,66818,16,Legendary 輝煌時代
16,#Y2C28ULRC,ymdfw,0xffff9727,28000333,66780,17,天路引歸🐙
17,#8J9PVJ9R0,銀河系呆勳,0xffcb5aff,28000182,66595,18,❄️彼岸花之墓🥀
18,#LULRJJ2,❡ℍ𝕒𝕠ℚ𝕚𝕒𝕟☾,0xff1ba5f5,28000348,66012,19,<c7>T0</c>
19,#Q0GVUVVC2,EGG|Iocter❤️‍🔥,0xffff9727,28000348,66005,20,
20,#YQ0LJU2,Oh No! Jotaro,0xffffffff,28000235,65215,21,WolvesOfBrawlSt
21,#9PQ98Q2V2,YR,0xfff9c908,28000281,65180,22,天路引歸🐙
22,#UYV8Q0Y0,⚫黑白(⁠・⁠∀⁠・⁠)⚪,0xff1ba5f5,28000054,64949,23,天路引歸🐙
23,#YYU0QGCQ,萌得思啾,0xfff9c908,28000348,64841,24,新蜂蜜中出檸檬
