,tag,name,nameColor,icon,trophies,rank,club
0,#2Q8UPPLY,I’m PeaK 🌋,0xff1ba5f5,28000262,67453,1,GG <c7>Mech</c>
1,#9YQYYG0YC,awk,0xffcb5aff,28000290,60539,2,CSM Eclipse
2,#2LLUG2RQ,TUIAMLO,0xffcb5aff,28000199,60010,3,THAILAND
3,#U208VJCR,TH|NaireZ4Rea1,0xffff9727,28000337,59092,4,GG <c7>Mech</c>
4,#88PU8L8J2,憤怒のまぐ,0xffffffff,28000024,58475,5,DEEMO
5,#R9UP9Y2J,enje,0xfff9c908,28000163,58181,6,Trillionaire
6,#82PPV9JGJ,IDarkDragon🎋🐉,0xffffffff,28000139,57901,7,Brawl Imperium2
7,#Y80J89QC8,FrostFire127,0xfff05637,28000023,57718,8,SMC Elite
8,#809C20RUY,Chane,0xfff9c908,28000225,56991,9,Kemist Labs
9,#2RCRQVCUR,D20,0xff4ddba2,28000341,56868,10,ไทย
10,#2LPQCYQC,nightmare,0xffa8e132,28000258,56483,11,RealDutch Elite
11,#2UUQ89QPC,Nature🪐🌪️,0xffa2e3fe,28000303,55956,12,Mini Me’s
12,#90LQRJUV,YaSichiiiTv,0xfff9c908,28000175,55505,13,Ü30 RED
13,#9G0VGPG8U,บิ๊ก111,0xff1ba5f5,28000139,54790,14,โกนาคาแนว
14,#YJGCJLJ9,OIL,0xffa8e132,28000197,54732,15,<c0>IX Zeus</c>
15,#2YL0RYJPP,AG|NaGeL,0xffcb5aff,28000294,54226,16,Famille|LQ[🤩]
16,#90822LQL,MLD,0xfff05637,28000305,54136,17,La Famine
17,#Y22C9CY,EARTH'NW,0xffff9727,28000291,54068,18,พรรคอนาคตใหญ่
18,#YGG9U9ULG,NANIคนไทย,0xffcb5aff,28000316,53857,19,คนไทย
19,#89P0YCG9C,NoCapUTrash,0xffffffff,28000352,53806,20,bois
20,#2RGYULP09,๛€มทู๓น้๏€,0xffcb5aff,28000314,53756,21,Pleiades
21,#LCQQLC0L,❄️Fish❄️,0xff1ba5f5,28000298,53463,22,Kemist Labs
22,#9ULPLGU8,HUADOORz,0xfff05637,28000336,53080,23,Akatsuki
23,#9LL92L80L,Bil|MoNo,0xfff05637,28000341,53007,24,Trillionaire
24,#PCV9CVC9L,Phoom,0xffa8e132,28000348,52178,25,Pleiades
25,#9JLPQRV8R,ЛУНТИК 007,0xffcb5aff,28000218,52141,26,Furious Faces
26,#VCJUUPJJ,kidk!d,0xfff05637,28000317,52066,27,無影軍團
27,#8PQ988JGU,freebrawl,0xffffffff,28000272,51883,28,CA'$'H
28,#298JGY2Q8,A4,0xfff05637,28000317,51790,29,คนไทย
29,#2UR0YJG9G,Mudà,0xfff9c908,28000332,51287,30,Ocean Waves
30,#20J8Y89UV,supaboya,0xffff9727,28000221,51282,31,Millionaire
31,#20LL0R02,🦋Kirito...,0xffffffff,28000294,51223,32,Kemist Labs
32,#YUJRCG9Y,Bluetear,0xffffce89,28000151,51196,33,ไทยบูมบีช
33,#208L9GYRL,Bachnguyenn,0xffff9727,28000267,51155,34,⛩|Mortis Gang🎋
34,#8288PPJJ0,🇹🇭 >N>U>K>E>!,0xfff05637,28000305,51135,35,พรรคอนาคตใหญ่
35,#PGVPRY2J,BJW8X,0xffffffff,28000170,51102,36,
36,#2R980URRL,tteeeyy,0xffff8afb,28000294,50985,37,Pleiades
37,#28CG90P2U,แบกไก่สองตัว,0xffa2e3fe,28000349,50970,38,lightning97
38,#Y8GCP2RRU,พอล,0xfff9c908,28000304,50916,39,ไทยบูมบีช
39,#229VYVGC9,Richarge,0xffcb5aff,28000293,50704,40,THAI ROTTEN
40,#YYPCYQ9,༺Leͥgeͣnͫd༻ᴳᵒᵈ,0xff4ddba2,28000242,50688,41,SG KAKIS
41,#LQVL8VQ9L,S|amDunk#10,0xffcb5aff,28000232,50611,42,Thailand 🇹🇭
42,#99QPL2YLY,█████[อ้นๆ]████,0xffff9727,28000279,50323,43,Pleiades
43,#2G2PQGY,PaLM56,0xffa8e132,28000348,50315,44,<c5>Ghost</c>
44,#28UPJ8J2,ฮัมป์ อสูร🤌🏼,0xff4ddba2,28000317,50267,45,นินจาพ่@งตาย
45,#8JQPUPG,LastAnomaly,0xffff9727,28000272,50096,46,Pleiades
46,#PCYCQRCLR,JooBaRi,0xffffffff,28000305,50092,47,Hell Imperium
47,#QJJCYCJL,ตาอยู่,0xfff05637,28000102,49866,48,คนไทย
48,#RY2UJ8L,✨🪫Bishope🕳️✨,0xffcb5aff,28000218,49833,49,Maia
49,#90RLJU8VL,kiweiei008,0xfff05637,28000341,49756,50,Pleiades
50,#2VY0UVYV,Hamoniel,0xff4ddba2,28000349,49676,51,Pleiades
51,#8YUJ99PQ,ห้าวน้อยสายตอด,0xff1ba5f5,28000179,49598,52,Pleiades
52,#8Y2L0QV0P,☣จี๊ดเลย☣,0xfff9c908,28000305,49577,53,THAILAND
53,#Y08G2J2R8,stay (ALIVE),0xffcb5aff,28000294,49533,54,พรรคอนาคตใหญ่
54,#9GUQU8PU9,เกอเกอ,0xffa8e132,28000228,49483,55,i boyz
55,#28Q8UQ89L,Mister PoPo,0xfff9775d,28000347,49444,56,Kings Guard
56,#2JUQQGCL0,Flenusᵗʷᵐ,0xffffffff,28000060,49407,57,Kemist Labs
57,#8J0RQRU0U,BIRDBIRD┌∩┐(◣_◢,0xffff9727,28000305,49382,58,BOAR MEANS WAR
58,#2J9JV229J,BB🥹🥹,0xffffffff,28000267,49345,59,buttmonkeys
59,#LRJCC0QC,OOHHMMYY,0xffcb5aff,28000262,49262,60,THAILAND
60,#9JGCU9Q98,☃️Snowman☃️,0xfff9c908,28000089,49236,61,Relax TH
61,#UCVLLUP,Bulletstorm,0xffa8e132,28000156,49199,62,Россия
62,#YGRL88L2,🇹🇭|ฅ•คนรักนก®,0xff1ba5f5,28000289,48944,63,🌟ไทยตะลุมบอน🌟
63,#2RGRJPLJL,Bocchi,0xffa8e132,28000016,48891,64,Night Stalker
