,tag,name,nameColor,icon,trophies,rank,club
0,#RJGV2YU0,тιмму-кυи_ут,0xff1ba5f5,28000018,56326,1,
1,#98L00CPJ2,marcusn,0xfff9c908,28000153,55596,2,LT united
2,#99VLPV,Dastan,0xff1ba5f5,28000294,55471,3,PLANET EARTH
3,#P0G88U0C9,Navi Ru,0xffff8afb,28000348,53938,4,Gubka Bob
4,#RGYY2QVL,Style Tweez🖤,0xffffce89,28000333,53006,5,Omnipotence
5,#VU08Y09,Punintentional,0xffff8afb,28000110,52820,6,Trigger Happy
6,#2CYY988VU,Smoke,0xffcb5aff,28000279,51828,7,Immortals
7,#2J2Q2808V,cboss01,0xff1ba5f5,28000242,51664,8,Brawlfist
8,#9Q2R0U9J,⛩SMG98🥀,0xffff9727,28000061,50080,9,
9,#89LRY98P8,🧤itdnco🧻,0xffffffff,28000030,49947,10,<c0>ГОПАРИ</c>
10,#80JQ2CGL9,Ramey🤍,0xffcb5aff,28000188,49349,11,RicoLover06 ☔️
11,#92PVR2Y2R,Richie,0xfff05637,28000273,49027,12,Ethos
12,#9CQP9RLQ,HeadHancho,0xfff9c908,28000352,48153,13,Goon Squad
13,#CC98LQV,Ant,0xffa8e132,28000054,47867,14,Trigger Happy
14,#8UCUCLUJP,Чикибамбони,0xffcb5aff,28000349,47416,15,LV|Family 🧸
15,#8G9J99LCV,Rish-YT,0xff1ba5f5,28000341,46960,16,👑The CEOs👑
16,#2UR22UU0C,worst day,0xffff8afb,28000220,46717,17,BRAWL CHAMPIONS
17,#899V0LQV9,YT|Re-renard,0xfff9c908,28000129,45867,18,CactuS JacK
18,#28QLU8PVC,sasuke teviene,0xffcb5aff,28000073,45731,19,
19,#RGJYYR00,Greed,0xffa2e3fe,28000320,45717,20,Honored one
20,#GGUJRQ29,АРТЕМ34,0xffa8e132,28000170,45671,21,$ ТОПЧИКИ $ 111
21,#P02C2GCU,Mega Omega,0xffffffff,28000272,45299,22,🎆ВСЕЛЕННАЯ 🎆
22,#2UUR0Q2L,lorenzo,0xfff9775d,28000205,45215,23,Team Cream
23,#89GQUVPQ,IzayGhost2100,0xfff05637,28000193,45150,24,Never Pull Out
24,#P09RU09C,tribe trini bob,0xff1ba5f5,28000310,45148,25,040
25,#YG0JJJ0GQ,tribe|fluffy,0xffa2e3fe,28000273,45126,26,040
26,#LJVRQVJV,Barcode,0xffcb5aff,28000170,44898,27,Trigger Happy
27,#L8JQG9QQG,ttv dianinja56,0xff1ba5f5,28000267,44846,28,Wolf's Den
28,#2LUYVGCUU,King Titus,0xffcb5aff,28000352,44561,29,THE UNITED
29,#82UJUU0G9,(Trini)BOOMERAX,0xffcb5aff,28000349,44182,30,Elite☣Brawlers
30,#YVRCRG89,UNKNOWN HERO,0xff1ba5f5,28000265,44047,31,ViperGaming
31,#PQVR02GJC,愛 Danny ❦,0xfff05637,28000064,43824,32,Omniscent
32,#YY0PU92LY,Xx_GalaxyGod_xX,0xffcb5aff,28000347,43806,33,crunchybananas
33,#2Q2UJJQC9,𝘘𝘜𝘈𝘕𝘛𝘜𝘔,0xffff9727,28000272,43655,34,Gold 3💫🤤
34,#L0V80UQ0R,титаник,0xff1ba5f5,28000300,43334,35,YT.titanik.team
35,#P8P02JJ2U,-12 | キｙｉｖｂｅマ💔,0xffffffff,28000139,43228,36,Noob Elite🌌
36,#2P0CCRPP0,bastigoal,0xff1ba5f5,28000317,43224,37,les champions
37,#PCL8Q9JY,The Beast Man,0xffff9727,28000226,43190,38,August
38,#92JU9PRU,Olbeast,0xffa2e3fe,28000198,43174,39,Darryl
39,#CPQU0VL,♤ZXC |ПYДЖ3К♡,0xffffffff,28000032,42998,40,дети моргена
40,#2299VJCUU,Chris Da Master,0xffa2e3fe,28000242,42955,41,
41,#29088P8J,@TrvllrMusic,0xffa2e3fe,28000053,42846,42,Honored one
42,#VY2V29V,Br@wler,0xff1ba5f5,28000165,42674,43,Trigger Happy
43,#UUQCYPCP,wafe🌊⚡️|team,0xff4ddba2,28000064,42620,44,SKE|E-SPORTS
44,#YPU8G2V8L,Jushy,0xffa8e132,28000211,42516,45,XN|Xeniox™️
45,#9ULQ20YR0,Zephyrus.X,0xffff8afb,28000305,42409,46,Brawl Stars
46,#9QQQ0GCGV,Sale,0xfff9c908,28000296,42047,47,TEAM CLASH
47,#2PUYPCQY,WoRD,0xfff9c908,28000273,42027,48,Pun Fun
48,#9PJG9PPQ9,KT|Tyrant,0xfff9c908,28000242,41848,49,crunchybananas
49,#9QU8QQVU,Justin_JawsYT,0xff4ddba2,28000284,41489,50,MeatWagon
50,#99VRGCCU,Cheekclapper01,0xff4ddba2,28000130,41454,51,Goon Squad
51,#9CCC0QYYQ,4ᴇlo̥ͦV̶e͜͡k͎🥀,0xffff9727,28000247,41430,52,Bloods Mind
52,#9LUV2UV02,zxc galya.,0xffffffff,28000023,41364,53,Геймеры
53,#2YPJJ89QL,Master Gunlord,0xffff9727,28000262,41356,54,Brawl Stars
54,#9CYYV9V29,eat,0xff1ba5f5,28000305,41314,55,da goomba
55,#20022Q8RL,Jonathan,0xfff9c908,28000291,41313,56,
56,#9Y2YU8UC0,Tomar753,0xff4ddba2,28000021,41219,57,Champions🔥🗿
57,#U98UJ0JU,⚡Rodri⚡,0xff4ddba2,28000259,41204,58,EQUIPO TERRAZA
58,#8QVQ0Y80P,quickslasher20,0xff4ddba2,28000170,41182,59,✿✧✰Ʊℝⱥꫜűʂ✰✧✿
59,#V9UUCVUC,࿇꧁☬ℜℭ℣ℭℜß♆℣ẞ꧂࿇,0xfff9c908,28000187,41107,60,ЛЕГЕНДЫ
60,#9RLQ20220,▄︻┻═┳一ら几ﾉ尸モ尺,0xfff05637,28000305,41091,61,Bs-Lol
61,#PVYQU9JCL,Crazyヅ,0xff1ba5f5,28000000,41057,62,Browlones
62,#LYQGV0JY8,Aadenkemk,0xffa2e3fe,28000292,40974,63,WatiGang
63,#LLCCYV8RQ,евочка про228,0xff4ddba2,28000284,40959,64,
64,#9R0RGQV8U,[Блет] никитос,0xfff9c908,28000348,40758,65,Monks
65,#92QY908UU,FARus,0xffa2e3fe,28000305,40747,66,BAD|COMPANY
66,#VG8QYPVL,Meerak,0xffcb5aff,28000293,40656,67,Ancient Origins
67,#YR20L8PLU,sia,0xffcb5aff,28000335,40602,68,Trigger Happy
68,#2YV8RRYU9,The Fallen King,0xffa2e3fe,28000305,40585,69,MASTER CLUP °TR
69,#2QJ09LPV,Brandon,0xffffce89,28000226,40570,70,TRINIDAD GAMERZ
70,#GJ998LU2,Mg,0xfff05637,28000007,40488,71,Trigger Happy
71,#Y8QUYCQ9J,GMS|𝑍ℎ𝑎𝐹𝑖𝑅,0xffa2e3fe,28000261,40478,72,Indonesia Team✨
72,#YLJGGJ9JU,Борщ,0xfff05637,28000138,40428,73,The Top stars✨
73,#GJ8LUJ2J,Michigai,0xffa2e3fe,28000328,40347,74,Trigger Happy
74,#VUVR2P0,Tøxic|KADEEM,0xffcb5aff,28000305,40225,75,High-Res
75,#2L880RPP2,Ghost,0xffcb5aff,28000290,40223,76,Honored one
76,#20VQPLCUJ,Максим,0xffcb5aff,28000280,40130,77,АРМИЯ ДАНКАРА
