,tag,name,nameColor,icon,trophies,rank,club
0,#2J992JUP0,❤️‍🔥ASTA〽️,0xffffffff,28000088,64087,1,TUNISIAN ALIENS
1,#PVY0229PY,🇹🇳kossay🇹🇳,0xffffffff,28000196,60721,2,TUNISIAN ALIENS
2,#2Q89LVQYC,Mohamed™,0xfff9c908,28000341,59227,3,weird gamers
3,#8CU80Q9R0,⚡مدمر الملوك⚡,0xffcb5aff,28000305,57448,4,الصقور
4,#UYJ0L,ÜNLÛÇKŸ,0xff1ba5f5,28000347,55373,5,سراقب وبس
5,#V98Q8GQ,mafyetjesus,0xff1ba5f5,28000299,55008,6,Ricos Retreat
6,#QVQ8JQR9,kira,0xfff9c908,28000305,54966,7,Wolf Legacy
7,#P22U9RLJ2,yesmine12345678,0xfff05637,28000348,53905,8,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
8,#L8L92U9L,ßØMßĒŘ,0xffff8afb,28000305,53877,9,Paradise™
9,#P888CQLGY,CM |Gchalanix,0xffcb5aff,28000347,52784,10,TUNISIAN ALIENS
10,#PVGUG0YV8,BC*|Hermes🕊️,0xfff05637,28000267,52635,11,BC*|Gaming GER³
11,#9P8R9UCQU,drYEET,0xffff8afb,28000174,52567,12,موسم الكرز✨❤
12,#U8VP20PP,R.E.L.A.X,0xffa8e132,28000284,52527,13,TUNISIAN ALIENS
13,#P0RGY90LC,🗽TN|LEGEND🗽,0xffffffff,28000281,52495,14,The rise
14,#2JPRGUQU0,akainu,0xff4ddba2,28000291,52177,15,Me Elite
15,#9GGCRQ9R0,Black Ghost,0xffcb5aff,28000297,52046,16,TUN|LEGENDS😏
16,#RV8UUCUV,سيد العرب,0xffffce89,28000073,51882,17,Paradise™
17,#9CCGUP2LU,RAYEN,0xfff9c908,28000279,51817,18,Tunisian Stars
18,#2LPPP0JCQ,Legenddd🦋💞,0xffffffff,28000196,51620,19,Andromeda
19,#Q2PLYU2JQ,Miles,0xffffffff,28000019,51578,20,aussie
20,#8PPG9Y8VG,zirak,0xfff05637,28000223,51495,21,
21,#G2PYVLY,❟❛❟SenSe1❟❛❟,0xfff05637,28000003,51317,22,TUNISIAN ALIENS
22,#PY2GCUUVC,🫡Яєª𝒊в𝘮𝘮в𝒊,0xffcb5aff,28000278,51222,23,REA|Esport
23,#P8UGJPQP9,☙hamza|حمٍزة☙,0xfff05637,28000064,51164,24,سـبلوشـ
24,#8RRPPQGG,marwen,0xffcb5aff,28000291,51044,25,ZB|ZABOUR
25,#CQ0CLGUL,Hyysteriia,0xff4ddba2,28000139,50975,26,
26,#8CVCQRGCP,zizo,0xfff05637,28000211,50774,27,Me Elite
27,#Y2VGYRRC9,th3kingdragon,0xffcb5aff,28000242,50683,28,TheAverageElite
28,#20GQPP200,TN | Bsisa,0xffa2e3fe,28000077,50509,29,The Real World
29,#LCJ8CGLC,[TGG]$الطآهر$£,0xfff9c908,28000290,50398,30,TUNISIA TM🇹🇳
30,#PLRCCR2YG,Yacine,0xfff9c908,28000132,50147,31,THEBLUEONE|🇫🇷
31,#28JUYLPLL,hamza,0xffcb5aff,28000196,50089,32,ZB|ZABOUR
32,#YRVP0CCGU,🇹🇳L3TER🇹🇳,0xfff9c908,28000321,50018,33,7A 𝗜 Esports
33,#9UUJLLPRP,Vampirex,0xffa2e3fe,28000176,50004,34,TUN|LEGENDS😏
34,#292CGUL0,Aziz亗,0xffffffff,28000272,50001,35,The Tunisians
35,#9JJVRLLUV,crow🦅😅,0xfff9c908,28000348,49939,36,MenAreUp
36,#L9LYVVGQY,Советская смерт,0xffffffff,28000019,49847,37,MUSTANG🇹🇳🐎
37,#LRP2PCL,OP| M O M 3 N❤️,0xffa8e132,28000183,49829,38,<c0>P</c>halanx
38,#2PUGQJVQC,turbo time,0xffff9727,28000293,49502,39,TUNISIAN ALIENS
39,#9889JPC0J,oussama,0xffff8afb,28000019,49420,40,Monster legend
40,#GVRRLQCJ,🌵|ρzмz:Ͳͷ↯,0xfff05637,28000023,49312,41,TUNISIAN ALIENS
41,#YLQVQYGVV,🦎Leon | MGT 🦎,0xfff05637,28000321,49281,42,Max is gone
