,tag,name,nameColor,icon,trophies,rank,club
0,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,94538,1,Fenernazçe 💙💛
1,#VYGVV08Q,🍅domates,0xffffffff,28000261,93798,2,
2,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,93529,3,<c0>ＬＯＮＥＬＹ★</c>
3,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,84951,4,GOOD BYE TAHA
4,#9P2CUYJ8P,Scared,0xff4ddba2,28000167,82244,5,
5,#RVLQ0VUR,风暴|kerem🎃,0xffff9727,28000257,81768,6,ᴅᴀɪʟʏ
6,#8JV08U8GR,NightMare❤️‍🔥,0xffcb5aff,28000280,81414,7,NHY E-SporTS
7,#289QGVYRQ,TyM|Ârda🦁,0xffff9727,28000014,80001,8,TyM`eSports
8,#90LPVYVUP,Yusuf♛,0xffffffff,28000112,79886,9,SALDİM
9,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,78236,10,<c0>ＬＯＮＥＬＹ★</c>
10,#8ULJJPYG2,Âtahan🖤Ubéyd,0xffffffff,28000333,77444,11,
11,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,77317,12,<c0>ＬＯＮＥＬＹ★</c>
12,#9L0UQRPJJ,İRONMAN,0xffcb5aff,28000314,77314,13,₮Ɽ₩`eSports
13,#98QJC2YPU,LUCİ😈,0xffcb5aff,28000194,76921,14,Tribe Turkey
14,#98P92U0UU,ARX|Numan,0xfff9c908,28000047,76316,15,
15,#CJUL0RYJ,BLZ|ᵒᵖKozmo ♛,0xff1ba5f5,28000129,76067,16,Tribe Turkey
16,#QGG2UUV0,P4S|Kurumi,0xffcb5aff,28000014,76002,17,Real Ones
17,#22LJJCJ2G,Ferhât🦁,0xffff8afb,28000150,75726,18,BS|KoalisyoN
18,#22C0GV9CR,NoCrow,0xff1ba5f5,28000207,75479,19,HeroWarriorsTR
19,#22JGLCURJ,Mr. RadiuS,0xff4ddba2,28000280,75353,20,Süleyman YTB
20,#2RJL8PGUV,TRW|Corwas🥶,0xff1ba5f5,28000162,75333,21,Turkish Shadow
21,#8LJR900GU,Murât♛,0xffcb5aff,28000191,74966,22,ᴅᴀɪʟʏ
22,#2Q2JQURJR,あSerhâtt❤️‍🔥,0xff1ba5f5,28000297,74798,23,NHY E-SporTS
23,#PYGR8CPJ2,〆ϻɪs͢τɪӄ🩸,0xfff9c908,28000018,74631,24,Spain4Win
24,#2C0CJ2QPC,KáBúS♛,0xfff9c908,28000017,74305,25,Tribe Turkey
25,#2LC9RU2UG,ƇЄƊƦƖƇ🍁,0xffff9727,28000124,73902,26,+12 yaş sew
26,#YV8U29VLY,Oh My Bibi🥵,0xffcb5aff,28000129,73758,27,❤️‍🩹
27,#YPUGQC29,oOoSMaNLıI 🩸,0xffa2e3fe,28000301,73607,28,Ninja Rebels 🥷
28,#9CVGVGGJY,「KaoS」EﾌĐe尺ツ,0xffff9727,28000018,73240,29,ᴅᴀɪʟʏ
29,#9YP00CQPV,Aspect ↯,0xff1ba5f5,28000080,73002,30,
30,#GG9GC002,DE |MASTER,0xff1ba5f5,28000225,72914,31,Türk Milleti
31,#2L2Y9Q2QJ,Shêrlôck♕,0xfff9c908,28000017,72784,32,Tribe Turkey
32,#UPPQL9R8,algerien,0xffa8e132,28000020,72271,33,Crønies🀄
33,#2UYJR9VL,Corwas,0xffcb5aff,28000349,72201,34,Brawl Kings
34,#9PVJYYCV8,YT:Bilek Gücü,0xffff9727,28000267,71937,35,YT:Bilek Gücü
35,#9J20Q092L,TxC|CraZy,0xff4ddba2,28000140,71801,36,Turkish Shadow
36,#YLLJ82CGV,老虎|Francesco🎃,0xffff8afb,28000068,71625,37,LA Global
37,#2UQ22U89Q,₮₵ツɎ₳Ɽ₲łᵏᶦˡˡᵧₒᵤ,0xffcb5aff,28000135,70983,38,BC*|Family*
38,#PJGRPUPPR,🔥*฿Ɇ₭łⱤ₦₲*🔥,0xffff9727,28000346,70915,39,GOOD BYE TAHA
39,#9YUGPC0Q8,Mertcan😡,0xfff9c908,28000091,70902,40,Türk Milleti
40,#8JVQC0QJV,GRD|Egemen❤️‍🔥,0xffffffff,28000096,70706,41,DeviL Community
41,#YL9CJLL8G,₮Ɽ₩|Mehmet🖤🔥,0xffffffff,28000139,70463,42,₮Ɽ₩`eSports
42,#PP9YCCYGP,₮Ɽ₩|Farmes🌪️,0xffa2e3fe,28000201,70325,43,₮Ɽ₩`eSports
43,#V2JQ0CCJ,KINGEES,0xffffffff,28000139,70017,44,Thunder⚡️
44,#PPRP0GRUP,₮Ɽ₩|𝐹𝑎𝑡𝑖ℎ🌪,0xffffffff,28000132,70007,45,₮Ɽ₩`eSports
45,#2JUJP2LVR,AJN|🀄️Winner♛,0xff4ddba2,28000136,70002,46,<c7>A J N</c>
46,#2220JGY8L,XP|Pro 🦊,0xffcb5aff,28000175,69999,47,XP|REALM
47,#8JVV0P808,ARX|Yusuf,0xffffffff,28000213,69897,48,Game House
48,#Y8GUL9R8J,~Bedo64🦋,0xffffffff,28000129,69859,49,SavageSolo+
49,#29YQC0YCG,Nemesis🩵,0xffff9727,28000046,69484,50,LaWs Controll
50,#8JU922PJ8,Deniz❤️🔥,0xffffffff,28000321,69391,51,
51,#YCQ8299GU,☔ᵒᵖ|Dragon,0xffcb5aff,28000305,69259,52,Let's Go!
