,tag,name,nameColor,icon,trophies,rank,club
0,#2GUVLU0UY,看BloodFlameik🩸,0xffffffff,28000207,64978,1,Lose?
1,#289L8VULY,Govi BS,0xffff9727,28000055,56141,2,Rawr Stars II
2,#9GCYC8UCY,MGC|IIIIIIII-😈,0xff1ba5f5,28000352,55491,3,<c8>Magic's</c>
3,#2J9UY0Q2R,MRKz_YT,0xffcb5aff,28000349,53264,4,Imperial Joints
4,#280C2VY8V,Xdddigor,0xffa2e3fe,28000030,52350,5,DarkWork™
5,#YJPLGYCR,Mitinho Mat,0xfff9c908,28000336,52055,6,MUGIWARA
6,#8QP9UVCLG,PF|Terror_W,0xffff8afb,28000219,50856,7,gaticornio
7,#9J9Y2YP9L,MR.Panda,0xfff05637,28000317,50289,8,DarkWork™
8,#8U9C2U2PC,SK|El pepo🐣💛,0xffcb5aff,28000207,50112,9,xBears🐻
9,#P2J9PV9R2,mortis,0xffa2e3fe,28000347,49544,10,HY|Harmony
10,#8CJVRVJ2J,BL4Z3,0xfff05637,28000233,49306,11,Finding Hope💚
11,#YU20U9Y22,👑KIRAL👑🐺🇹🇷,0xffffffff,28000014,49275,12,Yıldız-Oyuncu
12,#822GPYUPP,Iker,0xff4ddba2,28000243,48965,13,oli
13,#9G0R0L9JJ,tomar753,0xffff8afb,28000023,48498,14,Escape|Elite
14,#JQGC9Q20,AdriCaAl,0xffff9727,28000132,48479,15,Style & Skill
15,#299C2QLGG,QLS|Deiman778,0xff4ddba2,28000187,48375,16,🥀The_Olds｡💜
16,#8CLQL2UUY,Mr.Nico🦅✨,0xffff9727,28000168,48328,17,MKS Gaming
17,#8U90GV99R,Bomberjean💣,0xffffffff,28000333,48174,18,<c5>SK|GG</c>
18,#9YYQ82U2J,⛩️Kizz♡|领袖🎋,0xff4ddba2,28000341,48013,19,CSGOWIN. GG
19,#9LYP0GYVU,New🃏Nightmare,0xfff9775d,28000286,47617,20,愛<c5>TZ</c>
