,tag,name,nameColor,icon,trophies,rank,club
0,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,94027,1,help ranks
1,#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,85421,2,My social media
2,#CPYUR8QR,KD|Buff♡,0xfff9c908,28000132,77687,3,Quant ESports🐾
3,#2RP0U2CUV,BERAT❤️ELA,0xfff05637,28000244,77333,4,₮Ɽ₩`eSports
4,#80G89U99R,Chibro,0xffcb5aff,28000018,76482,5,ETERNAL FLAME
5,#20CQLYP2C,TBEjason,0xffff8afb,28000336,76375,6,Brawl King's
6,#Y29V28JYJ,ナイフを持った天使,0xfff9c908,28000014,75983,7,Brawl King's
7,#LUGQ9UPC,guesti,0xfff9775d,28000018,74648,8,<c5>Just Us</c>
8,#ULQY2U8U,TTV|BEZSMERTNY,0xffff9727,28000170,74513,9,TTV|BEZSMERTNY
9,#9LY0YG9QP,を|Sed🍀,0xffa8e132,28000197,74435,10,DragonArmy
10,#YPGUYYLJ,Mad Gamer,0xffffce89,28000347,74212,11,BC*|Family*
11,#8089LRV2V,Kusarrf好😈,0xfff9c908,28000321,73617,12,Brawl King's
12,#Y0C0PG0PR,psycho💘drowikk,0xff1ba5f5,28000168,73414,13,Psychбольница
13,#YVG2LJG,SN|scattered,0xff1ba5f5,28000285,73304,14,Talents
14,#29UC8UV98,🔥Mma Ukr🔥,0xfff05637,28000263,73287,15,Brawl King's
15,#VGPLRCVQ,VNeS | Buzko,0xffff8afb,28000346,72736,16,Talents
16,#9Q89VYCJ,1F|NeVer❤️,0xff1ba5f5,28000272,71827,17,TRIBUNVL
17,#Y28PL2Q0V,I’m xenoxz 🕊,0xff4ddba2,28000140,71493,18,Dysphoria
18,#V992JJP2,NiCh,0xfff05637,28000242,71209,19,TTV | n1ch_bs
19,#2P022YC0U,bat9 ваня,0xffffffff,28000058,70615,20,Quant ESports🐾
20,#Y02L2GGC,Weeeeisit🍒,0xffff8afb,28000073,69582,21,Showdown💔Kings
21,#2Y2RQPVC,dirty korok,0xff1ba5f5,28000229,69165,22,HolyPower
22,#L2UG8YR0,🎋|Ɗiͥ₥ͣαͫֆɨ₭۵ッ,0xff4ddba2,28000347,68717,23,BC*|Family*
23,#LPPLP220Y,ПУТЬ ШДШЕРА,0xffff9727,28000262,68629,24,
24,#8YUQJQ0VG,FST | MECHA,0xffcb5aff,28000274,68582,25,
25,#9PGVRPPP,TTM|Nicky,0xffffffff,28000227,68283,26,RofloSt4ck
26,#8UY0U9JPU,♡Kiyoshi🕊️,0xffffffff,28000050,67966,27,Dove's Heart
27,#92P8VG09L,爱| Fayst♡Y,0xffff8afb,28000224,67914,28,LIKE Юля
28,#2UGV0ULQC,MONSTER,0xfff9c908,28000187,67910,29,Жосткие профи
29,#2QLPVJPGC,BFA//Like),0xffffffff,28000262,67375,30,Импрессив
30,#2UU8RPQR9,MiROU❤️‍🔥,0xfff9c908,28000170,67258,31,dead winners
31,#QUC80QQG,KzG | Kondor☔,0xff1ba5f5,28000023,67171,32,KD TEAM
32,#2LLQLCYY8,SN|4SVSHNIK,0xffff9727,28000277,67075,33,Talents
33,#2Q80YVU99,WomIx,0xfff9c908,28000147,67051,34,HolyPower
34,#2L08LGRPV,Mabo💞Katennka,0xffff8afb,28000138,66856,35,Purple Wave
35,#PGL2UL0CR,SS+|Psychokid,0xffffffff,28000164,66555,36,Talents
36,#PPU998208,TT:krasnikov753,0xfff9c908,28000228,66548,37,🥀 ПИПЕСЯНЫ 🥀
37,#PVPQJL0C,~X_MAXIM_X~,0xffcb5aff,28000125,66499,38,💙💛UKRAINE✨
38,#P2PCLQGLR,Clown💞Quantic,0xffffffff,28000139,66398,39,ᴅᴀɪʟʏ
39,#VU28UY0U,Fab591,0xffcb5aff,28000297,66342,40,Ukrainian Elite
40,#9URQ0JYCJ,サライTenZ🍷,0xfff05637,28000267,66120,41,Purple Wave
41,#PC9J9UVPJ,Electro Wizard,0xffcb5aff,28000044,65996,42,Nice for game
42,#LQQU8P,Guster❦,0xffffffff,28000204,65954,43,Guster desant🪂
43,#GLLPGU98,van-van,0xffa8e132,28000167,65826,44,van-van's
44,#C0VRCL29,Linzer ♡黒崎一真咲,0xffffffff,28000156,65813,45,HolyPower
45,#JC8J0JG,IGardanx.🇺🇦🪐,0xffff8afb,28000090,65549,46,Fiery ghosts🔥♥
46,#9U0G2UGP0,Руди,0xffff9727,28000061,65549,47,ETERNAL FLAME
47,#9UJC2ULJU,VLADKER🔱,0xffff9727,28000226,65501,48,FULL_CONTROL🎮
48,#98VYGYVG,QLS| ZonG〽️,0xffcb5aff,28000315,65456,49,XIII Legion
49,#8U92UJGLL,IMgkzxxx❤️‍🔥,0xffffffff,28000304,65390,50,Showdown💔Kings
50,#8GCPJRPC9,soft夫frozen,0xffff8afb,28000081,65313,51,<c5>HOR</c>IZON
51,#2QYJJLPRR,cyanideeeeee🐙,0xffff8afb,28000111,65144,52,Talents
52,#2P9GQ8UP2,Ксай,0xfff05637,28000102,65029,53,French United
53,#92CJ2JUJR,ᴄᴜʙɪᴋ🐙,0xffcb5aff,28000135,64997,54,Импрессив
54,#9QRR2LL,BreNaaa💉,0xffffffff,28000136,64969,55,Memories World
55,#CPL9PLC8,Yolo 🎈,0xffff9727,28000047,64956,56,Dr eSports
56,#8J8RGU0J2,It’s RaZor?💔,0xffcb5aff,28000135,64659,57,Purple Wave
57,#ULUPVRRL,雨│_MaX_│☔,0xffff8afb,28000156,64502,58,dead winners
58,#PUC2UPPUR,жиVчік🇺🇦,0xffa8e132,28000136,64448,59,AMG
59,#2Y9G2C22P,SkorpiOgi⚽,0xffcb5aff,28000297,64444,60,Imperial Zibrov
60,#8UL2CRGLR,twixまや,0xffffffff,28000233,64354,61,Dysphoria
61,#2LR9R90QV,JustTop,0xffffffff,28000266,64179,62,insensetive
62,#L8LPCUPCC,Rodi Dysda,0xffff9727,28000291,64147,63,
63,#9YRQG0RVJ,DT|🐉Zandor🐉,0xff4ddba2,28000021,64031,64,Dove's Heart
64,#8G0VLCPY9,BD|ⒹⒶⓃⒾⓁⒶツ,0xffcb5aff,28000141,63994,65,LEGION🎴LEGEND
65,#200G9YLCL,『GwenBleidd』,0xffffffff,28000345,63935,66,Ukrainian Elite
66,#88RLJ8C0Q,🌩davin4i🤍Kr☔️,0xffffffff,28000150,63905,67,Lose?
67,#282J2U0YJ,Alexei ❤️Cleo,0xff1ba5f5,28000339,63852,68,DarkMasters
68,#P0QUJLJ90,Neuzz,0xffffffff,28000301,63820,69,ФАНАТЫ А4
69,#80RPG2Q9,goodtox.,0xffff8afb,28000321,63754,70,<c0>Shine</c>S
70,#8L9VYCCPC,myauzeznak😸🍭,0xffff9727,28000018,63707,71,
71,#2CQ0U882Q,SNK|Skrill,0xff1ba5f5,28000198,63697,72,Unreal_Fate🥀
72,#9U8RQVJ9J,AN|ASsᴜɴʏᴋᴇ🕊️,0xffa2e3fe,28000349,63650,73,Импрессив
73,#22RQLQL8R,[SLATT] ишак,0xffcb5aff,28000291,63608,74,Lost Hell
74,#8RGPGP9LV,сапфирчик,0xffa8e132,28000150,63493,75,оупи челики
75,#8PQYUJ29G,𝚏𝚒𝚗𝚎𝚜𝚝❦︎,0xfff9c908,28000132,63471,76,Хижина Снайпов
76,#C2U882G9,Danny🦋,0xffcb5aff,28000297,63394,77,AFGMela
77,#PL99CPRPR,dmtr.sdv,0xffff9727,28000208,63375,78,mlpzaq
78,#829V9Q09C,XP|𝓡𝓲𝓷<3,0xffffce89,28000233,63351,79,Anteiku☕
79,#2PUGLPUCP,ZDT|ZoDanyT死🐉,0xfff9775d,28000073,63218,80,LEGION🎴LEGEND
80,#92L2GYQUQ,krolikk💖tans👅,0xff4ddba2,28000140,63175,81,HolyPower
81,#8PYU02C8Y,Хэлфинг💔,0xff1ba5f5,28000150,63153,82,Хэлфинgg
82,#PC9U8UL2,как вас зовут,0xfff9775d,28000334,63145,83,<c5>HOR</c>IZON
83,#8LQUQJG0P,Young🦁,0xffff9727,28000348,63058,84,One Question?
84,#8CGP2YVQ9,Egaron,0xfff05637,28000347,63029,85,mlpzaq
85,#8ULJ8RLJY,leroyyy🤍ануака,0xffff8afb,28000018,63005,86,House Greyjoy
86,#2JPY82PVQ,Rᴏsᴛɪsʟᴀᴠ🧸,0xfff9c908,28000091,62941,87,<c0>Odium个</c>
87,#8VRPJPLU2,Moon🤍アーセン,0xffffffff,28000000,62933,88,devxssted19うぇっ
88,#820989QPC,A∞D|Dellyya:D,0xff1ba5f5,28000150,62920,89,Mental Illness
89,#90GG8LPRC,WW | Light Tank,0xffcb5aff,28000132,62917,90,<c5>HOR</c>IZON
90,#890UQ99V,InFo🎴,0xffff8afb,28000336,62911,91,Purple Wave
91,#2J90RPUU0,saquire,0xff4ddba2,28000136,62821,92,Purple Wave
92,#9CCLU0UJC,𝓡𝓮𝓭𝓮𝓧|恐れ,0xffffffff,28000317,62816,93,Star Kingdom ✨
93,#L2U888JJP,squeeze ❤️🔥,0xffffce89,28000135,62804,94,KingdomRush
94,#9CP0GPV,Горячий-Рикардо,0xfff05637,28000014,62799,95,<c0>★DARK★</c>
95,#2YCY2PC0J,☢️☣️АРЧІ☣️☢️,0xffff9727,28000347,62734,96,🔥BaWoWna🧨
96,#8J89VLQQC,MASTER,0xffff8afb,28000330,62683,97,House Greyjoy
97,#20J0YQRYR,kЛaYeР,0xffffffff,28000136,62666,98,Лучшие Игроки💔
98,#YLLJRQ8V2,Murphy 🤍,0xffcb5aff,28000310,62638,99,ChillOut
99,#8L0L8VJCQ,•qlansee✗︎ぃ︎━︎,0xff1ba5f5,28000162,62609,100,LaWs Controll
100,#29J2GYQ2,alekzz,0xffff8afb,28000273,62587,101,Brawl Kings
101,#8U880CCGY,KoNoR⚽️,0xffcb5aff,28000228,62547,102,FULL_CONTROL🎮
102,#2UP2J88JP,Skill Dragon,0xffffffff,28000224,62506,103,Импрессив
103,#RGVYPYJ,VMŁ|MailiS,0xffffce89,28000167,62500,104,Dove's Heart
104,#22YYUL9RQ,[LY]♠️MUTANT♠️,0xffa2e3fe,28000348,62489,105,Fiery ghosts🔥♥
105,#20RR0Q9JP,Legendary,0xfff9c908,28000073,62483,106,X'LENGENDS ☣️
106,#RUVVQPP2,[LP]VIMBER,0xff1ba5f5,28000196,62455,107,Dove's Heart
107,#2C8YYLR8L,MyS | LoTeKiwi✈,0xffff9727,28000298,62455,108,Dove's Heart
108,#2VYQUC2VV,Святославкуплев,0xffff9727,28000333,62453,109,Ukrainian Elite
109,#8C9PYJJ2V,PaYa|LiPi💘,0xffff8afb,28000267,62438,110,PAYAKIMI
110,#V8U0R8RJ,YT K W E N T Y,0xff4ddba2,28000014,62432,111,Лучшие Игроки💔
111,#P0J88U2PQ,Артём,0xffa2e3fe,28000023,62382,112,BS*family*
112,#PGGG2PR98,Toper❦︎,0xfff9c908,28000159,62370,113,SY Naoxx🐺
113,#82LG9RQ09,Super Brawler,0xff1ba5f5,28000168,62354,114,Purple Wave
114,#9P2YGGCV0,¿☆валера?☆,0xff1ba5f5,28000264,62348,115,💙💛UKRAINE✨
115,#PQ9CRVRC,AOT|Myth,0xff1ba5f5,28000139,62339,116,corazón enfermo
116,#QRCQJ2PG,ALEXGIG,0xff1ba5f5,28000067,62325,117,ChillOut
117,#89PCQUJ9J,костянчик,0xffffffff,28000167,62311,118,
118,#L99GVQJPG,qqwlxxz1|🎧👱🏻,0xffffffff,28000000,62280,119,24.11.23
119,#Y9UJJRV,BSRK | Sorrow,0xffff8afb,28000028,62170,120,Berserk Mode
120,#8J0LUV9QQ,ZETA | TvorojOK,0xffff8afb,28000058,62156,121,Showdown💔Kings
121,#8L02P2VPY,-_-ȺɌŧɆMƗS-_-ッ,0xfff9c908,28000013,62148,122,KRAKEN
122,#88C9UUP9Q,Night Fury,0xff4ddba2,28000291,62145,123,Ukrainian Elite
123,#999JCRY2Y,savchukk<3.,0xffffce89,28000139,62136,124,Havos Echo
124,#YQ0LCRC8,Narko💞King,0xfff9c908,28000349,62123,125,HolyPower
125,#QP0U8RGR,Forever❦,0xfff9c908,28000014,62109,126,★Art of War★
126,#9LCGQ9890,Solo♡Grisha💔,0xffcb5aff,28000118,62059,127,Anteiku☕
127,#9QPR8QUYC,MG|TUNDER,0xffff8afb,28000349,62047,128,ORDER
128,#9PUG8LGR,Nemo💗11:11,0xffffce89,28000300,62043,129,опасный
129,#P9QRR29YV,🌈KroNys☔,0xff1ba5f5,28000352,62005,130,<c0>PWNZ</c>
130,#2J8V0CYQQ,🎮\✨М_к✨/💥,0xffcb5aff,28000102,62001,131,Legio X Victrix
131,#8QCGVY90V,☔︎𝙳𝚊𝚗𝚒シ︎,0xffcb5aff,28000156,61982,132,XIII Legion
