,tag,name,nameColor,icon,trophies,rank,club
0,#LLJ90L82G,⛩️𝒵คʰi͢͢͢⚡,0xff4ddba2,28000204,73781,1,OG Mute
1,#2RVCPV080,BlakBon,0xffff9727,28000299,70423,2,OG Mute
2,#9L8R90YU2,★ ⫷Shͥєeͣlͫy⫸ ★,0xffa8e132,28000210,70004,3,TOXIC HEROES
3,#8CRLCCRRR,SPY,0xffff9727,28000233,67581,4,weird gamers
4,#2G0QQ0998,Lexi is cool,0xfff9c908,28000348,67003,5,Ocean Waves
5,#8VV0UQC2L,BL|Ta̷FjeeR⚡,0xfff9c908,28000272,65949,6,Blazing Light⚡️
6,#2R8C202V,I'm BURAQ❤️,0xffa2e3fe,28000291,64976,7,TOXIC HEIST 2 ™
7,#8VQVRPR20,D7S💯,0xffcb5aff,28000314,64971,8,A FEW GOOD OPs
8,#PQRJCVULY,疲 | Viper ✘,0xff4ddba2,28000322,63074,9,
9,#PRL0U8LR,🏅王 MKS,0xffa2e3fe,28000281,63065,10,A FEW GOOD OPs
10,#2RQ02UV99,DJ SMOKE,0xff1ba5f5,28000019,61373,11,
11,#CUY9P2LC,🥀|Samurai⚔️☯︎,0xffffffff,28000230,60974,12,
12,#22LQL2PV9,SL | Hamza 〆,0xfff05637,28000321,60928,13,Sherlock
13,#28U88RJ09,◟𝟕𝐀◞,0xffffffff,28000150,60061,14,<c5>OG Mute</c>
14,#G8LQ2JGQ,Alcor ebët ♿️,0xffffffff,28000299,59775,15,
15,#8GVQPJV,NAVI | MMA,0xffcb5aff,28000023,59617,16,Brawl Kings
16,#2P2JL92V8,NiceAmaury,0xffff9727,28000085,59610,17,<c7>BLITZ</c>
17,#298C8V28G,nishdafees,0xff1ba5f5,28000322,59529,18,Cactus Bandits
18,#YLG9JGJQ2,Apex_UAE,0xff4ddba2,28000229,59380,19,Loco Pushers
19,#UQ82LYLJ,BL|Dreสm⚡️,0xffffffff,28000006,59237,20,Blazing Light⚡️
20,#LPYGLY8PG,ѕиσω вσу❄️,0xff1ba5f5,28000175,59227,21,PURE ONES
21,#22JQL2UUV,BL | Hสrfzz ⚡,0xffcb5aff,28000014,58768,22,yes?
22,#2G2RQ8Y9Q,Ocean 🌊,0xff1ba5f5,28000222,58767,23,🍿متفاعلين 👌
23,#9CG0GR80P,LAG|Cyrus🍃,0xffcb5aff,28000280,58367,24,Underrated|MENA
24,#2GLQYYRC0,투명몬,0xffcb5aff,28000135,57802,25,꽐루의 컨텐츠 종합 제작소
25,#Y2CJ0C,⚡Genesis Valt⚡,0xff1ba5f5,28000211,56795,26,Cookie Brawlers
26,#8C80CU89P,omar XD,0xfff9c908,28000138,56714,27,Gg|My Clan🥀🖤
27,#PLR80UJV9,強的•𝐆♡︎𝚍𝚘𝚔𝚎𝚛𝚖𝚒🃏,0xfff9c908,28000150,56043,28,🕷 let me die.
28,#28G09YJJY,Pride😈,0xffffffff,28000004,55938,29,Club #2JU9VVLCQ
29,#9CQ8P2029,『♡Everes✰』,0xffffce89,28000140,55826,30,New Grand
30,#92GLJ9QQ,Dark_Shadow,0xffffce89,28000006,55795,31,gang shadow
31,#2G0V0G28U,ZLOY | buFF,0xffa8e132,28000352,55440,32,ZEUS YT
32,#2QJJPRPGJ,༺Leͥgeͣnͫd༻ᴳᵒᵈ,0xffa2e3fe,28000286,55364,33,Weasels Kingdom
33,#LU82YYPUG,abdullah_Q119,0xffa8e132,28000099,55163,34,<c7>A J N</c>
34,#P0GY9VLRJ,Max_23,0xffff9727,28000273,54969,35,
35,#2YJGV0V,GoldVapour,0xfff9c908,28000061,54853,36,Dynas Diner
36,#99CC80V2C,⛩|GUCCI🥀,0xffcb5aff,28000207,54809,37,CSM Stardust
37,#20JV8JUCQ,Ebram,0xffffffff,28000347,54784,38,Ocean Waves
38,#9L8PGCRVC,[пот]хайрулла17,0xffff9727,28000132,54600,39,<c2>Yellow</c>⚡
39,#9UPPCLC2Q,ErnestSuperstar,0xffa2e3fe,28000297,54538,40,
40,#P9LY2LRQ8,D4RK,0xfff05637,28000109,54456,41,Weasels Kingdom
41,#C90CVPU2,RUSSIAN BEARS,0xffcb5aff,28000148,54371,42,The Hungry
42,#8QQ98V0UG,🎾Stepundel🎾,0xffffffff,28000332,54357,43,
43,#22VPRCJU8,HYPERBRAWL29,0xffa2e3fe,28000295,54339,44,MJ Chosen
44,#PY2J00PV,d.sa,0xff1ba5f5,28000295,54289,45,هَگونا متآتآ 🌵
45,#Q2LPGRYV2,ANA❤️‍🔥EBraHiM,0xffa2e3fe,28000342,54185,46,THE NEW RULERS
46,#2UR22G2YQ,aa|ơʄƈơųཞʂɛ,0xffcb5aff,28000272,54170,47,of course
47,#Y208R9Q9,RAVI_mint,0xff4ddba2,28000000,54019,48,LEAGUE-M
48,#8Q822002Q,VillSaturnYT,0xff1ba5f5,28000322,53711,49,GreenLightGroup
49,#9U8RGJJLJ,#MeAmPro786,0xfff05637,28000244,53703,50,ROL|Arena
50,#U90QVRJJ,Xeus,0xff1ba5f5,28000303,53630,51,FRIENDS💝ZONE
51,#YRYC92YU,supercel,0xffcb5aff,28000274,53573,52,
52,#9GUYUUP9U,A7mdoove,0xff4ddba2,28000083,53511,53,Arab Nation™
53,#2RC8PPJYQ,Боец,0xffffffff,28000242,53320,54,⚔️ВАРВАРЫ⚔️
54,#9GJU2PU,yaseen.47,0xffcb5aff,28000305,53295,55,CH Royale
55,#2VQQ0RG2G,NoobYt↯,0xffffffff,28000018,53291,56,BEHIND TRUST
56,#PQCVC99L8,GG|sh3,0xffffffff,28000296,53231,57,
57,#G8R8RV82,cyborg,0xfff05637,28000170,53225,58,OGANG
58,#9LYYLL9QV,AR⚡BIG BOSS💘,0xff1ba5f5,28000332,53205,59,RL|Smart 🧠
59,#2QU2YL2PC,ヅ乙のの尺ﾘ好运,0xffcb5aff,28000290,53032,60,A FEW GOOD OPs
60,#8QLG9028Q,𝖂𝖆𝖍𝖊𝕭𝕾,0xffff9727,28000278,53012,61,SunnyPirate⛅️
61,#2P8GPYJ,MMJRS_YT,0xff1ba5f5,28000305,52912,62,<c5>Magic</c>
62,#JR9C8L,sSTRONGER,0xfff9c908,28000272,52857,63,[DMR~TOB>
63,#9PGU8LJQC,Боr,0xff4ddba2,28000225,52776,64,ybar squad 🌺🍓
64,#8UGUVUR9C,MR HACKER_2009,0xffcb5aff,28000260,52692,65,
65,#8VGC0V9,HMJRS_YT,0xffa2e3fe,28000175,52671,66,<c5>Magic</c>
66,#L92RPCU2V,Muhyi_B$,0xfff05637,28000078,52413,67,
67,#PPLG20CL,MᴏøN🏀SʜɪɴE,0xffffffff,28000335,52353,68,GUCC1
68,#9LV9V0RGP,maaahdi.mmj,0xffa2e3fe,28000094,52193,69,
69,#PCPLURLG2,RAVI_Space,0xffff8afb,28000263,52169,70,RAVI_태양
70,#9LP89G0LP,mokah,0xffa8e132,28000140,52102,71,<c0>IMPACT</c>
71,#9VJ9UPJ9C,Fahad,0xff4ddba2,28000253,51987,72,Weasels Kingdom
72,#VGRG0G2C,FL |CryingNiko,0xfff05637,28000301,51889,73,Rebirth Knights
73,#8RYJR89PC,LettuceBob,0xffa8e132,28000209,51616,74,Static Shock
74,#JLRV98P0,🚣Sօlo͢͢͢多𝑒ast,0xffa8e132,28000129,51565,75,PURE ONES
75,#PPPYRPRYV,⛩｜月尺七廿尺｜⛩,0xffff9727,28000100,51499,76,mcArtur
76,#2CC0V2U0J,❄IceCrow❄,0xfff9c908,28000262,51481,77,GUCC1
77,#L092RY29,AN|DOOFY⚡️,0xfff9c908,28000109,51471,78,Arab Nation™
78,#PY0YR2CR8,majd✿,0xffcb5aff,28000336,51431,79,Ocean Waves
79,#28JVQGR2L,Ramez911,0xfff9c908,28000290,51259,80,UNITED ESPORTS
80,#82GC8V2UP,PRO,0xfff05637,28000170,51237,81,FS Blades
81,#2JJ200890,iZayyQu❦,0xffffffff,28000348,51127,82,Hexlone|Goats
82,#2G2CRQC98,~~🇸🇾ALI🇸🇾~~,0xfff05637,28000129,51113,83,🍃H✨M❄️Y🔥
83,#9CVC9QC0P,hsn_800,0xfff9c908,28000190,51087,84,TE|Team
84,#2VQ0PC88Y,łøńè ₩øł£,0xfff05637,28000297,50815,85,ժҽαժ íղsíժҽ 💔
85,#8UJCCCJUQ,XD | AG,0xffa8e132,28000343,50757,86,Xtra Dark
86,#88VJQ8P2C,STL | lexuslv ❦,0xff1ba5f5,28000129,50751,87,котики<3
87,#YY28VCUUP,black_star,0xff1ba5f5,28000332,50743,88,CH Royale
88,#80CJRRVJ8,MommyM7D🍎🦖,0xffff8afb,28000314,50693,89,<c0>IMPACT</c>
89,#U98VQL2P,𝒽♡︎,0xff1ba5f5,28000196,50542,90,
90,#P2GJP9U9Y,Malik-_-,0xfff9c908,28000279,50517,91,MA Team ⚡
91,#PVYR9L9CQ,Bojan,0xff4ddba2,28000318,50513,92,Hexlone
92,#9GLYL0PV8,Berserker,0xfff05637,28000207,50485,93,THE∆NINJA'S
93,#2LLUYUPR,JustNeo,0xfff05637,28000102,50399,94,CrispyBash
94,#8JP9JPC8,家 | Lͥakͣsͫᵍᵒᵈ,0xffa2e3fe,28000156,50350,95,<c7>ASTRA</c>
95,#VY9GYRCV,😈sh11k9☠️,0xffcb5aff,28000224,50295,96,THE ROYALTY
96,#89Y080U,platinum9802,0xffcb5aff,28000336,50275,97,Lucino 🖤
97,#8G0VLYL8L,25 Nasser,0xffcb5aff,28000272,50253,98,
98,#P8UQJLLLP,abo_b8dons,0xffa2e3fe,28000156,50225,99,Arab Nation™️ 2
99,#2LLCCGVRU,GS | Abood⚡️,0xffff9727,28000277,50190,100,
100,#8UCG0LYP,lalkesha,0xffcb5aff,28000112,50168,101,Les Chameaux
101,#P82PC0RVP,h-99,0xfff05637,28000077,50154,102,SecretAsian
102,#2PYGV2RV,Free Palestine,0xffffce89,28000007,50112,103,Adult
103,#YL0R8V2Q,⛩️|Brim64🥀,0xffffffff,28000135,50057,104,
104,#9CR0QV80Y,Black Star,0xfff9c908,28000095,50002,105,👑NIGHT⚜₩@LF$💎
105,#8PPG8JL,YoshiPotato7,0xffcb5aff,28000310,49936,106,꽐루의 컨텐츠 종합 제작소
106,#CYJ9PGLQ,гарм,0xfff9c908,28000132,49848,107,Ice Dragon 2.0
107,#J0UGPCV0,BL|Akainu⚡️,0xffcb5aff,28000096,49767,108,
108,#GGPP9JRR,EncyVixity,0xff1ba5f5,28000345,49750,109,Weasels Kingdom
109,#CRP8QQ,Mr-_-AttaCk,0xfff9c908,28000273,49401,110,
110,#2JRLQLCL2,SkarjOS,0xffa8e132,28000218,49308,111,Nova Aus
111,#80PLQY89C,mstrkrftz,0xffcb5aff,28000163,49304,112,HOG RIDERS
112,#J0CPYRU8,Your Daddy,0xffa8e132,28000330,49222,113,pylin
113,#2LVGQUUJ2,CreamPuffFiller,0xffcb5aff,28000290,49184,114,샬롬 군단
114,#8V2U8LRQV,🌊REXINATOR☔️,0xffffffff,28000207,48941,115,Bunny Hole 🐰
115,#2LLJGYCG,⛩️ $uh@il🥀 |,0xff1ba5f5,28000151,48715,116,Tim al Arab
116,#YCP9JU88P,𝗔𝗯𝗱𝘂𝗹𝗹𝗮,0xffffffff,28000063,48691,117,naruto 🥷🏻✨
117,#R2L220Y9,lord hk :-P,0xffcb5aff,28000341,48531,118,YOWIE WOWIE YT
118,#29GCPGJY8,FenilPlayz YT,0xff1ba5f5,28000227,48482,119,Dream Team
119,#YVJY9QUG,GOLDEN PANTHOM,0xfff9c908,28000017,48472,120,BEHIND FRAUD
120,#CP2UU0YQ,PRO BRO,0xff4ddba2,28000017,48395,121,dutch brawl
121,#Y9VRP0VPQ,Konso,0xff1ba5f5,28000180,48170,122,Legends🖤Acdmy
122,#Y0Y2GLVL,atrin 🚀,0xffa2e3fe,28000294,48150,123,iran
123,#Y9JVYU208,A7bood,0xfff05637,28000041,48101,124,عرين الأسود🦁
124,#P2UL2P2V,⛩️|Vijay64🎋,0xffcb5aff,28000347,48017,125,KiwiKings
125,#80GQ0GGL,ツتايجر,0xffcb5aff,28000349,48010,126,$niperシ
126,#2U0PJ8UPJ,🏝️TropicPeng🐧,0xff1ba5f5,28000225,48000,127,Oorah
127,#9P2QCGU02,🍥ˡᵒⁿᵉpfe𝒻ℯr🌀,0xff4ddba2,28000233,47954,128,ժҽαժ íղsíժҽ 💔
128,#PGVR9Q89V,ice breaker,0xfff9c908,28000298,47670,129,TOXIC HEROES 2
129,#2LLYGUYPY,المفترس,0xffcb5aff,28000207,47667,130,GOKU BLACK
130,#8C0LRCY0L,blueeyepower,0xff4ddba2,28000230,47641,131,Shisener
131,#2YRVU9LQC,MR T,0xffcb5aff,28000014,47520,132,Mortis❤️
132,#PP88YJ0PV,TT|🌪VɆSȺUS͞🔥√,0xff1ba5f5,28000129,47364,133,truskawki🍓
133,#UGPLLJPL,mohammed,0xfff05637,28000064,47154,134,CROW ARMY 💯
134,#LQYQJ2QG0,bill024,0xff1ba5f5,28000333,47152,135,Too Cool
135,#9099VYRJ,¡Sanchez™,0xffffffff,28000136,47133,136,LA Zero
136,#JRQ8PCYQ,👿MoHAmED👿,0xff1ba5f5,28000128,47033,137,Transylvania
137,#2JLRRPU28,GENE,0xfff9c908,28000038,47012,138,PG|Legacy
138,#2U2Q2L2RL,geturown69,0xffa8e132,28000008,47002,139,Daeis
139,#9CU89P89C,T.Boss,0xffa2e3fe,28000099,46986,140,W∆RLØCK$ ELÎTES
140,#V292VU0C,Xx amir xX,0xffff8afb,28000023,46937,141,Blazing Light⚡️
141,#PC9LLUGQG,税 |𝑍e𝚗i𝐱x🦈,0xffcb5aff,28000140,46925,142,ZeniXx 50k ?
142,#Y0GJV0RJ8,🌴|WaheebKHL|🐙,0xffff9727,28000256,46907,143,الحان الموت
143,#20J2QRJ28,@Ushtonian,0xffcb5aff,28000294,46803,144,BLITZ Lounge
144,#820RUC92,LL,0xfff05637,28000130,46783,145,Ninja Turtles🐢
145,#LY8YC2JJY,SugarBomb,0xffff9727,28000273,46756,146,Hell wish
146,#PGYY29RLP,Toten Kopf,0xffff9727,28000177,46751,147,
147,#PQVLRYJ9V,NK,0xffffffff,28000008,46747,148,DEVILS DOOM
148,#PQRRP22U9,Clanps,0xfff9c908,28000295,46704,149,ŘØ¥ÅŁ WÅŘŘÍØŘŚ
149,#29UQL98L0,SPENCER_LC,0xfff9c908,28000230,46645,150,<c8>PSYCHO</c>
150,#2Y9YC2U9,name here,0xffcb5aff,28000024,46613,151,TheChosen
151,#QU8G2ULC,BL|torbo⚡,0xfff05637,28000310,46516,152,🔥TEAM 7ARQ🔥
152,#28LJR08VQ,[⊙-⊙] LukieBear,0xffa2e3fe,28000314,46445,153,ժҽαժ íղsíժҽ 💔
153,#2PYLQGQ0C,PixelJr,0xffcb5aff,28000002,46421,154,Valkryia
154,#280RVYCYQ,firas,0xffff8afb,28000280,46323,155,
155,#80JRJLL2J,КРОШ,0xffcb5aff,28000021,46271,156,American Alpha
