,tag,name,nameColor,icon,trophies,rank,club
0,#8YVC98CJV,Leon ニャー,0xffffffff,28000140,59888,1,Mega pig grind
1,#2JGLR0G2L,TF|brawl stars,0xffffffff,28000303,52478,2,ANVORGUESITA🍔
2,#8LQQVQU98,Hiro|ファディル,0xff4ddba2,28000349,52247,3,INDO CORPS X
3,#UY0UPG00,xixi,0xffa2e3fe,28000079,51646,4,潜水局
4,#YLGY992JY,Тёмик,0xffcb5aff,28000318,50620,5,🐲DRAGON🐲
5,#29QYQQJPV,⭕️|Fi Flo,0xfff9c908,28000018,49929,6,DEKEDI MON BEW
6,#90980CVUJ,ᕼI Iᗰ ᘔᗴᖇO☃︎,0xffcb5aff,28000227,49924,7,LK | Elite
7,#P2982QQCP,EgVerde,0xffcb5aff,28000022,47957,8,🎵Hidden Song🎵
8,#2QV8R8RCJ,StopItStepBro,0xffa2e3fe,28000288,47206,9,Hidden Sand
9,#PPGPGLQG,TQ|helwoda,0xfff05637,28000335,46891,10,A Few TTM Men
10,#98CLG09PR,SilverBrawler,0xffffffff,28000006,46631,11,Fire Wallace
11,#29QYPVGV,melonshane,0xff4ddba2,28000336,45879,12,The Koala Club
12,#2LCRYJR0L,Adrian,0xffffffff,28000345,45769,13,Minicampeones
13,#9229L2PGR,arty69,0xffffffff,28000018,45678,14,
14,#VGRGL22Y,TF|Blacky,0xffff9727,28000267,45456,15,Black Bet
15,#9QQ0PPL0R,SF|ADRIX⚡,0xfff9c908,28000301,44394,16,
16,#9UV2GU20U,DG|melkat🤍,0xffffce89,28000023,44000,17,<c5>GOOD</c>
17,#P08CRLQCC,GX Gabri,0xffcb5aff,28000207,43892,18,God Esports
18,#2U08PC8CL,[FH]PRO ENERGY,0xfff9c908,28000273,43811,19,IQLAB
19,#LUR2GCPGY,deztroyzz208🐲,0xffa2e3fe,28000129,43734,20,Clever energie
20,#8VUQVPURQ,Сыночек пушки😍,0xffffce89,28000272,43612,21,sutand
21,#Y9VCJ2VLL,Navi|Borz🔥,0xffa2e3fe,28000132,43439,22,Outsiders
22,#YUYCY8Q0L,kickbaddy345,0xff4ddba2,28000314,43273,23,Call GS
23,#2Y2R9L292,CM|WITHZY ☔,0xfff9c908,28000272,43273,24,Los BrawlPapus
24,#PUJCUVL9L,суперпролега,0xffffce89,28000018,43028,25,superprolega🇷
25,#2GY8PV2U9,CreatE on TiM,0xffcb5aff,28000222,43003,26,Vicious Blood
26,#P2P0J9QLC,SNAKE FRANK,0xffa2e3fe,28000196,42959,27,FireBallz
27,#9U9RPP2R8,Hzr,0xffff8afb,28000156,42873,28,®️D|eSports™️
28,#PJ2U90VV,MERT,0xffff8afb,28000156,42684,29,ADAMLAR
29,#P89RQ2G2C,𝐀𝐤𝐢𝐢𝐫𝐨,0xffa2e3fe,28000150,42231,30,Team Wikinger
30,#9U20UQU0,[МЯУ] КОТЯ,0xff1ba5f5,28000018,42095,31,Асгард
31,#2LLGGPP2V,QŁŞ|ĤĄĆĶĘŘ👾,0xff1ba5f5,28000175,42043,32,OLD_UNITY☔
32,#PG9VJVR0C,TTM|Paolo🔥,0xffcb5aff,28000280,42003,33,italia
33,#YPVQUL,ig:_mitinkin_,0xffffffff,28000220,41902,34,HaZeeRS❤️‍🔥
34,#9C820UULQ,ⓀⓘⓝⓖⓄⓕⓉⓗⓔⒹⓔⓐⓓ,0xffffffff,28000276,41540,35,Los Puponios
35,#CCGR2UYJ,Eveless,0xff1ba5f5,28000285,41472,36,los broders
36,#CP8LP9P2,SF/COCONUT07,0xfff9c908,28000242,41463,37,Catalan Mafia
37,#CYUUL0UG,CrazySoldier,0xfff9c908,28000170,41395,38,StandardGates
38,#PL9JU0UR,LG|JOSETEVGX,0xfff05637,28000064,41237,39,uruguayans
39,#PYVPV920G,TTM🇮🇹SAIKEBON,0xffcb5aff,28000323,41119,40,EliteSquad752
40,#8CJL9L2RU,⛩ jͥeyͣeͫe|NA,0xfff9c908,28000242,41085,41,<c9>Beaters</c>
41,#2QYPQ9LCP,[БЛЭT]Хомячок,0xfff05637,28000305,40937,42,Onlý Fąn’s
42,#PJQ0LRQ88,TTV|Ben,0xff1ba5f5,28000348,40850,43,
