,tag,name,nameColor,icon,trophies,rank,club
0,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,95059,1,Follow?
1,#QUYCVC2,STMN | sans,0xffa8e132,28000136,85740,2,STMN Esports
2,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000221,85540,3,7 Dwarves
3,#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,84750,4,Demise 🥀
4,#9J2JLUR8G,Aspect 🃏,0xffffffff,28000304,83276,5,7 Dwarves
5,#2QCVLV2Q,Psychopant💧,0xffff8afb,28000334,82352,6,7 Dwarves
6,#20P2GP99,Ducky🐝,0xffa8e132,28000136,81584,7,NA Friends
7,#8Y082R2GG,추카|RapZ ✶,0xffff9727,28000211,81144,8,Beyond Swift
8,#99LLQYY9,Joeh,0xfff9c908,28000335,80978,9,👋 🤷‍♂️
9,#20YJ9PLLV,ま|Shadows • 💫,0xffffffff,28000041,80213,10,what happened
10,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,80000,11,Humble Grinders
11,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,79769,12,
12,#298JUYR29,Chase-Itz,0xffcb5aff,28000156,79354,13,Beyond Kratos
13,#JGUYRYQ,Nathan🩵,0xffff8afb,28000041,79241,14,NA Friends
14,#29CVP0V9U,Almighty Push💐,0xffcb5aff,28000335,79122,15,Beyond Champs
15,#URV8JPY,ormy🎄,0xffffffff,28000176,79044,16,Havoc Echo
16,#GVQUYG90,Shattered ⟡,0xffffffff,28000000,77915,17,7 Dwarves
17,#QJ0PRJCU,retired getsent,0xff4ddba2,28000010,77846,18,Beyond Swift
18,#8UL0U08V,winq ☃️🤍,0xffff8afb,28000175,77724,19,Havoc Echo
19,#RC8GU2G,Ascend-.-,0xffcb5aff,28000014,77599,20,Havoc Echo
20,#829LJ28CU,toxicgenie🃏,0xffcb5aff,28000286,77515,21,Real Ones
21,#PJ9JCYLCQ,猿|Epic🐒,0xff1ba5f5,28000069,76985,22,Ex0tic-E-Sport
22,#2JCURGC2C,Sin ヤギ,0xffffffff,28000339,76701,23,
23,#9Q8LP2Y09,Lag,0xff1ba5f5,28000044,76598,24,Dredd
24,#8QJ0YUV8Q,千 | Kai,0xffa8e132,28000018,76139,25,Beyond Swift
25,#2YCR9RLCJ,Tris🍃,0xffcb5aff,28000095,75843,26,
26,#VUQV0ULV,𝓚𝔂𝔀𝔂,0xffcb5aff,28000031,75727,27,Beyond Fresh
27,#9U0P9CYJJ,Venom🕊️,0xffcb5aff,28000328,75435,28,Real Ones
28,#RLCJUCUU,Brook 🩻,0xffff8afb,28000023,74881,29,
29,#RCRGCVRJ,Des ✰︎,0xffcb5aff,28000349,74719,30,Ash's Club
30,#PQ98LVPQ,Math ↯,0xffcb5aff,28000280,74669,31,Ash's Club
31,#8UUJVVJGQ,jonh,0xfff9c908,28000053,74612,32,BS LEGENDS
32,#QURVLPG,TRB | Ezlivi,0xffff8afb,28000256,74574,33,Humble Grinders
33,#URG2PY00,Zay,0xffffffff,28000333,74507,34,Beyond Alpha
34,#YJP2PGGY,CRISTIAN,0xffcb5aff,28000290,73954,35,Beyond Kratos
35,#9C9CCL08C,Z-Megatron,0xffcb5aff,28000128,73523,36,Cryptic
36,#VG98VPLY,Speed,0xfff9c908,28000291,73394,37,Beyond Alpha
37,#GRRGUPUC,TC |Lwadrian,0xffcb5aff,28000041,73323,38,Allied Exiles
38,#C2CP8YG,∅∅∅∅∅∅∅,0xffffffff,28000038,73290,39,a<c
39,#2ULVLQCYR,IceLuvAsians,0xffcb5aff,28000337,73210,40,Beyond Fresh
40,#2QL90JU0,RavenOf8,0xffff8afb,28000112,72919,41,NA Friends
41,#8Q9U9J8LJ,聪|Roy🏝️,0xff1ba5f5,28000286,72883,42,Beyond Lettuce
42,#QLYJ2RGJ,ɢʀᴏᴍᶜʰᵃᵈง'̀-'́ง,0xfff05637,28000218,72830,43,AE Cosmic
43,#80GPQ2RGP,薙| Juice🧃,0xff4ddba2,28000337,72724,44,Tribe Turkey
44,#C2GPV0V,王 | Potassium,0xffff9727,28000348,72597,45,Beyond Swift
45,#8GU20YC9,YT stabbyduck,0xffffffff,28000095,72456,46,Kiwi Army
46,#8YVPRQU0P,Xen,0xffcb5aff,28000296,72439,47,Beyond Alpha
47,#8UGJ82UL2,AoC|Alex🌷,0xff4ddba2,28000310,72388,48,octos
48,#9UU8GLJY,吹雪前の夕暮れ,0xffff8afb,28000281,72288,49,SpicyTunaRoll
49,#20CJR2P9Y,ㅇㅇㅋ,0xff4ddba2,28000180,72212,50,
50,#G89UGRJY,Xngel🥀Fire,0xffff8afb,28000331,72031,51,The Hearts♥️
51,#9RUG9V8G,EGG | Confidant,0xff1ba5f5,28000056,71837,52,Beyond Alpha
52,#PPVQ9YPV,愛~ConradZ⛯,0xff4ddba2,28000294,71703,53,Spike lovers 💚
53,#PJGGV2Q80,LG | charlz,0xffff8afb,28000244,71596,54,Dog Walkers
54,#QQRYR8JJ,Lana,0xfff05637,28000311,71300,55,Beyond Kratos
55,#2YQCL0L99,xHULKx,0xffcb5aff,28000126,71242,56,Beyond Champs
56,#8YUV9V9YR,༺Iคᴍ༻bipppo<3,0xff1ba5f5,28000331,71210,57,minuta:3
57,#YJUGYR0P0,mary ✰,0xfff9c908,28000249,71187,58,Humble Grinders
58,#290G9LJQG,n☯︎where,0xffff9727,28000261,71139,59,Beyond Alpha
59,#2UV0U0R9,Viau,0xffcb5aff,28000002,71054,60,Beyond Alpha
60,#GVCV9P9Y,Smoov Chocolate,0xffff8afb,28000326,70782,61,Beyond Champs
61,#YGQ2PQP0R,Panda💜Nemesis,0xffcb5aff,28000175,70722,62,B2B|Scorch
62,#PCRQR0R8,AKP,0xffffffff,28000208,70481,63,Super Troopers
63,#P0YCCYPP,AW,0xffcb5aff,28000261,70443,64,Real Ones
64,#2LJRJ2VQ,chelsea,0xff1ba5f5,28000290,70439,65,Beyond Champs
65,#2CJVCG8V,驰|Veloxity ⚡️,0xff1ba5f5,28000018,70437,66,Arctic Blitz
66,#8C8JR0G0,lildev☕️🦦,0xffffce89,28000213,70333,67,I❤️Tree
67,#U8LR2LQL,Ace ꨄ,0xffcb5aff,28000345,70326,68,AE Kraken
68,#8VLJ2YGGG,ChrisDaLobster,0xffff9727,28000244,70268,69,Beyond Kratos
69,#2UP82YLQ,alex 🫧,0xffcb5aff,28000024,70254,70,RicoLover06 ☔️
70,#28Q9VRU8U,『Nico✾,0xffffffff,28000119,70244,71,AE Gravity
71,#9PY9V2UG2,TM|Bax✨,0xffffffff,28000196,70137,72,Eternal Esports
72,#20GLRYC9C,𝐒𝐥𝐚𝐲𝐭𝐨𝐧❦,0xffcb5aff,28000207,70110,73,7 Dwarves
73,#2UVRQQPLP,SGA Jumpy,0xff1ba5f5,28000095,70068,74,VG SGA
74,#VLY0PQQG,(+Wizkid_06 +),0xffcb5aff,28000113,70028,75,Beyond Kratos
75,#2RYQ2G90G,<c9>Max</c>,0xffff9727,28000263,69987,76,Beyond Alpha
76,#RLJ2299Y,cutiekai >.<,0xffcb5aff,28000112,69970,77,DeathWatch
77,#8RPUQQPGR,Croaky,0xffa8e132,28000136,69965,78,👋 🤷‍♂️
78,#29JRVJYYQ,求|King💙beast•ぁ,0xff1ba5f5,28000333,69829,79,Beyond Swift
79,#P2LGLJ29,CMG | Sages2,0xfff9c908,28000118,69555,80,ChasmacGaming
80,#R0PRVCUL,Swarm🩵,0xffffce89,28000018,69548,81,
81,#2CV0P2G8U,ThatBlazinAsian,0xfff9c908,28000263,69502,82,Beyond Champs
82,#2G2Q2PQR,yam,0xffcb5aff,28000310,69404,83,Beyond Kratos
83,#8R0GQ292R,真|Jelly🥀,0xffffffff,28000000,69375,84,HeadShoterZ💣
84,#8LRYLVCPQ,Stratepro,0xffff8afb,28000023,69275,85,Beyond Reality
85,#9RJLPQL,Ηόꭆսꜱ〤,0xfff9c908,28000032,69274,86,pusinig4
86,#VJUQ0Y,LG | Chino,0xff1ba5f5,28000322,69249,87,Havoc Echo
87,#29LCPQJJ,IamBruce_113:),0xffcb5aff,28000256,69243,88,Minecraft PE
88,#2GR9CC8J,謝爾|GhouLz,0xffcb5aff,28000128,69238,89,Beyond Kratos
89,#2YPCQYCG0,Yo Bob da slob,0xffa2e3fe,28000196,69195,90,
90,#CVQ88C8U,caspar,0xffff9727,28000218,69083,91,Beyond Alpha
91,#LRYCL0QV,Baby Kyric,0xfff9c908,28000303,68971,92,7 Dwarves
92,#YGCV20LJ,Im off beans,0xffff8afb,28000097,68912,93,Beyond Kratos
93,#RJ00R9,Vin857,0xff4ddba2,28000170,68790,94,Beyond Champs
94,#2VV0CGJ92,Green🧸,0xffffffff,28000207,68775,95,Lay'dBackNation
95,#UJVCUQGP,Leon Is 🗑,0xffffffff,28000278,68772,96,
96,#YCR899RPU,Asian🥀,0xffa2e3fe,28000177,68669,97,Beyond Kratos
97,#PRJYJY0,Legend,0xffff9727,28000349,68664,98,AE Cosmic
98,#80RQYRPP,Fortizz,0xffffffff,28000018,68649,99,Beyond Champs
99,#28LJR9Q8,EGG|🎀ICHAEL,0xff4ddba2,28000236,68613,100,Beyond Fresh
100,#8GJR2VJJU,kent,0xff4ddba2,28000174,68582,101,ChasmacGaming
101,#2YY8VPUU9,Connor 🐣,0xffffffff,28000299,68561,102,B2B|Inferno
102,#VR2VQ8,GTEEM,0xffffffff,28000017,68559,103,Beyond Reality
103,#2PJYP98P0,murk1,0xffffffff,28000125,68482,104,Ash's Club
104,#99QCYUVPL,MOCHA,0xffa8e132,28000295,68457,105,Beyond Champs
105,#L0VURVGU,IAmNumberFour,0xffff8afb,28000102,68421,106,Ash's Club
106,#UQQPVCR,TSW | Bobbie☦︎︎,0xffffce89,28000302,68373,107,The Brawlfather
107,#9C0V20YPL,Kapp’n,0xffffffff,28000054,68272,108,Brawl Backyard
108,#22JCYLCQ,baus ☃︎♡,0xff1ba5f5,28000176,68260,109,Humble Grinders
109,#UJ0UP288,TRB|BenTimm23,0xffcb5aff,28000112,68213,110,Beyond Alpha
110,#890J9RRP2,多Adán🦆,0xffff8afb,28000256,68202,111,Beyond Kratos
111,#2G8JRCLV8,star,0xff4ddba2,28000284,68175,112,Ash's Club
112,#CGC0RYJC,爱|𝓴𝓲𝓷𝓰💙,0xff1ba5f5,28000061,68169,113,Vitrious Legacy
113,#YPQ290LUP,sheeesh💚alexis,0xff4ddba2,28000090,68129,114,AE Cosmic
114,#8C8RJ9GJ,christine *✧♡°,0xff1ba5f5,28000322,68092,115,Havoc Echo
115,#P2CVCVGQ,Browl man,0xff4ddba2,28000305,68059,116,Turkish Shadow
116,#RCQJPJGG,⚜️Krazy_Kaden⚜️,0xffffffff,28000349,68009,117,Str8 Brawlin
117,#2PJ0JGG02,愛~JulianZ♤,0xffcb5aff,28000335,68008,118,Vitrious Legacy
118,#9QR9YVR8Q,starぁ,0xff1ba5f5,28000184,68001,119,Beyond Alpha
119,#LY9YGYP,I freaked out,0xffcb5aff,28000284,67990,120,Cryptic
120,#8Q2QUV00J,ZM | razuen,0xffa8e132,28000005,67986,121,Dog Walkers
121,#298JJ8YLC,Loremine 💞,0xffffce89,28000303,67967,122,
122,#292RQ9QQJ,ÇRÆŽŸ,0xff1ba5f5,28000229,67964,123,Beyond Alpha
123,#9JQGCVRU,trevor,0xffffffff,28000251,67954,124,Alpha Rush
124,#82PPQ2Y0R,S4nd 🐣💛,0xfff9c908,28000217,67902,125,🚀💫ATS💫🚀
125,#2VYUQUJ22,躾|Zerk 🦋,0xff1ba5f5,28000297,67870,126,Beyond Kratos
126,#P2LCLQ8C,GetGoodKid,0xffa2e3fe,28000291,67838,127,Beyond Kratos
127,#9UCRLVGC8,nat ☾,0xff1ba5f5,28000176,67791,128,Humble Grinders
128,#92GVQP22L,Gord!,0xffffffff,28000136,67773,129,The J/F |TRIBE
129,#2Q0JRUR9,Shuckle,0xff1ba5f5,28000063,67747,130,R7 Alpha
130,#9U9R8UUR8,薇|Cris 🩸🕊️,0xffffffff,28000167,67711,131,Beyond Washed
131,#92GUGGCJ,despacito,0xfff9c908,28000059,67677,132,7 Angels
132,#8GGUCYLCU,jeff ㅤㅤ芯,0xff4ddba2,28000347,67593,133,Humble Grinders
133,#UR0UGQ9,AxE-_RocKinho🌹,0xff4ddba2,28000349,67523,134,AxE Gaming
134,#8LV2Y2V0,Trevor,0xff1ba5f5,28000244,67501,135,DeathWatch
135,#20PLJRJG,🚀SpaceMonkey🍌,0xff4ddba2,28000328,67484,136,Kiwi Army
136,#290L8UVU,raw egg,0xfff9c908,28000095,67316,137,Beyond Reality
137,#CRQJYCRY,Alex,0xffcb5aff,28000335,67311,138,Ash's Club
138,#2QCPVC8Q,Lexity,0xff1ba5f5,28000271,67299,139,Ash's Club
139,#2LQ0RGCRU,AlyanyZ🩵,0xff1ba5f5,28000112,67265,140,Humble Grinders
140,#PPLY8L0V2,SGA Beast,0xff1ba5f5,28000018,67244,141,VG SGA
