,tag,name,nameColor,icon,trophies,rank,club
0,#J8URCRCJ,vxdka :p,0xffff9727,28000095,79640,1,No Mercy
1,#2JLU8PJLV,Einheit|Phil,0xff1ba5f5,28000000,74945,2,LA Global
2,#82LR0JLLP,• Markiㅤ¿?,0xffff8afb,28000294,71361,3,
3,#LJ0VY082,Gutto Mobile,0xffffffff,28000074,70036,4,
4,#9UY9PV89,Tangath Toborn,0xffcb5aff,28000098,66596,5,Tʀᴜᴇ ᴀɴᴅ Fᴀʟsᴇ
5,#CPQQLQY0,ᶠʸᵖMatyツ,0xffffffff,28000000,66239,6,
6,#8RCCGRG2P,MRC | Koru-G,0xffffffff,28000139,65502,7,
7,#PJUVPVQ8,𝕽𝔞𝔣𝔞𝔐𝔬ℜ-愛,0xfff9c908,28000267,65199,8,
8,#ULUCYL8Y,Z1|Lucas,0xffff8afb,28000095,64593,9,No Mercy
9,#9CGURY22R,CalaWala🦀,0xffffffff,28000259,64527,10,Kings United
10,#GCY89PJ9,Zombido|YT,0xffffffff,28000244,64034,11,B T H Alfa
11,#YPUPYQLC9,L↯MP_유신🧢,0xffff9727,28000206,63104,12,KOR|JC-LEAGUE
12,#GVQG8J0R,ShurikenXGR,0xffffffff,28000262,61864,13,Himalaya
13,#29LCJVPLJ,✨DªT🇺🇾,0xff1ba5f5,28000259,61507,14,Time Room⏳
14,#90Q09Q8RR,『ツ ☂︎Maxibs🐣,0xfff9c908,28000199,61104,15,🧀MUSSARELOS 2✨
15,#LURYV9YC2,Gonzalo🦇❤️,0xffffffff,28000334,60574,16,Dark warriors⚔️
16,#GCQLR0Y8,ᴍɪᴄʜᴀ🦇,0xff1ba5f5,28000228,59885,17,●°A M U S°●
17,#PU09P8QU,HeZ.ZoN,0xffff9727,28000284,59808,18,F̶G̶Z̶✨ɢᴀɴɢツ
18,#89VQ9YGQ,Cøpito❄,0xffcb5aff,28000295,58825,19,B T H Alfa
19,#28GVY2QPG,matitomas14☠️⚰️,0xfff9c908,28000233,58530,20,No Mercity
20,#UR8U0Q9,TP|●Berocrono⚛,0xff1ba5f5,28000156,58065,21,A Crew Ready⛄
21,#9P2GGLJY9,TK|Shanks🖤,0xffcb5aff,28000129,58056,22,Criminal Rush
22,#GGJR9GGJ,Gastón¥√,0xffffffff,28000348,57390,23,Top Los Zarnas
