,tag,name,nameColor,icon,trophies,rank,club
0,#8RLQ0RC0P,XFB|LeKenny,0xffffffff,28000018,65306,1,ChillOut
1,#QRR0L8JP,SaLatik🥱,0xffa8e132,28000065,62021,2,Nice for game
2,#9Q800QLGP,worse than u.,0xffffffff,28000221,61988,3,Exclusive
3,#9RUQJQPUG,Tokmon❤️‍🔥,0xffffffff,28000087,61636,4,
4,#2YR2U09LL,Shakh👑,0xfff9c908,28000004,60853,5,ChillOut
5,#P9P2VJL2V,TRM|0L1MCH1K🫠,0xffffffff,28000321,60724,6,Nice for game
6,#YPYPGJQPV,FxDemonGod💚,0xff4ddba2,28000021,60715,7,♠️FLASH ROYAL♠️
7,#8QV8U90CL,[БАН] АРСЛАН,0xfff9c908,28000221,60364,8,<c7>NeOnシ︎</c>
8,#Y0J020GLY,Дина[Майк],0xffffffff,28000203,60283,9,✨️PARADISE✨️
9,#28U0JUCQ9,reali♡︎willed🧚,0xfff9775d,28000065,60228,10,NotForgive
10,#VJCVVP98,生活𝚈𝚞𝚓𝚓𝚒👹,0xffffffff,28000336,60154,11,<c1>Oriole°</c>
11,#90VYGJQQG,mc Xatma,0xffffffff,28000156,59653,12,Nice for game
12,#2GUVGGRJU,shally_bs,0xff1ba5f5,28000334,59123,13,<c6>Axolotl</c>
13,#8CJCQ08QJ,TIM PLAY,0xffcb5aff,28000332,58951,14,Чай с Печеньем
14,#8JPJ8J9U0,QLS|Tony,0xff4ddba2,28000136,58512,15,Nice for game
15,#YYRR9YL2L,dimka k@ka,0xffffffff,28000016,58434,16,The best clan
16,#8R2VGPQ9L,☔Lord|Tiger☔,0xff1ba5f5,28000136,58107,17,Walther Smooth
17,#PRUR2V2RQ,⚜️ShadyMan⚜️,0xffffce89,28000333,57472,18,<c5>HOR</c>IZON
18,#9U99VG8RV,☔anzᴛʜᴇɴᴜʀᴍᴀᴛ☔,0xffff8afb,28000301,57443,19,THENURMAT TEAM
19,#22RJVRYGR,❄BEST GAMER❄,0xffffffff,28000221,57116,20,кибертянки🩸
20,#22PLQVC0U,Ефим,0xfff05637,28000332,56847,21,Skill Squad
21,#YUG2RYJYC,GS | NeliZ 🇹🇷,0xffcb5aff,28000129,56666,22,⭐Star Gang⭐
22,#88VR98JCY,Warrior Ninja,0xffcb5aff,28000129,56665,23,XIII Legion
23,#2PRLPQ90P,RvN | Clown,0xffff9727,28000304,56665,24,<c7>ボRAVENボ</c>
24,#9Y8UCG2LR,washed IceStorm,0xffff8afb,28000296,56487,25,FastAsianKids
25,#LG0QUJV09,brawl,0xffcb5aff,28000156,56480,26,XIII Legion
26,#P8UL0R2JV,Mortis🤍アレクサンダ,0xffffffff,28000233,56341,27,NotForgive
27,#L29L2LLJQ,И т а ч и,0xffff9727,28000213,56269,28,<c1>Oriole°</c>
28,#92RQGC8Y2,🥀GG|fisher🕊️,0xffffffff,28000103,56093,29,<c6>Axolotl</c>
29,#PRLC2282R,YT|BATON,0xffffffff,28000347,55709,30,Хижина Минди❤
30,#P0VQ8G8YU,123,0xfff05637,28000332,55702,31,Brawl Stars
31,#QV9V2G22,NodirGameBrawl.,0xfff9c908,28000332,55573,32,⚡Stiver Team⚡
32,#Y890RQC0,mr.mistick,0xffcb5aff,28000335,55484,33,<c6>pink</c>
33,#2VR8UJUQ9,$KING|64$,0xff4ddba2,28000164,55372,34,Tyma2468
34,#YUUCV2R0Q,●●●●●,0xffffffff,28000272,55356,35,JR|LEGENDS
35,#8PGJLJQLY,b0ng1a,0xfff9c908,28000318,55253,36,🇺🇿UZBEK SILA✊
36,#2VJ0YUV8V,3vs3🔥|Sizamo🧸,0xfff05637,28000321,55135,37,whyliebel🐣
37,#PG0YVJ9LQ,ApeX|Gabby,0xffffffff,28000298,54858,38,<c1>Oriole°</c>
38,#92QVPR0UV,Griezmann,0xffffffff,28000132,54670,39,KB presents
39,#YJJPJYUUY,Behruzboy,0xfff9c908,28000348,54592,40,DS | Dark Souls
40,#8RQL2VRPU,🐙Octopus🐙,0xff4ddba2,28000135,54542,41,From🇺🇦
41,#9V2VL9JV2,Mr.Samowar,0xff4ddba2,28000228,54488,42,
42,#22YVJGPRP,😈TiPoK😈,0xffff9727,28000091,54425,43,<c7>NeOnシ︎</c>
43,#99R082RJC,ᴄʀᴀᴢʏ|ʏᴛ,0xffffce89,28000336,54423,44,Forest Gang
44,#2CYUGLR2V,Ron,0xffffffff,28000335,54391,45,Nice for game
45,#82VQRPQQY,ℤɛŋɛƈƙą🤍掌握,0xffff8afb,28000023,54200,46,<c3>TheBest</c>
46,#PYLY08P8V,🌌NAVI | DIOR☄️,0xffcb5aff,28000349,54106,47,★Art of War★
47,#YG292929C,It's Relax?💔🥺,0xffffffff,28000210,54043,48,⛩️Werh Clan⛩️
48,#GJPQJYV,ᴛᴇккz̽✨,0xffff8afb,28000010,53863,49,
49,#90L09PGL9,iPandaQu❦,0xffffffff,28000106,53766,50,The Goats
50,#L0UJ229P8,ĝ҉ ǻ҉ ӎ҉ ế҉ ʀ,0xfff9775d,28000334,53608,51,ᴅᴀɪʟʏ
51,#2VGQGPJQ8,ダンヤfxlsie🩸,0xffffffff,28000058,53466,52,Nice for game
52,#9VQJCPGQP,Night | DxRK ❦︎,0xffffffff,28000272,53403,53,Legio X Victrix
53,#YV9PC9PLY,[Bad] Niñhai❀,0xffcb5aff,28000176,53311,54,K7
54,#9QU20UR8U,Iᴛ's AsPiᴋᴋᴋ?🖤,0xffcb5aff,28000014,53275,55,⭐Star Gang⭐
55,#8Y8299J8J,solo♡︎rash💗,0xff1ba5f5,28000241,53224,56,whyliebel🐣
56,#82QL2L09R,[AU] Killer,0xff1ba5f5,28000273,53060,57,ORDER OF STONE
57,#8YGPQLU2V,Walker🤍23,0xff1ba5f5,28000348,52872,58,<c0>Nega</c>tiv
58,#L8VL9UJ0R,az,0xfff05637,28000132,52861,59,
59,#LRGY2V0VU,xasan,0xffcb5aff,28000297,52824,60,LIKE Юля
60,#VYU90R0,CoB|Mr.BANDIT,0xffcb5aff,28000159,52817,61,<c3>Killers</c>
61,#P0VP9YYUY,Боец,0xffcb5aff,28000305,52734,62,Galatasaray
62,#Y0LC8C9JY,⛩|Rzm64 🎋,0xffffffff,28000139,52687,63,:)
63,#2CY2RLYUY,Andi☄️,0xffcb5aff,28000048,52670,64,CWI United int.
64,#P8QQLVUP8,[QLS]20M💜💜,0xffa8e132,28000062,52655,65,1st Generation
65,#2VC0U0LGQ,sardor.777,0xffffffff,28000273,52595,66,🇺🇿UZBEK SILA✊
66,#2G2GUGU8C,Искандар,0xffffffff,28000305,52489,67,CH Royale
67,#8VP822JL2,Bukaster,0xffff8afb,28000132,52485,68,The Renaissance
68,#8V2VPLC9,Akula,0xffff8afb,28000305,52430,69,SHARK 🦈 TEAM
69,#8Y9VVY8RY,CRF | krow⚜️,0xffffffff,28000218,52344,70,
70,#Y92P90GRL,Firefox,0xffcb5aff,28000078,52294,71,
71,#L2PYQV00,QLS|MOON🌙✨,0xffcb5aff,28000294,52287,72,Hydronica
72,#8RU8UCCUC,ℛℴ𝓂𝒶𝓃ヅ,0xffa8e132,28000332,52251,73,Space Team
73,#9RQ9GG9CJ,holdik,0xffcb5aff,28000159,52106,74,🇺🇿UZBEK SILA✊
74,#CVUGLV00,NBB|❣️Glow,0xffffffff,28000029,52082,75,House Stark
75,#2098Q89L2,Garmox🪐,0xffffffff,28000080,52044,76,
76,#L2G8LY9J9,尊重|Zipco🦅,0xffff9727,28000263,51962,77,<c7>NeOnシ︎</c>
77,#2PQYL8RY2,joker,0xff1ba5f5,28000175,51944,78,DEMONS PARADISE
78,#PJ0Q0Q22V,[БАН]ПРОКЛЯТЫЙ,0xffffffff,28000233,51918,79,InViNcIbLe
79,#9Q0PUYL8C,UZB__KILLER,0xfff9c908,28000132,51890,80,
80,#8JV92VJ2G,NS|Minas🎩,0xffffffff,28000023,51845,81,
81,#2JV90C0V,Super Star,0xffcb5aff,28000198,51797,82,Uzbekistan 🇺🇿
82,#JYGRGVRP,💫SverXrazum💫,0xffcb5aff,28000207,51764,83,
83,#P8QL2PLRR,shaxzod,0xff1ba5f5,28000271,51760,84,QOZILAR
84,#P2088LU8G,Yt DARK,0xffffffff,28000207,51668,85,WT|Academy
85,#P2JQQYCG9,HarVesss🕷,0xff4ddba2,28000136,51658,86,БАНДИТОС23
86,#29C2JJV80,Sweetness🥱,0xffffffff,28000136,51653,87,Wendetta Sqd♿
87,#9QQUJJ99R,читер777,0xffffffff,28000060,51608,88,LiMoon ChoY
88,#2PGCGUGPP,𝕴𝖒𝖕𝖚𝖑𝖘𝖊,0xff4ddba2,28000099,51598,89,⛰️Друиды⛰️
89,#PRVQ0VY0P,Азиз,0xffffffff,28000333,51579,90,I Lõvê ßs
90,#PCLVV0UUC,ARISTOCRAT,0xffa8e132,28000187,51547,91,RAGE
91,#CLGULCCY,BLACK__DIE,0xfff05637,28000349,51499,92,Simple Uz💙
92,#PUU09RUPQ,🥀Scalec🥀,0xffcb5aff,28000310,51489,93,STq game
93,#2PVLPP0GP,akstar,0xffcb5aff,28000281,51447,94,MechaMegArmy
94,#YLYLV0UJP,Muhammadjon😘,0xffcb5aff,28000305,51275,95,Security ✨
95,#LP22Q20V9,fqowe♡,0xffffffff,28000188,51246,96,One • Time
96,#8UYG29L0Q,BIG | Otash,0xffffffff,28000254,51245,97,⭐Star Gang⭐
97,#89YLU0U8Y,⛩Dᴱˢᵀᴿᴼᵞᴱᴿ🥀,0xffffffff,28000273,51244,98,<c3>TheBest</c>
98,#Q8P9JU,✩✎Kaͥkaͣjͫon♬☂,0xfff9c908,28000170,51185,99,телефон эмз
99,#89V0YLC9V,leee| Æ,0xffcb5aff,28000335,51137,100,
100,#PRYV00288,🍯BS|BEAR🐻,0xff1ba5f5,28000069,51128,101,Kokosik ™
101,#2CC02YUP,Javohir,0xffcb5aff,28000332,51064,102,⚡Stiver Team⚡
102,#PLUGJ9VYV,ℒ𝑜𝓋𝑒𝓁𝓎💖,0xfff05637,28000128,51057,103,
103,#RQP9QP2Q,looox,0xff1ba5f5,28000158,51033,104,Hedgehog
104,#J0VJC092,🔥Art01🔥,0xfff05637,28000318,51001,105,Golden Crow 2
105,#2UR9L0PUC,Дэррил,0xfff9c908,28000341,50987,106,BOBR gaming
106,#P8LCRY89C,Toc|Simple 💔,0xffa2e3fe,28000336,50963,107,Scarlet Agony
107,#9G092J08Y,L. A. Z. I. Z.,0xff1ba5f5,28000335,50953,108,<c6>pink</c>
108,#8G0GRJG9,анубис,0xffcb5aff,28000031,50943,109,🍋Lemon Team🍋
109,#20C2QUQ09,𝓼𝓪𝓷𝓷𝔂ᶜᵒᶜᵒ,0xffa8e132,28000167,50941,110,lively squad💘
110,#8CQ2GVR90,CM|BadBoy 🥀,0xffffffff,28000129,50912,111,Gravity🦋
111,#29JLLR2PL,Death Gun,0xfff9c908,28000348,50899,112,I Lõvê ßs
112,#PCVV8R0YU,ninja,0xfff9775d,28000132,50861,113,LiMoon ChoY
113,#8L90JQV,GraY WolF,0xffffce89,28000345,50854,114,lively squad💘
114,#PP9PP990V,Sonic™,0xffcb5aff,28000290,50853,115,J.J.F CO.
115,#YJVUP0YP9,Humoyun,0xffa2e3fe,28000138,50811,116,Бавовна
116,#YP0C0V089,Uselessᵏⁱᵈシ︎,0xffffffff,28000014,50802,117,Platinum Brawl
117,#PQQG8LRG8,BARSIK,0xffa2e3fe,28000147,50788,118,Tayron team
118,#LL0QRYCYL,XxAzizUwUxX,0xff1ba5f5,28000167,50700,119,Never Give Up
119,#LQRJUR922,UZB|CUBE,0xffffffff,28000019,50670,120,Simple Uz💙
120,#PP8VUR2P0,pRo,0xffcb5aff,28000305,50636,121,KB presents
121,#YCQJPJUGY,SMILE ❤️,0xfff05637,28000331,50532,122,Empire of Robot
122,#LJ909QV8V,Brawler King,0xffff9727,28000014,50494,123,Pro.Gamers.Uzb
123,#20JUYUCU2,♡︎Risolat💔ᵒᵖᵃ♡,0xffff8afb,28000132,50482,124,LiMoon ChoY
124,#2LYG8CCQP,༺Leͥgeͣnͫd༻ᴳᵒᵈ,0xffffffff,28000139,50447,125,телефон эмз
125,#LPGLC0YY2,Тимур,0xff4ddba2,28000317,50442,126,
126,#PCYLV2GLV,+amoral✨🐉,0xffff9727,28000218,50408,127,
127,#8RQQYGRVJ,Like3,0xfff05637,28000320,50400,128,😈ТРЕШЕР😈
128,#82VCQP2JP,$FaizulaTop4ik$,0xffa8e132,28000352,50394,129,Showdown💔
129,#22UGYJR92,🎭ᴷⁱⁿᴳ♡ℝ𝕠𝕞𝕒♡,0xffffffff,28000018,50338,130,<c1>Shot me</c>
130,#P9P2VP8G0,木|NoBiK🖤,0xff1ba5f5,28000179,50334,131,🥀GF|GeForce🥀
131,#98CPJV9JR,HERO🛹,0xffcb5aff,28000262,50320,132,The END
132,#YRY2C0CYR,фаррух,0xffffffff,28000106,50307,133,super✨|star🌠
133,#YQ90V0JL9,N°3_The|Gril's|,0xfff05637,28000132,50306,134,The END
134,#PYLCQJ9GC,I🖤Anime,0xfff9c908,28000061,50306,135,хз
135,#2CRVJ9JR8,[LP] Titan,0xff4ddba2,28000347,50278,136,BRAWL HOUSE
136,#8PY2LCUGL,WINCHESTER♡,0xffff9727,28000341,50251,137,Ezhevika
137,#9U000GVLL,👑RICH🍔GOOD😇,0xff1ba5f5,28000206,50202,138,
138,#YLUQYLYR2,-13•|VîbèZz|不🎋,0xffff8afb,28000139,50159,139,I Lõvê ßs
139,#LU0RR0RUJ,NAVI|LooFY么,0xff1ba5f5,28000352,50152,140,Empire Loofy|❄️
140,#20GJU2CLR,seba989,0xff1ba5f5,28000035,50080,141,Dead Inside zxc
141,#8QCQUVPJY,BMW|Forever,0xffcb5aff,28000129,50072,142,BMW|Forever
142,#99R22J08R,Unohana Queen,0xffcb5aff,28000018,50016,143,
143,#P89PJVQGV,⚔️САША СТАРС🥀,0xfff05637,28000023,50011,144,МодныеСпайкучки
144,#L0R0R8GV9,Python,0xff1ba5f5,28000310,50000,145,Space Team
145,#R09PC8P9,VanDay,0xffff8afb,28000174,49966,146,волейболисты
146,#9UUQC00P8,Артём,0xffcb5aff,28000318,49965,147,трезвый фикус
147,#9RYJR8YVJ,CM|Brawler.,0xffcb5aff,28000297,49902,148,IMAGINE DRAGONS
148,#82209PYG2,NM | Bardak⚡️,0xff4ddba2,28000076,49886,149,пабгир
149,#Y2VVVURCG,CP|DEDLORD😼,0xffcb5aff,28000014,49809,150,Gods of Games🃏
150,#9PV0VJ9GC,Ｅｘｓ ☄️♡,0xffcb5aff,28000303,49795,151,девчуули
151,#9Y8U2PCP0,I LV BIBI GG💋❤,0xfff9c908,28000341,49752,152,Hell wish
152,#8LJY2PV9,『⁴ｘＫｅｋＥｒ⁶』,0xffcb5aff,28000276,49679,153,
153,#2QUUQ999P,Marvel,0xfff05637,28000021,49589,154,♠️FLASH ROYAL♠️
154,#YPLJ28LVY,LeonНовый/Leon,0xffff8afb,28000321,49573,155,Zащитник
155,#99VPYCGQR,TT|samurai-28🥋,0xffffffff,28000081,49530,156,/SAMURAI TOP.1
156,#20V9PQGV9,Phobia,0xffff9727,28000337,49529,157,KRAKEN
157,#9L08QC9V8,_UZB_YUSUF_🥀,0xffcb5aff,28000280,49486,158,Мега клуб
158,#8J9CR80CQ,ŞØĞ|ⓤⓝⓣⓞⓤⓒⓗⓐⓑⓛⓔ,0xffffffff,28000000,49433,159,SC Club
159,#20UJCCJ2C,🍋Lemon4ik🍋,0xffffffff,28000221,49367,160,🇺🇿UZBEK SILA✊
160,#JC9LRPV9,Superior Dav🕸,0xffffffff,28000139,49337,161,Skill>Trophies
161,#L9YVYP9QR,... UZB... YT.,0xfff9c908,28000132,49308,162,LiMoon ChoY
162,#9VR80UJPP,It's Halcón🦅ᥫᩣ,0xff1ba5f5,28000135,49259,163,⭐Star Academy⭐
163,#LLGPRLP0,Lord|TIGER™️,0xffff9727,28000064,49247,164,
164,#9CGRG9Y8G,WF|Almaz💎☔,0xffcb5aff,28000291,49229,165,<c2>Red</c> UA
165,#29VV8VYUL,Али 313,0xff1ba5f5,28000175,49191,166,ЧСС
166,#9LCQQR0Y,✨Sunshine✨,0xffff8afb,28000029,49174,167,ChillOut
167,#PLRV88289,M¤KAMRON,0xfff05637,28000104,49045,168,
168,#8QJUCVC8Y,YT|☪️Catˡᵒᵛᵉ🐈,0xffa2e3fe,28000310,49041,169,
169,#2PCYUURU0,Gamerland❤️Sãdy,0xffcb5aff,28000349,49009,170,VIRUSE X | YT
170,#C8Q8VPGY,⚡ZERO⚡,0xffffffff,28000262,48966,171,WoClanOfRussia
171,#98R8099CY,(ПОТ)ПОЗЗИ,0xffcb5aff,28000129,48948,172,BS|SAM🔥
172,#8QLY9YUV0,BrAvL lIgA YT,0xffcb5aff,28000271,48944,173,BANDANA
173,#PUJPC0U8J,獲|Faͥℓcͣoͫภ🦅,0xffcb5aff,28000332,48871,174,
174,#98QUPVYL8,⛩️sandy🐉,0xffff8afb,28000261,48858,175,Natsukashii
175,#9PPPPLR89,UZBEKISTAN🇺🇿,0xffff9727,28000104,48745,176,🇺🇿UZBEK SILA✊
176,#8UG880CUV,ᴄᴜ | ᴠᴀʙɪᴍxᴀɴ🌙,0xff4ddba2,28000291,48732,177,⚡TORNADO⚡3.0
177,#20LPR8P0V,ib_lord2004,0xfff9c908,28000050,48719,178,MR|TEAM
178,#9LQPUJY,Black Scorpion,0xffa2e3fe,28000207,48708,179,WOLF GAHD😈🤡
179,#8JY9PYYR2,Unskill|Storm🌪,0xffcb5aff,28000350,48704,180,ᴘᴀʟᴀᴅɪɴ's
180,#9CL28PP8Y,Путь Гэйла,0xffcb5aff,28000330,48652,181,BANDANA
181,#2PU9UQGGG,Dawtam,0xffcb5aff,28000284,48608,182,MO TEAM
182,#88PCVY00U,JOKER=),0xffffffff,28000027,48578,183,UZBEKISTAN
183,#LLRYCC0R,讓|⛩️Beast64🥀,0xffcb5aff,28000261,48572,184,A Few Good Week
184,#UQV00Y2J,сарвар 007,0xffcb5aff,28000014,48561,185,Darkside♡︎
185,#YLVPY8GQ8,EDGAR,0xffa2e3fe,28000272,48550,186,
186,#822PLG9LY,Surprise99,0xff1ba5f5,28000332,48533,187,THE AKATSUKI
187,#P2RL8VVUQ,Azizbek,0xffa8e132,28000087,48521,188,Empire Loofy|❄️
188,#PJ8UJ8V0V,DNM|Asadbek🖤,0xfff9c908,28000139,48505,189,dragon breath
189,#P829CLYLL,♤$nt64_,0xffcb5aff,28000004,48492,190,BOBR gaming
190,#9Y00URJU8,sweet♡boy💘,0xffffffff,28000000,48479,191,Holy Trinity
191,#P9CQQ822G,_ShadowPrime_,0xff1ba5f5,28000019,48429,192,Kazahstan🔆
192,#88PVL8QR,[LP]AKJ,0xffcb5aff,28000294,48412,193,<c6>pink</c>
193,#8R9VY80UP,⛩️aͥnͫdyͣ ᵍᵒᵈ💔,0xffcb5aff,28000286,48400,194,
194,#2J0PGUVRQ,Bad×daD,0xffff8afb,28000330,48376,195,Simple Uz💙
195,#9P8G0GUJU,NFS |Lampa Bot,0xffcb5aff,28000332,48347,196,Lord dragon
196,#L00UVRVYR,Хушнуд,0xfff9c908,28000129,48323,197,кингсмены
197,#9JGL9PQQ9,✩✩Abdulloh✩✩,0xfff9c908,28000336,48256,198,девчуули
198,#2RJYU8VJ0,Pirash,0xff1ba5f5,28000023,48254,199,dragon breath
199,#8PJUPYP8J,TOR|Rubchik,0xff1ba5f5,28000271,48210,200,øld_JøRDE_ff
