,tag,name,nameColor,icon,trophies,rank,club
0,#P2QPGUJR9,morris,0xff1ba5f5,28000232,56089,1,<c4>をRAVENを</c>
1,#JQURVUUV,الحمد لله 🌸,0xffffce89,28000132,55655,2,Arab✨Otaku
2,#2Q08JYVCV,Vanutu,0xfff9c908,28000132,52135,3,🇩🇪LEGENDS #3
3,#8982Q22P8,(блет) iskoнчik,0xffffffff,28000151,51129,4,Хата Пипла
4,#PG9CUQ29Q,The Attacker,0xfff9c908,28000175,50920,5,BlackLight#2
5,#G2R8JQPU,писюн123,0xffffffff,28000331,50557,6,elizzi team 🥀
6,#Y0LJVJL9V,MyS|JeTeFest✈️,0xffcb5aff,28000041,50082,7,Brawl Fight
7,#YVGPUCRRR,♧Javohir♧,0xff1ba5f5,28000305,50005,8,🇺🇿UZBEK SILA✊
8,#Y8GU9RUVP,路|david❤️‍🔥,0xffffffff,28000218,49426,9,🌑MoonGang🌑
9,#29VJUU8CC,🔥Emir_430🔥,0xff1ba5f5,28000036,47828,10,
10,#2P8V02C0J,moln,0xffcb5aff,28000156,47732,11,❄️MATES|❄️
11,#PLJ0CGYYU,SK|Anonymous XD,0xffcb5aff,28000330,47668,12,PT Squad
12,#Y9UL22QC,Raph,0xff4ddba2,28000170,46639,13,RiMA's Clan™
13,#VUYGQ0U8,bAnAnA,0xff1ba5f5,28000325,46347,14,Unima IX
14,#9VC0QLCCY,[NK]Killer,0xfff9c908,28000341,44919,15,9в - Дружный Кл
15,#208LGRVL0,[NF]K0Вtop,0xfff9c908,28000184,44844,16,ха ю лук боред
16,#PGJGUPR08,⛩| MrͥSaͣpͫo🥀,0xffffffff,28000272,44714,17,
17,#2CUG988Q0,Smagl |4RK,0xfff9c908,28000156,44609,18,CHURKY
18,#PGCVPQPRV,🥀cryantis🥀,0xffffffff,28000129,44561,19,World United
19,#9L2P28GCR,ZETA⚜ice,0xff1ba5f5,28000139,44367,20,빌런연합
20,#22V9J928U,LEON ABİ 7777,0xfff05637,28000347,44272,21,THE FLASH
21,#PVGQLG0PJ,ㅤㅤ,0xffffffff,28000000,43910,22,
22,#9QJU2Q988,GG|Exclusive 💜,0xff4ddba2,28000176,43565,23,Пусюшички
23,#2U0V98JG9,⛩️落 | ​īŀ𝑠𝒐𝕟,0xfff05637,28000347,43035,24,黑暗 Dark™️Times次
24,#88LQ0LQVJ,cashdog,0xff1ba5f5,28000112,42618,25,austinstoes
25,#8RPG2C0JL,♣️DenisKa♣️,0xff4ddba2,28000086,42561,26,Coconut Freedom
26,#9PYJ0YUPG,kyllian,0xffa2e3fe,28000225,42512,27,HTR|Esport|🗽
27,#8YJUCQL9J,superkmkc,0xffa8e132,28000091,42511,28,kamikaze
28,#28CL2YRGV,liondc12,0xfff9c908,28000124,42281,29,Zoulet
29,#PV9GJLGV0,Hy'~,0xfff05637,28000341,41811,30,GG Fusion
30,#9YL2RC2Q,l'invincible 60,0xffa2e3fe,28000249,41497,31,animaux fous 3
31,#28LCQLVPG,🕋☻︎ɪʟʟᴋᴀ☻︎🕋🏁,0xffcb5aff,28000001,41444,32,Legacy of GENE
32,#8JLGJLGG9,zxcChip,0xffcb5aff,28000305,41406,33,Дикие кабаны
33,#P0R9J099C,Vs | sean,0xffa8e132,28000254,41015,34,TheBlackWizards
34,#8VG0L20QC,FZ | 受賞者 SSTØRM,0xffff9727,28000272,40806,35,Full Zero
35,#8JJL0P0QY,아빠꼬마캐빈,0xffa2e3fe,28000228,40782,36,하이욬ㅋㅋ
36,#LYGLYVUGR,длал,0xff4ddba2,28000055,40262,37,VOVAelite
37,#Y98J88CYC,⛩️|George🥀,0xffff9727,28000156,40165,38,GREEK PRO💚💚
38,#YP9292Q9P,Супер про лега,0xfff9c908,28000078,40075,39,Клуб:  #2C9R82CC9
39,#CVPLUQG9,DI | Loren,0xffcb5aff,28000293,39977,40,Św. Trójca
40,#9RCRQ8V80,Synix-_,0xfff9c908,28000219,39772,41,krynouzi
41,#YQPRVPLQJ,10 Стас 10,0xffcb5aff,28000335,39565,42,Пупсики
42,#9UJ28PRVL,VYK2.0,0xffffffff,28000000,39490,43,SakuraClanッ
43,#J8CU8J2L,BS[SAMURAI]🍷,0xffa2e3fe,28000003,39209,44,Кибер пупсы💪
44,#2YRQ2002R,ɪʀᴜᴛᴏʙʏ,0xffffffff,28000139,39178,45,Раки в Атаке⚔️
45,#8C8G9L0J2,❄️KING❄️,0xffffffff,28000335,39035,46,WARRIOR X
46,#9J0VRL9RU,Tomar753,0xffcb5aff,28000265,38934,47,‘Sadece Türkiye
47,#URRPVPYY,artem,0xfff9c908,28000132,38812,48,⚡🔥MERCILESS🔥⚡
48,#PJU909J9,-Demon raya-,0xffa2e3fe,28000336,38608,49,Depression💔🖤✨
49,#YL9V00CG,он не,0xffff9727,28000229,38586,50,
50,#P9R2L8VCR,GRiZzisT,0xffcb5aff,28000228,38441,51,
51,#CRPJ0YYR,_도치_,0xffff8afb,28000139,38437,52,호스텔
52,#22UPVYUQQ,ManuAutran,0xffcb5aff,28000151,38415,53,Park Caótico
53,#90V9LLPQ9,SrNicolasMello✌,0xffa8e132,28000231,38183,54,ON|BR CHAMPIONS
54,#YRL82L8LY,kop123,0xfff05637,28000023,38101,55,brawl tým sk
55,#89UPG82YC,Chamalot-fox 2,0xffa2e3fe,28000248,37469,56,clan cm25😎
56,#9QLPR2YQG,сыночек,0xffff8afb,28000334,37386,57,❌E B L | GANG❌
57,#2JCJRR2V0,capitaineJordan,0xffa2e3fe,28000061,37363,58,FRIENDLYCAPTAIN
