,tag,name,nameColor,icon,trophies,rank,club
0,#22992CG0G,元Leobardo™,0xffa8e132,28000129,77566,1,7 Dwarves
1,#C2UVJCG,Pacioccolate :D,0xfff9c908,28000009,69393,2,Perro salchicha
2,#228CVVG2C,DunKhaN,0xffcb5aff,28000022,67257,3,Allied Exiles
3,#89Y880RJ9,ZI | Aaronzitoシ,0xff1ba5f5,28000352,66984,4,PECEROS ARMY
4,#2QCVLLGU8,ZI |sWicy❤️,0xff4ddba2,28000187,66464,5,ZoneOfInfinity
5,#82GVCYJY0,Droits,0xffff8afb,28000317,65791,6,LA Crystal
6,#UG8RL0QP,安GeremyP1,0xffff9727,28000018,64913,7,Ø Randoms
7,#LV9UY8Y2,Maxtor_YT,0xffa2e3fe,28000207,64059,8,Beyond Reality
8,#9Y9QU0R2Y,幾乎Nairb❤️C,0xfff9c908,28000341,63496,9,Minecraft PE
9,#299J0V88G,Sout,0xff1ba5f5,28000271,63351,10,ᵀᵉᵃᵐ★IQ★
10,#928L9PJ2Q,UO|Briax🌠,0xff1ba5f5,28000348,62417,11,<c4>Us</c>AsOne
11,#8Y8GGY290,🛡️EL SUMO🌠,0xffff9727,28000338,61066,12,Red eSports
12,#2JCLJL02J,ᴿᵉᵃˡᵍ⁴ Dayll0m,0xff4ddba2,28000097,60174,13,Tᴇᴏᴛɪʜᴜᴀᴄᴀɴ
13,#8UY02Y2QQ,Ancient Warrior,0xffcb5aff,28000302,60007,14,TS| Artic Force
14,#29JJ8LLQ,DM ✯,0xffffffff,28000198,59911,15,ChasmacGaming
15,#2LYPULG28,Javiᴳᵒˡ🦁,0xff1ba5f5,28000179,59843,16,EV Gaming
16,#9QL0RYUUJ,🍥|Daskk,0xffffffff,28000006,59617,17,Bull Chiquito
17,#2RV0Q9GRV,R̸S̸|ALEXツ®🇻🇪,0xfff9c908,28000224,59581,18,Hakai Knights
18,#9VV8PQRU,✨Jake|JG🇰🇷09,0xffffffff,28000156,59539,19,중근나라
19,#U8YLUYLY,Azroox♕,0xffffffff,28000139,59533,20,Abdullandia🇲🇦
20,#89YLJV8JQ,Roon 火,0xffff8afb,28000018,59454,21,Allied Exiles
21,#GC2RRJUR,Røbinђøød,0xffcb5aff,28000262,59163,22,Diamante Elite
22,#PC2UY00U,《LA TERCERA》,0xffffce89,28000014,59027,23,
23,#22C02U2YL,🥱THĒ BĘ$T🥱,0xffcb5aff,28000352,58667,24,Secret ~ Club
24,#8U88PJ0YJ,VirgilioMachete,0xfff9c908,28000175,58572,25,
25,#GU0P8RQC,RED | angel coy,0xffa2e3fe,28000318,58459,26,Red eSports
26,#8RLR2PYQY,ALEX 🇻🇪,0xffa8e132,28000004,58338,27,
27,#8CCVG22QR,ReivaJ☢,0xffffffff,28000076,58322,28,Red eSports
28,#9Y8P2GJ0U,RW| Progiuse_05,0xfff9c908,28000052,57895,29,REAL-WHELLS🔥
29,#2G9Q2YQ8Y,Tony,0xff1ba5f5,28000291,57835,30,TB BULLDOZERS
30,#2CCLRQCRL,Monterazo🍷,0xfff9c908,28000261,57829,31,Brawl Con Limón
