,tag,name,nameColor,icon,trophies,rank,club
0,#PYP2GL9JR,(ST)ВОЛОДЯ🇺🇦,0xffffffff,28000019,56512,1,Regions Team 3
1,#Q2QVRGVG,dan the man,0xfff05637,28000301,54402,2,FTW*
2,#P2C90GUP0,Кабан и банан,0xff1ba5f5,28000225,52758,3,KOSTROMA
3,#20Y8VLUV9,ᵒᵖ|ᴘᴏsᴇɪᴅᴏɴ♡,0xff1ba5f5,28000112,51642,4,Light and Night
4,#2QJQQG898,ISG | JPD 🔮,0xffff9727,28000156,50910,5,we love rabbits
5,#90CQGP202,Entrix,0xfff9775d,28000241,50865,6,☘️|Clover
6,#Y2PG2QUYG,FC*|Anubis|🧸,0xffff8afb,28000349,50256,7,Modesty OP
7,#8L2Y8Q8VC,Anzu,0xffcb5aff,28000138,49492,8,
8,#8YC8U8UCC,alex.cts,0xffcb5aff,28000285,48453,9,OL|Gaming🏜
9,#JLV2G2JR,Rena74,0xffa2e3fe,28000330,46101,10,Kings of Brawl
10,#UUP8PRCY,SL|ADYM KING,0xfff05637,28000004,45852,11,walener
11,#PVVYPLG9L,粉红小内裤,0xfff9775d,28000276,45056,12,"""Good Men"""
12,#2V28P2Q9R,embligue,0xffcb5aff,28000135,44885,13,LFGC
13,#P2JQUPLU0,NaVi |ilyatop💔,0xffcb5aff,28000337,44238,14,God Of Brawl
14,#J8G0P9LL,GX ciccio07,0xfff05637,28000091,43819,15,Italian Friends
15,#9PP99QRYV,Solo💞Finn🦋🌹,0xffffffff,28000210,43430,16,Tacoz
16,#PCU90GG0L,Artemis,0xfff9c908,28000330,43406,17,Band O Brothers
17,#9LR0CQCCL,maxmix[MMA],0xff4ddba2,28000293,43389,18,LEGION_KZ
18,#YPVYLGJC9,RELAX KİLLER,0xff1ba5f5,28000341,43244,19,Pro Kajmacenje
19,#8JC0Y9PV8,shino,0xffcb5aff,28000200,43239,20,FUND.BANANITOS
20,#2CY0VQUQ,炎𝕽ᴇʏ!💜⪼,0xfff05637,28000347,43144,21,CG |CARNAGE GMG
21,#PQCJUJV9Q,NAVI|COLDун,0xff4ddba2,28000132,43071,22,Green Bull's 2
22,#2UYYL2RGG,♫|𝚝𝚞𝚝𝚞𝚛❦,0xffcb5aff,28000196,43066,23,
23,#208L9JCGP,Боец,0xff1ba5f5,28000348,42926,24,правильно мля
24,#2CLU8QVQV,❄️ICE|GaMeR❄️,0xff1ba5f5,28000277,42886,25,
25,#99G2YJ8C0,*****,0xff1ba5f5,28000011,42870,26,
