,tag,name,nameColor,icon,trophies,rank,club
0,#92PYV2GJ8,SK|$akury🥀,0xff1ba5f5,28000135,57345,1,
1,#PCUQCQGCP,Leon,0xffa8e132,28000206,55930,2,Dark Of Mether
2,#QUP9VQY,⛩|Asaad🥀,0xfff05637,28000309,55637,3,Snow eSports
3,#2UC0RUP0R,kykyryzo4ka,0xffa8e132,28000210,54885,4,Hydronica
4,#2UVLYYQ,0G|AtomisRascal,0xfff05637,28000273,54841,5,vackin
5,#2PJV9QG2,✞ZΞUS™✞,0xff1ba5f5,28000132,54442,6,
6,#JVQVVQQ,TTM|M4H💚,0xffffffff,28000140,54002,7,No-Limit
7,#9UQGGPLYR,ふぇりっくす🍃🎋,0xfff9c908,28000341,53580,8,SD♡♪
8,#P2CV0Y20R,GT | lappque,0xffffffff,28000140,52392,9,Full_CONTROL
9,#QL0CQYRY,🇹🇳MBF-007🇹🇳,0xffcb5aff,28000282,51860,10,Tunisian Stars
10,#2G8P8C00J,Leon,0xffffffff,28000071,51815,11,Forza™
11,#9YP9PQ82Q,Profi Piper,0xffcb5aff,28000023,51523,12,HOME OF CARRY
12,#P22VJUVVJ,𝓝𝓪𝓸𝓶𝓲🌺,0xffff8afb,28000333,51326,13,Goliathus💫
13,#PCQJC8LLP,~∆•Ⱥʂunⱥ•∆~,0xffff9727,28000104,51093,14,BrawlConPollo
14,#QVCPJP9Q,T1LTPR0BL3M,0xffff8afb,28000101,50902,15,New Horizon
15,#2JPVRQCCR,☆SF|Misha☆,0xffff9727,28000233,50754,16,Ukraine
16,#8JJ9809R8,ЗУБЕНКО МИХАИЛ,0xff1ba5f5,28000238,50421,17,Furious Faces
17,#28UQYC29,🤍|melanieˣ₊✮,0xfff9c908,28000221,49960,18,we destroy moms
18,#CL0UJQVL,⚡|Ꭾիѻєɳıẋ❤乂,0xffffffff,28000047,49940,19,☆La Titambeau☆
19,#929QJLUJG,Puch 50k,0xffcb5aff,28000207,49922,20,
20,#P88PY088V,R. I. P,0xffcb5aff,28000002,49737,21,Rolles
21,#2UCYPC20C,⚔️Leͥgeͣnͫdᴳᵒᵈ⚔,0xfff05637,28000349,49457,22,Antax
22,#92VG80LC0,NaVi | NeVer,0xffff9727,28000132,49226,23,University 🪐
23,#928UG2JV9,Carlossvq,0xff1ba5f5,28000296,48766,24,BARBA BLANCA🔱
24,#RYJVG8GL,ХАН В СОЛО,0xffcb5aff,28000142,48764,25,
25,#PJG20P2GU,CM/Hugo💗,0xffff9727,28000170,48205,26,NarvaBack
26,#2RUJ82V08,NAVI |Staitey,0xffa2e3fe,28000148,48111,27,imperial/smail
27,#208PQLVLQ,MEFISTOPOL’,0xffffce89,28000263,47996,28,STAR OF THE GOD
28,#88YG2G8QL,LMA |brunom,0xfff9c908,28000103,47141,29,ActiveClub
29,#YJUGVJY,IDK.2,0xfff9c908,28000285,47128,30,Electro TEAM
30,#8VYLQPJ2L,ANF|FUFU,0xffcb5aff,28000300,47004,31,Brawler Andaluz
31,#PYJCPVRC,maitre_YODA,0xffa2e3fe,28000061,46671,32,LZ | Les ZérØs
32,#98QR22C98,×_Winston_×,0xffa2e3fe,28000000,46562,33,Born⛩to☘️Win
33,#8CL0UQYQR,QLS voludo123,0xffff9727,28000123,46517,34,Anti shaudown
34,#PPURVQRQ9,🌋ESTEBAN🌊,0xff4ddba2,28000140,46361,35,Illuminate ✨
35,#CVQJ0PV,Eezee,0xffff8afb,28000220,46342,36,Akatsuki☁️
36,#CY0JPCLU,Wojtek,0xffcb5aff,28000163,46230,37,Poland Energy™
37,#8UCYJLR2Q,ELKING,0xff1ba5f5,28000310,45915,38,Shippudeangu
38,#2GG0QC9QU,Werewolf,0xff1ba5f5,28000175,45816,39,Russia teams❤️‍
39,#2QVPP8JG2,ほ|ᴇʀᴡɪɪᴄ,0xffff9727,28000348,45644,40,TeamNocturno
40,#8U28099CG,Rian Levi,0xfff9c908,28000347,45489,41,BrawlNation🇵🇹
41,#990U2UQ22,$$$,0xffffffff,28000000,45470,42,КЛАН МОРТИСОВ
42,#89QCG8YQ0,❄️COOLDIK❄️,0xff1ba5f5,28000297,45374,43,ZETA DIVISION
43,#Y09G0L9CJ,♫︎Bᴇᴋᴀˡᵒᵛᵉʸᵒᵘシ︎,0xff1ba5f5,28000273,45366,44,ELITE PLAYERS
44,#2LGLY8008,Tornado|最後☔,0xfff05637,28000255,45198,45,QuerFast
45,#89GG9LP0L,乂|ⁱᵃᵐTutanᴳᵒᵈツ,0xffa2e3fe,28000303,45141,46,𝙱ʟᴀᴄᴋᶠⁱʳᵉ🇮🇹
46,#2URY9Y88P,mi,0xffcb5aff,28000224,44815,47,Les Calamars 🦑
47,#2LYL902J,Na︎︎or|23🃏,0xffcb5aff,28000294,44589,48,Tribe Israel
48,#8PJ2JGYG8,Lord Fuego,0xfff05637,28000132,44560,49,<c5>XI <c<c</c>
49,#82VQYC9CJ,Henki|♡,0xff4ddba2,28000016,44522,50,The One
50,#2U99YVV88,🥀Møŕţiś⛩😈,0xfff05637,28000135,44511,51,World Galaxy
51,#8QPRQ80VJ,ims,0xff1ba5f5,28000175,44493,52,Talents Esports
52,#Y29290L9Q,GaMe MaStEr,0xfff05637,28000207,44343,53,💜Shadow_GGs💜
