,tag,name,nameColor,icon,trophies,rank,club
0,#P9LJP9JY0,GOD,0xff1ba5f5,28000305,58288,1,Nexus🪐
1,#902UVP0CJ,ketoupa🦉,0xffa8e132,28000216,52221,2,Union Française
2,#2V0G08QVV,♡Suzumu乂才一,0xffa8e132,28000014,51631,3,ETERNAL FLAME
3,#Y2CYP809,RR | T̸rav͎a🐣,0xffcb5aff,28000349,51114,4,Reply Totem HU
4,#P99UCJPLY,QLH|ASPE,0xff1ba5f5,28000134,50039,5,TRD|TanaDiPingu
5,#9Y9909Y9J,𝖒𝖆𝖒𝖆🦇,0xffcb5aff,28000033,50018,6,PAPACLAN
6,#8YYR8JLGV,COB | Jojo 🦈,0xffa2e3fe,28000291,49782,7,O.G<c4>ᴳᴬᴺᴳ</c>
7,#PQ2LYJGGL,アイスクリーム,0xffffffff,28000151,49520,8,ビールジョッキニキ🍺
8,#UUQ8UCV2,FART_96,0xfff9c908,28000211,48179,9,Pyk | Team
9,#9V8R2V8P9,メ| NeverDies个🔥,0xffffffff,28000207,47650,10,HowToDoPL II
10,#8YV98Y8GQ,TTM|ᴳᵒᵈVale,0xffa8e132,28000140,47455,11,Anime Italia
11,#LPJ9UCYQP,Lucie❤️,0xffffffff,28000352,47418,12,NK|Supɾeɱɑcʮ
12,#99UJVJ20G,Luki 1.0.,0xff1ba5f5,28000000,46386,13,NoOneLikesYou
13,#PU82Q2RJJ,Mattiz,0xffffffff,28000278,45727,14,WEZE|Team
14,#2C28U8JUR,TWIzZz69,0xffff8afb,28000297,45689,15,🌚|Night|🌝
15,#Y02CRYJLY,Volg🥀,0xfff9c908,28000202,45642,16,🦋friends 🍀
16,#LYPVLRG8U,♕︎Axilleas•ᵍᵒᵈ♕,0xfff9c908,28000341,44789,17,Greek Dragons🀄
17,#PJ2PJQJ0V,ParͥPaͣrͫPlaψz,0xff1ba5f5,28000312,44543,18,Hidden Cloud
18,#2CPG09RRV,Kitogave love,0xffcb5aff,28000335,44345,19,BEST BRO EVER
19,#8JUYGC8VP,ЯЯичко (:,0xffffffff,28000031,44332,20,
20,#88JYQYCUL,Кв1зми [YT],0xffff8afb,28000220,44027,21,winter curse
21,#PRJQ9UPV,Benny,0xffa2e3fe,28000332,43719,22,Ruhrpott 🏞
22,#9UV0UGG2,GGT|Rᴀɪᴢʏ♡,0xff4ddba2,28000333,43476,23,⚡Медведи ⚡
23,#2LJ2UPLGU,TunarPro,0xffffffff,28000003,43328,24,Masher Esport
24,#9C0R2998Q,DD | DAWID102,0xfff9c908,28000139,43262,25,Klubik Olisia❤
25,#2PJ92989Q,BRAVLER.EXE.,0xffa2e3fe,28000322,43117,26,👑SQUAD 👑
26,#82J8QLY8,İCE❄️|EGE,0xffa2e3fe,28000079,42927,27,KARAKUZ™
27,#8GV0GQG8Q,Shadow,0xffa2e3fe,28000129,42856,28,BrawLstaRs toP
28,#2P20L2L2R,🌊|Falshy,0xff1ba5f5,28000200,42837,29,le carrefour 🌍
29,#PUYGCJR0P,NAVI|MMA,0xffa2e3fe,28000132,42812,30,ЗСУ
30,#2JYJL9VRR,NC | 3rKaN,0xff1ba5f5,28000092,42767,31,Eternal/ Venus
31,#9GG9GLVU0,dancul,0xffa8e132,28000341,42378,32,popopo
32,#820J9U2PR,[ТОП]Дем‘ян,0xffcb5aff,28000290,42363,33,House Smyzzzi❤️
33,#LCV29J9VJ,wyattking,0xffa2e3fe,28000226,42171,34,R.M👑💍
34,#8PVRURCPV,banger,0xffff9727,28000203,41871,35,Etti💫EmzBS
35,#8GYP0QG9Q,tom,0xfff9c908,28000347,41541,36,KOLCE SPAJKA
36,#YV9R2YG8J,Lͥ oͣ tͫo࿓,0xffa2e3fe,28000018,41455,37,French Brawl
37,#9Y999Y2JG,℞𝒾ﾒe𝓁ᴳᵒᵈ🔥,0xff4ddba2,28000277,41330,38,
38,#2V2CC20L,slave94,0xfff9c908,28000286,41169,39,
39,#RGRG2YJC,El costo,0xff1ba5f5,28000164,41146,40,les 602
40,#92CYQG9P,DaDaFlix,0xff4ddba2,28000204,41104,41,Клуб:  #2RGY9RYUP
41,#2Y909LU88,GA|Sky Cary Me☔,0xfff05637,28000074,41055,42,SDD💥PUSH
42,#80P8Q92J,SM|StarColt,0xff1ba5f5,28000170,41052,43,8A SP396
43,#9RQGLJ902,PT| Nie,0xfff05637,28000294,40862,44,pl3mn1k
44,#2C988GLRC,😝QLS MatiPro😝,0xffcb5aff,28000271,40623,45,
45,#2Q2PR8J2U,⚔️Šâñêk⚡️不到⚡️,0xffa2e3fe,28000076,40575,46,burger
46,#QQ9YYG9P,ДаЙтЕ СэНдИ,0xff1ba5f5,28000011,40528,47,Risen Souls
47,#2RY99RQU9,Funnyシ︎,0xffffce89,28000277,40473,48,Borówkowe Liski
48,#PCUV2GU9Q,[s2%King0.5,0xffffffff,28000091,40458,49,Team Ukraine
49,#9VQ22V99V,UFC 95,0xff1ba5f5,28000132,40220,50,Dark Smile |DS|
50,#9R2VQ02UY,Dominik,0xfff05637,28000027,40210,51,Skra Warszawa R
51,#99GJYPJ0Y,бегемот 257,0xffcb5aff,28000116,40179,52,Это щд братик
