,tag,name,nameColor,icon,trophies,rank,club
0,#99V88UU2,in my mind,0xff1ba5f5,28000271,66862,1,Junk & Co
1,#9G229RG8Y,✬ℒ𝒶𝓇𝓈𓃔✬,0xffcb5aff,28000308,63197,2,A Few Good Men
2,#29PRYGPRU,Eyad,0xffffffff,28000168,59620,3,ههه.
3,#YR8JUYUVL,M.R.فتاك⚡,0xffcb5aff,28000129,59584,4,Gaming Station
4,#8RVCCCCCL,Pshnm🤎Lもっと .,0xffffffff,28000036,57178,5,Amore💘EU
5,#9288CPJ29,ابراهيم علي,0xff1ba5f5,28000076,56689,6,Gaming Station
6,#202U9R9YQ,aspektorスター👅,0xffffffff,28000139,55661,7,
7,#Q809G8CY,мистер про не,0xffffffff,28000291,55505,8,Lord dragon
8,#8VJPPQRJ,ahmed,0xffcb5aff,28000129,54961,9,X'LENGENDS ☣️
9,#YY8RGCGC9,•GOLD|İBRAHİM🥀,0xfff05637,28000256,54071,10,PROLARR
10,#2RV0VULR,M+A,0xffa2e3fe,28000349,53571,11,اساطير العرب
11,#29QLPYPJU,FakeOJ,0xffff9727,28000305,53031,12,Dominant UK
12,#9JJG8Q90V,Maxx,0xffff8afb,28000023,52808,13,Дружная банда
13,#PQGYULJGU,JHONSTICK,0xffcb5aff,28000318,52353,14,🦋🌝
14,#UJULUQU8,是|𝖉𝖊𝖐𝖚❦,0xff1ba5f5,28000349,52351,15,Ace❦𝓜𝓲𝓼𝓼⋆
15,#P0P02QG2,The Scorpion ₩,0xfff9c908,28000137,51620,16,
16,#8VCCUCYV8,😎Бомж🤬,0xff1ba5f5,28000207,50630,17,SHARK 🦈 TEAM
17,#QU829CC,Mohammed,0xff1ba5f5,28000129,50449,18,X'LENGENDS ☣️
18,#8YPYP9URC,ΙτΖ_ΗαΞιΚ,0xffffffff,28000067,50338,19,TeamBr
19,#2ULCVY99V,Sad|💥FrEeZ💥,0xffa8e132,28000140,50325,20,Clash Ru§§ia
20,#9P28RRCJ2,Mada,0xff1ba5f5,28000222,50171,21,🌹🌹🌹
21,#YYPY2JCRQ,ЖЖЖ|ŤẸŇŤÃČĮỖŇ,0xffffffff,28000258,50119,22,
22,#2L99YV,×͜× ᴄ͢͢͢ʀɪᴍ★࿐,0xffff9727,28000280,49921,23,notdogwater
23,#2U8PPQJ2G,•RG̶|RᴀZᴠAɴ⸙,0xfff05637,28000298,49908,24,Tribe Moldova
24,#2P0LVL9V,SS |ドラゴン•,0xff4ddba2,28000140,49825,25,Dovahkiins
25,#8QRCVP9V9,Raok,0xfff9775d,28000087,49769,26,اساطير العرب
26,#2Y9JJ89CU,top crazy,0xffa2e3fe,28000276,49481,27,« Top crazy » ★
27,#82UPLG8QV,الاسطورة,0xffffffff,28000276,49352,28,EGYPT ABOVE ALL
28,#8PYPJJC0L,☜☆☞₦€rѻ🖤∂₳r₭☜☆,0xfff05637,28000347,49093,29,اساطير العرب
29,#Q02YJJGU,Shanx Aiman🗡️,0xffcb5aff,28000221,48637,30,Lagege
30,#Y00222VG9,🖤T1kT0k🖤,0xffcb5aff,28000347,48441,31,g@y club
31,#P08RR2YC0,ДЕНИС,0xffa2e3fe,28000330,48283,32,BS Family 2.0
32,#2VCUP0R,KING MOHAMMED,0xfff05637,28000305,48160,33,Lagege
33,#8URUPLQLG,Lil Nas X,0xffffffff,28000221,47527,34,The panas ✨
34,#2JCGQ08YR,ŘΔ₣ŦŘΔЖǤǤ,0xfff05637,28000130,47167,35,BrawlAmerica 🌎
35,#20VCLCLPR,Qweerenai,0xffff8afb,28000132,47055,36,[СЕМЬЯ ЮТУБЕРА]
36,#2U9YVQQUL,Железный челове,0xfff9c908,28000348,47049,37,Kanapa G
37,#PL98YY0C8,элегант,0xff4ddba2,28000253,47033,38,
38,#9PURCYQR2,SALEH ALMUFAZER,0xffcb5aff,28000349,47021,39,Eagle Fang BS
39,#9JJ0QRU,གM༜A༜D࿂A༜R༜Aཫ,0xffa2e3fe,28000305,46971,40,Lagege
40,#RJPPGPGL,Sam,0xffcb5aff,28000165,46872,41,ST|GoodPlayer❤️
41,#90VVQCP02,🐼𝖑𝖆𝖚𝖌𝖍🥀,0xffcb5aff,28000038,46749,42,CSGOWIN. GG
42,#8990JP0PV,MTS | Faliss💘,0xff1ba5f5,28000136,46545,43,Rebirth Knights
43,#89LC9LR0J,zt/عزت نهشل,0xffcb5aff,28000138,46298,44,DK | KING 👑🔥
44,#8CR9GU809,|LP SaMuRa⚠|,0xfff9c908,28000132,46105,45,Brawl Stars
45,#80QYLULL0,qls_N1CE🍌,0xff4ddba2,28000273,46051,46,
46,#82GPYV0LL,IUDEX_LXIX,0xffffffff,28000049,45740,47,JTR
47,#PQQ2Q82Y9,ÜMİDİ,0xfff05637,28000295,45557,48,
48,#Y2L9Y0Y2,MoHammEd(눈‸눈),0xffff8afb,28000256,45433,49,اساطير العرب
49,#2LVJUG82P,lion x,0xffff8afb,28000222,45215,50,SECT|X
50,#JRLUVGYG,Fettsack TV,0xfff9c908,28000347,45100,51,HB is back🥶
51,#928Q2LGQP,lolipopilol,0xffff9727,28000096,45044,52,ACCADEMY 2
52,#J0GP8U98,♤♡◇♧Q.T.M♧◇♡♤,0xffffce89,28000218,45007,53,The Icy Tribe 3
53,#RRVUY9YG,lypex-_-,0xff1ba5f5,28000284,44807,54,RESURRECTIONS
