,tag,name,nameColor,icon,trophies,rank,club
0,#9U29PGYYL,DEADLOCKED,0xfff05637,28000308,62356,1,Ꝉҽʂ ҠìӀӀҽɾʂ ™💣
1,#29U909CYC,愛~BerenZ❖,0xffff9727,28000132,61359,2,
2,#Y8GV2JGYP,про,0xffa2e3fe,28000305,60000,3,Night Teaming🌃
3,#89YUYQGYY,運ɱคyѕคッ,0xffff9727,28000303,59699,4,★SᴛᴀʀPʟᴀʏᴇʀs★
4,#LC2CC20U,TRB|•ʟɪɢʜᴛシ︎,0xfff05637,28000138,58668,5,BS Immortals
5,#2YJ8829Q,kdv_20,0xfff05637,28000249,57391,6,nkB
6,#8JRGJYQP0,ⁱ ᵃᵐ𝕍𝕃Ⓐ︎𝔻ツ,0xffffffff,28000256,56889,7,<c0>Last</c>Wis
7,#8PPCYG2JP,MeGatRoN,0xffff9727,28000290,56567,8,LES P4MANS
8,#8YYCP82P8,Code: CryingMan,0xff1ba5f5,28000334,55673,9,VLG Cursed🥀
9,#J0UVRYGJ,CatsxDogs,0xff1ba5f5,28000129,55305,10,VoLoPaS
10,#P2JYU898V,D.A.C.H,0xffff9727,28000095,54780,11,🛸🔥xCrêativê💫
11,#YRLRQVVQ9,chiki🐣💛,0xfff9c908,28000280,54110,12,Fornais
12,#9GR2809C,𝚛𝚎𝚚𝚘𝚊,0xffffffff,28000241,53928,13,Капибарычи🐻
13,#9Y92QU8YG,ET | Aurora,0xffa2e3fe,28000262,53870,14,BlackLight
14,#9CYC9PGRL,Putzy🛐🖤,0xfff05637,28000255,53773,15,SpectralBlade🕷
15,#8JL2RYYVY,⚜️СоБаКа МоТя⚜️,0xffff9727,28000059,53340,16,LEGION🎴LEGEND
16,#82UGJY2RV,🦋tralala♫,0xffff8afb,28000220,52991,17,<c7>NeOnシ</c>
17,#998LVVUQR,CAXARO4EK,0xffa2e3fe,28000256,52670,18,Brawl's Elite
18,#9C8JLPY9L,⚙️ItzRøBøT⚙️,0xffcb5aff,28000158,52178,19,
19,#9C2R902RY,не везучий Ак,0xffffffff,28000106,52169,20,D1Slocations
20,#20GQURQYQ,CowBoy,0xff1ba5f5,28000296,52037,21,NAS WAY
21,#8L0QCRJ2Y,GVX|KRYSTAlll🥀,0xffff8afb,28000262,51469,22,Eclipse 🌒
22,#Y89VLJ928,PRO NEONEK,0xffa8e132,28000330,51407,23,Sparta Biszcza
23,#YYYU8LU9P,amerouzzz 💫,0xffff8afb,28000333,51229,24,Warm Mafia
24,#UL9RJGP,DANIEL,0xfff05637,28000097,51216,25,LeYeNda-Arg
25,#PLUG0PVPG,🇻🇳LinhJ|KDA🎋,0xfff9c908,28000006,50983,26,WARRIOR
26,#280YLV9CJ,ӄσƶɦᴇG~,0xffa8e132,28000101,50917,27,Army Of 300 II
27,#GV80LVVL,Donovanpro27,0xfff9c908,28000007,50884,28,Mafia Brawl
28,#LLQU0890C,It's♡Grinev❦,0xfff9c908,28000272,50756,29,
29,#2CGGJ2LJC,🦊ζ͜͡Zain ™,0xffcb5aff,28000281,50564,30,Die Tafelrunde3
30,#JYP8CJCP,Fairfox|GG💥,0xfff05637,28000132,50512,31,Новая надежда
31,#9RLV8PJ00,⛩️| ŴÏĶȚÖŖ🥀,0xff1ba5f5,28000271,50464,32,
32,#Y8G8LRRRL,νθrեΞχ |༄🌪,0xff1ba5f5,28000175,50201,33,Vortex’s squad.
33,#9JQCL908P,♤The Jayms♤,0xfff9c908,28000272,50189,34,Mystery Killers
34,#PYCPJJQ2J,tyty,0xff1ba5f5,28000062,50143,35,The Way Back 🦅
35,#9CYV00JP0,しーずー,0xff4ddba2,28000151,50065,36,エメハン高校
36,#RPVUR8G2,KRG🔥|OP EREN🔥,0xffffffff,28000014,50000,37,Mr.Yanıks
37,#P92V280G2,[₳Ʉ]₵₳₱VɆ₦Ʉ₥🐥,0xffa2e3fe,28000104,49791,38,خودمونى
38,#PQ9G8VYR0,SuckY0mudd4,0xfff05637,28000248,49680,39,AMG TEAM II
39,#P808PV88Y,あ|𝕬𝖉𝖗𝖎🐉,0xffa8e132,28000184,49631,40,eduardos
40,#LYUYLPC8,Hyra,0xffff9727,28000286,49568,41,TRZ-Clan
41,#PUPCRLGQP,манкаа0,0xff1ba5f5,28000220,49426,42,Hell Life
42,#2YUYVYLV,⛩|WYATT⚡,0xfff05637,28000078,49413,43,TIKTOK HISO🦊
43,#PRVC9G9GL,SY|꧁♛𝑀𝒜𝒯𝒯♛꧂,0xffcb5aff,28000349,49403,44,THE MASTERS
44,#PY82R0L0L,lâm,0xff1ba5f5,28000347,49338,45,Mix & Mingle
45,#2CGG8C80Q,❤️Dropik❤️,0xffff9727,28000029,49064,46,4СВ1
46,#98VCVJJR2,INEVITABLE♤,0xff4ddba2,28000037,48999,47,Paquetes Rachit
47,#2VCGJPU2C,ぷち,0xffcb5aff,28000232,48963,48,あっきーのお家
48,#L92PPCVV9,€hrispro,0xffcb5aff,28000321,48922,49,Le club FR 🇫🇷
49,#2VR0YVPRC,pupok46,0xff1ba5f5,28000000,48901,50,
50,#2YJG02JU9,[AU](gop)stop,0xffa8e132,28000076,48422,51,TikTok_House
51,#98UCUV0Q2,путь к леге,0xffa8e132,28000310,48344,52,кусочек хлебушк
52,#C99CVYLY,STR|BaZz,0xffa2e3fe,28000179,48326,53,IMAGINE DRAGONS
53,#2UPLPU9C0,☆♡J●€♤L♤♡◇♧¥☆■◇,0xffff8afb,28000291,48177,54,Clash of Rice
54,#2LLLGVGYG,다이아고수,0xffa2e3fe,28000061,47882,55,KOREA초딩
55,#2LQVUV22Q,Groovz🪐,0xffffffff,28000211,47768,56,<c5>D</c>awn
56,#2C9Y9QG89,🥀rzm64☄,0xffa2e3fe,28000096,47760,57,[GUN-FIGHTERS]
57,#89QUCPPCG,Toxic|Super🥱,0xffffffff,28000349,47710,58,Legend
58,#P9J98R28,TK|STITI🌪🔥,0xffffffff,28000262,47666,59,Empire
59,#9JUJL8YUQ,sulivan,0xff1ba5f5,28000150,47658,60,
60,#GU02CP0C,𝗦𝗶𝗲𝟳𝗲,0xfff9775d,28000182,47631,61,Seretei
61,#YJVL0CL22,☠️Samir☠️,0xffffffff,28000207,47426,62,die Wikinger
62,#8GJCVUGLG,MTM|MATHIS|PSG,0xfff05637,28000352,47383,63,les tryhardeur
63,#8JJV29CJY,ya Twizixyyy,0xffcb5aff,28000182,47345,64,
64,#88GVVVQP,ultimate champ,0xff1ba5f5,28000255,47307,65,Toxic_x_SweatZz
65,#9QL0YCL9C,Thomas,0xfff9c908,28000068,47293,66,
66,#8PU9URG88,Dragen bot,0xffcb5aff,28000225,47291,67,Brawl Empire
67,#9PLQLUL8,AQM|ғɪᴇʀ💸,0xffffffff,28000132,47252,68,Пустота
68,#2G9JCCR2V,彡she夢が叶うません彡,0xff1ba5f5,28000139,47217,69,not
69,#PVRC02CR2,ПУТЬ МОРТИСА,0xff1ba5f5,28000290,47173,70,black Lightning
70,#88CUQPYV2,muhaddesse,0xff1ba5f5,28000175,47160,71,Mᴏᴏɴ🌜
71,#82028VU0P,drami,0xffcb5aff,28000255,47087,72,MTZ | GAMERS
72,#8LYR0RGYL,Digo999999,0xffffffff,28000305,47022,73,Øctober
73,#2LUCPV20C,𝔽𝔸 |W𝕚𝕥𝕔H♡,0xffa2e3fe,28000139,46998,74,Fesa Sta🧿
74,#GGRRRYPU,лава,0xffff8afb,28000293,46933,75,💶EURO💶
75,#Y0VP8Q8JY,🥀A̶r̶s̶i̶k̶🥀,0xffcb5aff,28000129,46909,76,✨woltik ¦TT ✨
76,#9CRQ88PR8,THE KING,0xff1ba5f5,28000182,46827,77,LangeFrikandel
77,#2CU0R8RCL,☘️CLEVER☘️,0xffa8e132,28000341,46769,78,Едгарстан💜
78,#9GYUGCR0Y,DC |Tiger,0xffa2e3fe,28000349,46752,79,Fire_bs TV
79,#PGGV29GLR,Ø͓̽p͓̽Ɇ₮Ⱨ₳₦㊗,0xffffce89,28000262,46715,80,BS Prestige
80,#YC80GLUU,DⱫ|𝔹ᖇO҈🕊️,0xfff05637,28000011,46667,81,最好DarknessᴳᵒᵈⱫ
81,#JY9PLPRQ,lauchi❤️‍🔥Magi,0xffff8afb,28000294,46597,82,
82,#9UG9QQLQY,YGT |³¹JOKER🌑,0xffcb5aff,28000156,46593,83,Turkısh Stars🌟
83,#9UCRQPRPP,QLS|colett:&&✅,0xffcb5aff,28000226,46515,84,
84,#22P2QJY9Q,dekudv23,0xffcb5aff,28000345,46480,85,🪐Supernova🪐
85,#8CCY2CUPU,ВЕЗУНЧИК,0xfff05637,28000081,46457,86,
86,#8898QUQ2J,BD|lenny,0xffcb5aff,28000332,46376,87,les bg !!!
87,#PUVLP9CVU,Mortisツ ᴷⁱˡˡᵧₒᵤ,0xffffffff,28000036,46364,88,FÜH|FİGHTERS
88,#2GCJ8LP2V,Gnoi,0xffff9727,28000280,46363,89,Ананд
89,#8P2QUVUQR,фантом⚡,0xffcb5aff,28000335,46312,90,🥀Topaz Team🥀
90,#PUJ28GJ2J,[LP] Collection,0xff1ba5f5,28000129,46282,91,norookiesalowed
91,#2URVUYLRP,QLS|LEON^_^,0xff1ba5f5,28000196,46165,92,CODEMADGIC_UA
92,#PL8QCQ2Y,super_luk_,0xffff9727,28000347,46158,93,<c9>BSLIME</c>
93,#8RRVYLPP0,Alex Poluha,0xfff9c908,28000301,46065,94,KOTMS
94,#2V9V28LL0,XXL|Master🥀⛩,0xff1ba5f5,28000156,46014,95,⛩XXL⛩
95,#90RJ0C8CL,аиксан xz,0xffff8afb,28000317,45984,96,
96,#PLUPY8GCL,Mr Carter,0xffa2e3fe,28000331,45975,97,THE ROYALTY
97,#UUR8GPY9,emrah55,0xffa2e3fe,28000265,45879,98,The Emperors
98,#8Q8J88QLL,Mysterio King,0xffffffff,28000170,45870,99,ТРАФЕЙ2
99,#9JCPR9LGP,Sispeks,0xff1ba5f5,28000294,45748,100,VIP
100,#98CUQQ8VU,R𝕚k𝕊k𝕖lツ,0xffa2e3fe,28000168,45681,101,𝐍𝐢𝐠𝐞𝐫𝐨𝐧
101,#PJVJVUVC8,ϟƤᴀɪʟʟᴱττo,0xff1ba5f5,28000139,45640,102,
102,#YQGYU9C2,ICE | FROSTY 🥶,0xff4ddba2,28000136,45445,103,БОБРЫ
103,#92V9QVUUQ,GoodRost💛,0xffcb5aff,28000139,45420,104,TTMNNAZZY
104,#9VJJ0QVL8,Король,0xfff05637,28000317,45400,105,клубная лига
105,#J82GLQP,Обычный человек,0xfff05637,28000142,45333,106,Silence Elegy
106,#8QRGUCQPY,TF|Jerry🐭,0xffa2e3fe,28000000,45326,107,Black Bet
107,#PYVV80P,$_hain_$,0xffcb5aff,28000305,45317,108,🌊КиТ🐋
108,#20L9PUR82,hyJ3r,0xffa2e3fe,28000349,45291,109,CLB Ru
109,#LRCVGYRQV,حسين,0xffa2e3fe,28000158,45291,110,F.B.I
110,#JCVL82Q0,Bay⚔️Rozetmen☠️,0xfff9c908,28000023,45225,111,Élite
111,#PP9PGRCQU,Кирилл про,0xffa2e3fe,28000332,45183,112,Green Planet🌱
112,#LY2UG2Q9U,ARMEN🇦🇲,0xffcb5aff,28000332,45161,113,ʜᴀᴠᴇ❦ᴍᴇʀᴄʏ
113,#2JV0QQYGL,kр0koд1L,0xffffce89,28000290,45073,114,lebanon #1
114,#9Y9YJCY0J,Lucky or skill?,0xffa2e3fe,28000272,45018,115,Mystery Killers
115,#2098VLRGV,CM | loVVer,0xfff9c908,28000132,44973,116,LV|Family 🧸
116,#8RJL29V2,razwen2,0xffa2e3fe,28000130,44928,117,MCES
117,#22L8PVJ08,CD|Skyinwater,0xff1ba5f5,28000096,44895,118,
118,#8L9RRJL82,devil16💎💎,0xfff05637,28000023,44853,119,
119,#2PP0YYV9L,kaktus🌵,0xffa8e132,28000188,44836,120,Gods of Games🃏
120,#LR2QU8JLL,伝説|Rico🤍🔥,0xffff8afb,28000210,44828,121,Vikings IV
121,#Y99RCQL8,Rodolfo,0xffa2e3fe,28000341,44791,122,✨100✨Ł€G€ŇĐ
122,#9QLU09Q0J,kefhelły♡,0xffffffff,28000196,44683,123,фан-клуб ложки
123,#2YQ08YV88,Shmalь666,0xfff9c908,28000352,44652,124,Sandstorm UA
124,#JPPJU2RJ,ТЕРРОРИСТ,0xffa2e3fe,28000301,44616,125,8XL7XN
125,#2R8JGJUQ9,ⱠɆ₲Ɇ₦Đᵏⁱˡˡ ʸᵒᵘ✞,0xffa2e3fe,28000288,44615,126,Die Legenden
126,#99L0208QG,🏹|LenAND💎|🧊,0xff1ba5f5,28000163,44592,127,Zeitlos🪐DE
127,#9G220RUJ,Bro2,0xff4ddba2,28000310,44526,128,最好DarknessᴳᵒᵈⱫ
128,#LCQY0LY0,"☆』M A R K O,💞",0xffa2e3fe,28000305,44512,129,
129,#JPJCJU9V,xdethan❤️❤️❤️❤️,0xffcb5aff,28000321,44495,130,LZ | Les ZérØs
130,#PCYRG9QQ9,😸gino|CT|😺,0xff1ba5f5,28000237,44468,131,SUPREME GOAT🐐
131,#9VPLCUYR,계정만들기힘들어,0xffcb5aff,28000320,44452,132,바나나
132,#9LGUC2RP8,브롤스타즈 아빠,0xffffffff,28000164,44406,133,Rainbow🌈
133,#2YYQPJ9QP,manuela,0xffcb5aff,28000281,44389,134,
134,#Y8LG822J,urusēndayoニャー,0xfff05637,28000281,44373,135,Moonlight🌙
135,#P0209CUGV,ЛЕОН,0xffcb5aff,28000077,44372,136,фрики
136,#22PUYGJYP,OG | Roro33e,0xfff9c908,28000168,44294,137,Shadow Hunters
137,#8GG8C2UUV,逼格儿童,0xffa2e3fe,28000132,44294,138,Day Z
138,#Y892C0L8V,TRM|⁰AHMET🥂,0xfff9c908,28000233,44293,139,Fįrár🖤
