,tag,name,nameColor,icon,trophies,rank,club
0,#VLQ8Q89C,♚Harsh._.💤,0xffa2e3fe,28000340,61025,1,Meow
1,#2LPUPY8P,<~Corteex🫀,0xffffce89,28000000,54935,2,Mizmiripsis🛐
2,#8988P2909,Akica 13,0xff1ba5f5,28000156,53314,3,Djoksi Army 2
3,#9LG9L0QCV,ダーリンᴊᴜᴘɪᴛᴇʀ🤍,0xffffffff,28000349,53239,4,СССР
4,#2902CQJYP,⚔bad danil☔,0xfff9c908,28000129,53213,5,Putin Army's
5,#8URG0JGGR,Den,0xffffffff,28000348,51929,6,HowToDoPL
6,#8R9PYL0CR,么┊𝕱𝖗𝖆𝖓🥀,0xffffffff,28000135,51446,7,<c7>GOLDENS</c>
7,#P099YLP0V,TWICE|sanaガチ恋勢✨,0xffcb5aff,28000222,50907,8,キャリーおじさん
8,#88QP2LPLL,En iyi türkler,0xffffffff,28000304,50671,9,<c0>D𝔞𝔯𝔨</c>
9,#2Y0VYVUYV,NG|Sight🃏,0xffa2e3fe,28000352,50331,10,NG|Esport✨
10,#9JYY2PJU,🇺🇦 З С У,0xfff05637,28000210,50317,11,Львів Lviv X
11,#P002QCUCY,WARFEIS,0xffcb5aff,28000129,50193,12,The Last Palace
12,#YC90U0R8R,B.|Bob7,0xffa2e3fe,28000167,50154,13,GalaxyStar🌟
13,#99JYUYU8P,Shimbolo,0xff1ba5f5,28000170,50011,14,Fabled Legends
14,#989VLR8RY,JuJu⛩️,0xff4ddba2,28000014,49835,15,Coq Gaulois🇫🇷
15,#8YPV92U0C,해적진,0xfff05637,28000187,49553,16,하진다즈
16,#Y09GGGLQL,ℤ𝕒𝕟𝕘𝕖𝕥𝕤𝕦,0xffff8afb,28000317,49279,17,Club Alter
17,#LLQ2G0JV,komandoriti,0xff1ba5f5,28000168,48995,18,HowToDoPL III
18,#GJ892CQJ,🐼E=mc²,0xffffffff,28000267,48694,19,RG|Gaming🪐
19,#PGLLYV0UG,TG|𝔻𝕠𝕞𝕖𝕤シ︎,0xffcb5aff,28000341,48457,20,TIGERS Esports
20,#28JPVV9J0,❄❄⁹⁰⁴ŽĚMÏ⁴⁵,0xffffce89,28000056,48270,21,
21,#PGLRP0Q2Q,sorrynoob❦,0xffffffff,28000150,48124,22,
22,#88RR80209,Star,0xff1ba5f5,28000271,48086,23,The Immortals
23,#20GCYGYGU,dq`|Funky🦋,0xffffffff,28000284,48028,24,бравлики
24,#28PCRJL2C,noobek,0xff4ddba2,28000222,47927,25,DESTROYERS_ITA⚛
25,#28QVRGUQP,⛩|MORTIS🎋64,0xffcb5aff,28000335,47615,26,Brother of Woni
26,#2GCPLV8RU,[БЛЕТ] ГРИША,0xfff9c908,28000132,47565,27,Brawl King
27,#80LLR8LUJ,ᴵᴬᴹ ➳Šẳᥒcʰ𝐨➳,0xffff9727,28000014,47514,28,Showdown💘
28,#YQYQC8CJG,𓆩₲ēɍⱥłⱦĪƵɍīꝟīī,0xff1ba5f5,28000290,47018,29,LOLKEK 2
29,#822JPQYG0,•°♡Z@rluny♡°•,0xffcb5aff,28000224,47004,30,ƒusión Łatina™2
30,#9989CG2P2,Pedri Potter 🐤,0xffa8e132,28000333,46665,31,REAL GAMER XD
31,#8228P2GQR,MagicParadaise,0xffcb5aff,28000036,46373,32,НИКАКОЙ!!!
32,#P8UV2RQVC,Варя Тарелкина,0xffcb5aff,28000346,46305,33,карвет
33,#2VCRPJGQY,mael,0xfff05637,28000151,46080,34,Brawl Accademy
34,#8CQ9VQRGJ,LM|JOJO 56,0xffcb5aff,28000228,46026,35,♛☬JUST HEROS☬♛
35,#YQGJ0Y8UY,yassin,0xffcb5aff,28000335,45955,36,mary jane
36,#RUYV0VLJ,레몽,0xffa2e3fe,28000349,45847,37,Korea Club
37,#9PYJ22P90,LC|ᴬᴷ🍓,0xffcb5aff,28000296,45809,38,Pablo Lovers🌵
38,#9U990L8Y,(무과금)호랑이,0xff1ba5f5,28000023,45773,39,레프트
39,#8L892JJ09,쩌누경쩌누주최고,0xfff05637,28000310,45460,40,✨NTS✨
40,#2LCLCCUPP,ąweℓą jя,0xffff9727,28000195,45404,41,Polish League
41,#8P2PR0QL2,epic tiger,0xffff9727,28000341,45359,42,FajnyKlub
42,#8QYU92LYJ,tomar 753,0xffcb5aff,28000288,45269,43,<c2>Ex0tic</c>
